class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;4750;;0.9934736842105263;0.9915948728724522;0.9934736842105263;0.992533389420549;4719;40;31
255;Leonberg;4750;;0.9848421052631579;0.9825666876706575;0.9848421052631579;0.9837030806434655;4678;83;72
88;macaw;4750;;0.9833684210526316;0.980684442578207;0.9833684210526316;0.9820245979186377;4671;92;79
130;flamingo;4750;;0.9694736842105263;0.9920292977165015;0.9694736842105263;0.9806218057921635;4605;37;145
136;European_gallinule;4750;;0.9797894736842105;0.9814424293547026;0.9797894736842105;0.9806152549515381;4654;88;96
19;chickadee;4750;;0.9751578947368421;0.9853222718570517;0.9751578947368421;0.9802137339964024;4632;69;118
995;earthstar;4750;;0.9886315789473684;0.9636774061153294;0.9886315789473684;0.9759950119505352;4696;177;54
915;yurt;4750;;0.9585263157894737;0.9910753156290815;0.9585263157894737;0.974529109589041;4553;41;197
13;junco;4750;;0.98;0.9687825182101977;0.98;0.9743589743589743;4655;150;95
340;zebra;4750;;0.9671578947368421;0.9807856532877882;0.9671578947368421;0.9739241043035828;4594;90;156
430;basketball;4750;;0.956;0.9919178680646571;0.956;0.9736277873070327;4541;37;209
11;goldfinch;4750;;0.9585263157894737;0.9872072853425846;0.9585263157894737;0.9726554155095066;4553;59;197
129;spoonbill;4750;;0.9892631578947368;0.9562474562474562;0.9892631578947368;0.9724751655629139;4699;215;51
24;great_grey_owl;4750;;0.968;0.9725042301184433;0.968;0.9702468875290146;4598;130;152
143;oystercatcher;4750;;0.9501052631578948;0.9903445249067369;0.9501052631578948;0.9698076716449985;4513;44;237
90;lorikeet;4750;;0.9833684210526316;0.955410104315811;0.9833684210526316;0.969187675070028;4671;218;79
100;black_swan;4750;;0.9705263157894737;0.9672681493915233;0.9705263157894737;0.9688944934846574;4610;156;140
9;ostrich;4750;;0.9861052631578947;0.9502941773179144;0.9861052631578947;0.9678685814650274;4684;245;66
17;jay;4750;;0.9467368421052632;0.9872667398463227;0.9467368421052632;0.9665771090811393;4497;58;253
16;bulbul;4750;;0.9555789473684211;0.9769694360740422;0.9555789473684211;0.9661558109833973;4539;107;211
87;African_grey;4750;;0.9513684210526315;0.980898632515737;0.9513684210526315;0.9659078764561291;4519;88;231
84;peacock;4750;;0.9454736842105264;0.98681608437706;0.9454736842105264;0.9657026126222987;4491;60;259
15;robin;4750;;0.9717894736842105;0.9564857024450891;0.9717894736842105;0.9640768588137009;4616;210;134
135;limpkin;4750;;0.9593684210526315;0.9683382915427114;0.9593684210526315;0.9638324873096447;4557;149;193
92;bee_eater;4750;;0.9642105263157895;0.9633992427429533;0.9642105263157895;0.9638047138047139;4580;174;170
275;African_hunting_dog;4750;;0.980421052631579;0.9451999188146946;0.980421052631579;0.9624883744962283;4657;270;93
14;indigo_bunting;4750;;0.9578947368421052;0.9664401019541207;0.9578947368421052;0.9621484457602031;4550;158;200
576;gondola;4750;;0.9703157894736842;0.9536519759983447;0.9703157894736842;0.9619117186684754;4609;224;141
145;king_penguin;4750;;0.9568421052631579;0.9661989795918368;0.9568421052631579;0.961497778718003;4545;159;205
0;tench;4750;;0.9549473684210527;0.9669580046898316;0.9549473684210527;0.9609151572926599;4536;155;214
321;admiral;4750;;0.9507368421052631;0.9695148132245599;0.9507368421052631;0.9600340136054422;4516;142;234
354;Arabian_camel;4750;;0.9618947368421052;0.9580624868945271;0.9618947368421052;0.95997478726757;4569;200;181
22;bald_eagle;4750;;0.960421052631579;0.9594111461619348;0.960421052631579;0.9599158337716992;4562;193;188
685;odometer;4750;;0.9614736842105264;0.9576431117634724;0.9614736842105264;0.9595545750604054;4567;202;183
339;sorrel;4750;;0.9416842105263158;0.9764243614931237;0.9416842105263158;0.9587396849212303;4473;108;277
984;rapeseed;4750;;0.9427368421052632;0.9751742160278746;0.9427368421052632;0.9586812245771783;4478;114;272
990;buckeye;4750;;0.9458947368421052;0.9706200043205876;0.9458947368421052;0.9580978782386181;4493;136;257
12;house_finch;4750;;0.9576842105263158;0.9570797391121397;0.9576842105263158;0.9573818794065032;4549;204;201
528;dial_telephone;4750;;0.9454736842105264;0.9687230371009491;0.9454736842105264;0.9569571702535692;4491;145;259
139;ruddy_turnstone;4750;;0.9772631578947368;0.934944612286002;0.9772631578947368;0.9556356150283067;4642;323;108
560;football_helmet;4750;;0.9442105263157895;0.9670116429495472;0.9442105263157895;0.9554750745632723;4485;153;265
900;water_tower;4750;;0.9330526315789474;0.9783664459161148;0.9330526315789474;0.9551724137931035;4432;98;318
23;vulture;4750;;0.9404210526315789;0.9689804772234273;0.9404210526315789;0.9544871794871794;4467;143;283
355;llama;4750;;0.9370526315789474;0.9714098646879092;0.9370526315789474;0.9539219888555508;4451;131;299
146;albatross;4750;;0.948;0.9570669500531349;0.948;0.9525118984664197;4503;202;247
89;sulphur-crested_cockatoo;4750;;0.9351578947368421;0.9688113413304253;0.9351578947368421;0.9516871987145152;4442;143;308
466;bullet_train;4750;;0.964;0.9396675559203775;0.964;0.9516782708095187;4579;294;171
291;lion;4750;;0.9825263157894737;0.9197871501773749;0.9825263157894737;0.9501221498371335;4667;407;83
323;monarch;4750;;0.9132631578947369;0.9899589228662711;0.9132631578947369;0.950065703022339;4338;44;412
347;bison;4750;;0.9326315789473684;0.9674601441362743;0.9326315789473684;0.9497266588058741;4430;149;320
800;slot;4750;;0.9623157894736842;0.9372565101496821;0.9623157894736842;0.9496208580035318;4571;306;179
307;weevil;4750;;0.9378947368421052;0.9601293103448276;0.9378947368421052;0.9488817891373802;4455;185;295
251;dalmatian;4750;;0.9395789473684211;0.9579308864563211;0.9395789473684211;0.9486661706876395;4463;196;287
344;hippopotamus;4750;;0.9134736842105263;0.9836771707095897;0.9134736842105263;0.9472764981988866;4339;72;411
376;proboscis_monkey;4750;;0.9888421052631579;0.9086863996904624;0.9888421052631579;0.9470712773465068;4697;472;53
388;giant_panda;4750;;0.948;0.9460084033613445;0.948;0.9470031545741325;4503;257;247
571;gas_pump;4750;;0.9058947368421053;0.9898780768345986;0.9058947368421053;0.9460261624711445;4303;44;447
955;jackfruit;4750;;0.9265263157894736;0.9659789288849868;0.9265263157894736;0.9458413926499032;4401;155;349
985;daisy;4750;;0.9888421052631579;0.9060570987654321;0.9888421052631579;0.9456412321320716;4697;487;53
820;steam_locomotive;4750;;0.9353684210526316;0.9554838709677419;0.9353684210526316;0.9453191489361703;4443;207;307
96;toucan;4750;;0.9366315789473684;0.95288070250589;0.9366315789473684;0.9446862724280709;4449;220;301
144;pelican;4750;;0.9631578947368421;0.9261133603238867;0.9631578947368421;0.9442724458204333;4575;365;175
91;coucal;4750;;0.9416842105263158;0.9468670618120237;0.9416842105263158;0.9442685243825206;4473;251;277
138;bustard;4750;;0.9265263157894736;0.9613368283093053;0.9265263157894736;0.9436106346483705;4401;177;349
993;gyromitra;4750;;0.9787368421052631;0.9104974539757148;0.9787368421052631;0.9433847402597402;4649;457;101
93;hornbill;4750;;0.9343157894736842;0.9523605150214592;0.9343157894736842;0.9432518597236982;4438;222;312
694;paddlewheel;4750;;0.9347368421052632;0.9507494646680942;0.9347368421052632;0.9426751592356688;4440;230;310
863;totem_pole;4750;;0.9273684210526316;0.9559461805555556;0.9273684210526316;0.9414404787347724;4405;203;345
133;bittern;4750;;0.9193684210526316;0.9644434628975265;0.9193684210526316;0.9413666738521234;4367;161;383
450;bobsled;4750;;0.9568421052631579;0.9245321399511798;0.9568421052631579;0.9404096834264432;4545;371;205
247;Saint_Bernard;4750;;0.9147368421052632;0.9670598709103049;0.9147368421052632;0.9401709401709402;4345;148;405
991;coral_fungus;4750;;0.932;0.9467493584260052;0.932;0.9393167833651602;4427;249;323
105;koala;4750;;0.9237894736842105;0.9553668626170259;0.9237894736842105;0.9393128545435085;4388;205;362
594;harp;4750;;0.9408421052631579;0.9365046102263203;0.9408421052631579;0.9386683469859275;4469;303;281
276;hyena;4750;;0.9090526315789473;0.9696833595328992;0.9090526315789473;0.9383896555471042;4318;135;432
471;cannon;4750;;0.9418947368421052;0.934614581157301;0.9418947368421052;0.9382405368564538;4474;313;276
573;go-kart;4750;;0.9667368421052631;0.9112919230005954;0.9667368421052631;0.9381959342118704;4592;447;158
802;snowmobile;4750;;0.9347368421052632;0.9396825396825397;0.9347368421052632;0.937203166226913;4440;285;310
945;bell_pepper;4750;;0.9006315789473684;0.9767123287671233;0.9006315789473684;0.9371303395399782;4278;102;472
607;jack-o'-lantern;4750;;0.9307368421052632;0.9430460750853242;0.9307368421052632;0.9368510277601187;4421;267;329
364;three-toed_sloth;4750;;0.9292631578947368;0.9443731279418057;0.9292631578947368;0.9367572156196944;4414;260;336
565;freight_car;4750;;0.9549473684210527;0.91877658497063;0.9549473684210527;0.9365128522762467;4536;401;214
396;lionfish;4750;;0.912;0.9620253164556962;0.912;0.9363449691991785;4332;171;418
890;volleyball;4750;;0.9197894736842105;0.9530977312390925;0.9197894736842105;0.9361474180415684;4369;215;381
253;basenji;4750;;0.9317894736842105;0.9399023147165003;0.9317894736842105;0.9358283116608521;4426;283;324
141;redshank;4750;;0.9214736842105263;0.9496637014536776;0.9214736842105263;0.9353563414894754;4377;232;373
102;echidna;4750;;0.9054736842105263;0.9656488549618321;0.9054736842105263;0.9345936549326379;4301;153;449
736;pool_table;4750;;0.8978947368421053;0.9728558394160584;0.8978947368421053;0.9338734398948982;4265;119;485
18;magpie;4750;;0.9181052631578948;0.9501089324618737;0.9181052631578948;0.9338329764453962;4361;229;389
874;trolleybus;4750;;0.9715789473684211;0.8969873663751214;0.9715789473684211;0.9327943405760485;4615;530;135
387;lesser_panda;4750;;0.9311578947368421;0.934305027460921;0.9311578947368421;0.9327288064107973;4423;311;327
351;hartebeest;4750;;0.9747368421052631;0.8936498745415943;0.9747368421052631;0.9324337931728929;4630;551;120
51;triceratops;4750;;0.9208421052631579;0.944300518134715;0.9208421052631579;0.9324237902366234;4374;258;376
317;leafhopper;4750;;0.9056842105263158;0.9604822505023443;0.9056842105263158;0.9322786867482935;4302;177;448
612;jinrikisha;4750;;0.9730526315789474;0.8938309804679946;0.9730526315789474;0.9317609111984678;4622;549;128
71;scorpion;4750;;0.9225263157894736;0.9379280821917808;0.9225263157894736;0.9301634472511144;4382;290;368
886;vending_machine;4750;;0.9336842105263158;0.9251147267417605;0.9336842105263158;0.9293797150041911;4435;359;315
127;white_stork;4750;;0.8854736842105263;0.9774575877294911;0.8854736842105263;0.9291947420744505;4206;97;544
554;fireboat;4750;;0.9216842105263158;0.936670945656825;0.9216842105263158;0.9291171477079797;4378;296;372
719;piggy_bank;4750;;0.9214736842105263;0.9362566844919786;0.9214736842105263;0.9288063660477454;4377;298;373
83;prairie_chicken;4750;;0.9096842105263158;0.9484196663740123;0.9096842105263158;0.9286481839673328;4321;235;429
873;triumphal_arch;4750;;0.9237894736842105;0.9334184216124229;0.9237894736842105;0.9285789863506507;4388;313;362
85;quail;4750;;0.8945263157894737;0.9648047229791099;0.8945263157894737;0.9283373388682544;4249;155;501
268;Mexican_hairless;4750;;0.9452631578947368;0.9116751269035533;0.9452631578947368;0.9281653746770026;4490;435;260
476;carousel;4750;;0.9629473684210527;0.8956334442921481;0.9629473684210527;0.9280714213249469;4574;533;176
668;mosque;4750;;0.9654736842105263;0.8918708673667833;0.9654736842105263;0.9272139102304893;4586;556;164
142;dowitcher;4750;;0.9101052631578948;0.9449180327868852;0.9101052631578948;0.9271849865951743;4323;252;427
148;killer_whale;4750;;0.9229473684210526;0.9307855626326964;0.9229473684210526;0.9268498942917548;4384;326;366
97;drake;4750;;0.9185263157894736;0.9352625937834941;0.9185263157894736;0.926818906001062;4363;302;387
755;radio_telescope;4750;;0.891578947368421;0.9642531876138434;0.891578947368421;0.9264931087289434;4235;157;515
726;plane;4750;;0.9063157894736842;0.9463618377665421;0.9063157894736842;0.9259060113990752;4305;244;445
258;Samoyed;4750;;0.9406315789473684;0.9094239772033381;0.9406315789473684;0.9247645658698127;4468;445;282
10;brambling;4750;;0.9627368421052631;0.8893426682224815;0.9627368421052631;0.9245855236554791;4573;569;177
316;cicada;4750;;0.9176842105263158;0.9308135810377963;0.9176842105263158;0.9242022686314004;4359;324;391
160;Afghan_hound;4750;;0.9404210526315789;0.9082960553070354;0.9404210526315789;0.9240794373189904;4467;451;283
350;ibex;4750;;0.9511578947368421;0.8983893418174588;0.9511578947368421;0.924020861028735;4518;511;232
645;maypole;4750;;0.9808421052631578;0.8726353249672223;0.9808421052631578;0.9235801367826345;4659;680;91
535;disk_brake;4750;;0.8892631578947369;0.957388939256573;0.8892631578947369;0.9220694171578259;4224;188;526
254;pug;4750;;0.9128421052631579;0.9314715359828142;0.9128421052631579;0.9220627325890484;4336;319;414
279;Arctic_fox;4750;;0.9442105263157895;0.9006024096385542;0.9442105263157895;0.9218910585817061;4485;495;265
786;sewing_machine;4750;;0.892;0.9523488424365025;0.892;0.9211870855527775;4237;212;513
988;acorn;4750;;0.9503157894736842;0.892624085426142;0.9503157894736842;0.9205669419802182;4514;543;236
603;horse_cart;4750;;0.9372631578947368;0.902676399026764;0.9372631578947368;0.919644701507953;4452;480;298
642;marimba;4750;;0.9067368421052632;0.9314446366782007;0.9067368421052632;0.9189246852997652;4307;317;443
672;mountain_tent;4750;;0.9324210526315789;0.9053556827473426;0.9324210526315789;0.9186890686579546;4429;463;321
293;cheetah;4750;;0.9393684210526316;0.8988718775181306;0.9393684210526316;0.9186740786493721;4462;502;288
779;school_bus;4750;;0.9376842105263158;0.9003436426116839;0.9376842105263158;0.9186346292667835;4454;493;296
540;drilling_platform;4750;;0.9248421052631579;0.9123572170301142;0.9248421052631579;0.9185572399372713;4393;422;357
575;golfcart;4750;;0.8701052631578947;0.9722418254528347;0.8701052631578947;0.918342406399289;4133;118;617
746;puck;4750;;0.9471578947368421;0.8891304347826087;0.9471578947368421;0.9172273190621815;4499;561;251
98;red-breasted_merganser;4750;;0.9654736842105263;0.8733574557227195;0.9654736842105263;0.9171082891710829;4586;665;164
216;clumber;4750;;0.9008421052631579;0.93305713039686;0.9008421052631579;0.9166666666666666;4279;307;471
94;hummingbird;4750;;0.919578947368421;0.9136163982430454;0.919578947368421;0.9165879760780611;4368;413;382
727;planetarium;4750;;0.9256842105263158;0.9075335397316822;0.9256842105263158;0.916519020323085;4397;448;353
829;streetcar;4750;;0.9124210526315789;0.919974527701125;0.9124210526315789;0.9161822217524574;4334;377;416
933;cheeseburger;4750;;0.880421052631579;0.9547945205479452;0.880421052631579;0.9161007667031765;4182;198;568
537;dogsled;4750;;0.9395789473684211;0.8934934934934935;0.9395789473684211;0.9159569009748589;4463;532;287
95;jacamar;4750;;0.9595789473684211;0.8750239969283932;0.9595789473684211;0.9153529470830404;4558;651;192
625;lifeboat;4750;;0.9355789473684211;0.8957871396895787;0.9355789473684211;0.9152507465760478;4444;517;306
375;colobus;4750;;0.8852631578947369;0.9472854246451904;0.8852631578947369;0.9152247252149309;4205;234;545
956;custard_apple;4750;;0.9221052631578948;0.9081484553182666;0.9221052631578948;0.9150736446255092;4380;443;370
426;barometer;4750;;0.875578947368421;0.958294930875576;0.875578947368421;0.9150715071507151;4159;181;591
832;stupa;4750;;0.8991578947368422;0.9313126907980811;0.8991578947368422;0.9149528706083976;4271;315;479
383;Madagascar_cat;4750;;0.8728421052631579;0.9603891591382905;0.8728421052631579;0.9145252012793647;4146;171;604
989;hip;4750;;0.9831578947368421;0.8537477148080439;0.9831578947368421;0.913894324853229;4670;800;80
178;Weimaraner;4750;;0.9023157894736842;0.9241052177662785;0.9023157894736842;0.9130805283340434;4286;352;464
296;ice_bear;4750;;0.9117894736842105;0.9139058873179996;0.9117894736842105;0.9128464537885973;4331;408;419
260;chow;4750;;0.9212631578947369;0.9045059942124845;0.9212631578947369;0.9128076762619942;4376;462;374
333;hamster;4750;;0.9686315789473684;0.8630650909773026;0.9686315789473684;0.9128062692193235;4601;730;149
289;snow_leopard;4750;;0.8953684210526316;0.9308382578244693;0.8953684210526316;0.9127588797081233;4253;316;497
99;goose;4750;;0.8949473684210526;0.9293834717971141;0.8949473684210526;0.9118404118404118;4251;323;499
365;orangutan;4750;;0.9107368421052632;0.9122733024040489;0.9107368421052632;0.911504424778761;4326;416;424
687;organ;4750;;0.8978947368421053;0.9243606415257911;0.8978947368421053;0.9109354976505768;4265;349;485
707;pay-phone;4750;;0.8978947368421053;0.9237600173272688;0.8978947368421053;0.9106437493327639;4265;352;485
169;borzoi;4750;;0.9715789473684211;0.8562152133580705;0.9715789473684211;0.9102564102564104;4615;775;135
555;fire_engine;4750;;0.8705263157894737;0.9521068385908358;0.8705263157894737;0.9094908171120643;4135;208;615
262;Brabancon_griffon;4750;;0.8997894736842105;0.9181525241675618;0.8997894736842105;0.9088782562466774;4274;381;476
958;hay;4750;;0.868421052631579;0.9530961182994455;0.868421052631579;0.908790482485129;4125;203;625
363;armadillo;4750;;0.8943157894736842;0.9232775483590524;0.8943157894736842;0.9085659287776708;4248;353;502
723;pinwheel;4750;;0.9585263157894737;0.8624739534002652;0.9585263157894737;0.9079668960015953;4553;726;197
401;accordion;4750;;0.8703157894736843;0.947947718413208;0.8703157894736843;0.9074744813961146;4134;227;616
496;Christmas_stocking;4750;;0.9263157894736842;0.889248181083266;0.9263157894736842;0.9074035883687359;4400;548;350
25;European_fire_salamander;4750;;0.8865263157894737;0.9291703442188879;0.8865263157894737;0.9073475544063779;4211;321;539
877;turnstile;4750;;0.8861052631578947;0.928524156187955;0.8861052631578947;0.9068189162986104;4209;324;541
157;papillon;4750;;0.9250526315789473;0.8889338458426057;0.9250526315789473;0.906633653151759;4394;549;356
957;pomegranate;4750;;0.9117894736842105;0.9000415627597672;0.9117894736842105;0.9058774314996862;4331;481;419
803;snowplow;4750;;0.9374736842105263;0.8755406999606764;0.9374736842105263;0.9054493696624644;4453;633;297
343;warthog;4750;;0.876421052631579;0.9357158912115082;0.876421052631579;0.9050983802587238;4163;286;587
833;submarine;4750;;0.8936842105263157;0.9152652005174644;0.8936842105263157;0.9043459735832978;4245;393;505
294;brown_bear;4750;;0.9271578947368421;0.8822115384615384;0.9271578947368421;0.9041264627386573;4404;588;346
564;four-poster;4750;;0.9042105263157895;0.9036398064380391;0.9042105263157895;0.9039250762916974;4295;458;455
822;steel_drum;4750;;0.8863157894736842;0.9222343921139102;0.8863157894736842;0.903918411164788;4210;355;540
261;keeshond;4750;;0.8797894736842106;0.9282541092847624;0.8797894736842106;0.9033722438391699;4179;323;571
1;goldfish;4750;;0.9328421052631579;0.8756916996047431;0.9328421052631579;0.9033639143730888;4431;629;319
244;Tibetan_mastiff;4750;;0.908;0.898728901854553;0.908;0.9033406639438685;4313;486;437
69;trilobite;4750;;0.872421052631579;0.9356513885752992;0.872421052631579;0.9029306024621417;4144;285;606
522;croquet_ball;4750;;0.8886315789473684;0.917608695652174;0.8886315789473684;0.9028877005347594;4221;379;529
21;kite;4750;;0.9256842105263158;0.8811623246492986;0.9256842105263158;0.9028747433264888;4397;593;353
781;scoreboard;4750;;0.9065263157894737;0.8987685243164266;0.9065263157894737;0.9026307514935542;4306;485;444
491;chain_saw;4750;;0.8913684210526316;0.9132873166522865;0.8913684210526316;0.9021947581504369;4234;402;516
218;Welsh_springer_spaniel;4750;;0.9134736842105263;0.891148079687821;0.9134736842105263;0.9021727830335794;4339;530;411
137;American_coot;4750;;0.8477894736842105;0.9633971291866029;0.8477894736842105;0.9019036954087347;4027;153;723
752;racket;4750;;0.9113684210526316;0.8907407407407407;0.9113684210526316;0.9009365244536942;4329;531;421
362;badger;4750;;0.9147368421052632;0.8874591503267973;0.9147368421052632;0.9008915612689198;4345;551;405
20;water_ouzel;4750;;0.8513684210526316;0.956480605487228;0.8513684210526316;0.9008687903764757;4044;184;706
140;red-backed_sandpiper;4750;;0.891578947368421;0.9095790378006873;0.891578947368421;0.9004890495428448;4235;421;515
475;car_mirror;4750;;0.9366315789473684;0.8667445938047925;0.9366315789473684;0.9003339067084892;4449;684;301
420;banjo;4750;;0.9338947368421052;0.8689520078354555;0.9338947368421052;0.9002536783358701;4436;669;314
48;Komodo_dragon;4750;;0.8837894736842106;0.9171946689971597;0.8837894736842106;0.9001822665380079;4198;379;552
229;Old_English_sheepdog;4750;;0.908;0.8924063728533003;0.908;0.9001356568924136;4313;520;437
614;kimono;4750;;0.9284210526315789;0.8732673267326733;0.9284210526315789;0.9;4410;640;340
500;cliff_dwelling;4750;;0.8458947368421053;0.9605546258666029;0.8458947368421053;0.8995858054405015;4018;165;732
338;guinea_pig;4750;;0.8762105263157894;0.9234524073663191;0.8762105263157894;0.8992114075834503;4162;345;588
327;starfish;4750;;0.9410526315789474;0.8607741190063547;0.9410526315789474;0.8991250125716584;4470;723;280
932;pretzel;4750;;0.8690526315789474;0.9311978344236409;0.8690526315789474;0.8990525971904607;4128;305;622
332;Angora;4750;;0.9378947368421052;0.8622024385523515;0.9378947368421052;0.8984571947161439;4455;712;295
131;little_blue_heron;4750;;0.9315789473684211;0.8659491193737769;0.9315789473684211;0.8975659229208925;4425;685;325
458;brass;4750;;0.8473684210526315;0.9537914691943128;0.8473684210526315;0.8974358974358975;4025;195;725
953;pineapple;4750;;0.9216842105263158;0.8736779086010776;0.9216842105263158;0.8970392377830141;4378;633;372
510;container_ship;4750;;0.9105263157894737;0.8826530612244898;0.9105263157894737;0.8963730569948187;4325;575;425
934;hotdog;4750;;0.9162105263157895;0.8768889784404594;0.9162105263157895;0.8961186039328735;4352;611;398
561;forklift;4750;;0.9021052631578947;0.890112172829248;0.9021052631578947;0.8960685905478879;4285;529;465
104;wallaby;4750;;0.8823157894736842;0.9097026264380291;0.8823157894736842;0.8957999358768837;4191;416;559
888;viaduct;4750;;0.880421052631579;0.9117069980379333;0.880421052631579;0.8957909392738567;4182;405;568
994;stinkhorn;4750;;0.8751578947368421;0.9172550750220653;0.8751578947368421;0.8957121310062486;4157;375;593
853;thatch;4750;;0.8646315789473684;0.9289753449445827;0.8646315789473684;0.8956493294079163;4107;314;643
816;spindle;4750;;0.8827368421052632;0.9081654754169374;0.8827368421052632;0.8952706309384008;4193;424;557
274;dhole;4750;;0.916;0.8747486932046643;0.916;0.8948992184286303;4351;623;399
284;Siamese_cat;4750;;0.9391578947368421;0.8545977011494252;0.9391578947368421;0.8948846539618855;4461;759;289
391;coho;4750;;0.8682105263157894;0.9225950782997763;0.8682105263157894;0.8945770065075922;4124;346;626
397;puffer;4750;;0.8458947368421053;0.9476415094339623;0.8458947368421053;0.8938820912124583;4018;222;732
379;howler_monkey;4750;;0.9006315789473684;0.88699979266017;0.9006315789473684;0.8937637104356001;4278;545;472
366;gorilla;4750;;0.8757894736842106;0.9118807540552389;0.8757894736842106;0.893470790378007;4160;402;590
150;sea_lion;4750;;0.8751578947368421;0.9118227681509102;0.8751578947368421;0.8931141905682671;4157;402;593
286;cougar;4750;;0.896;0.8894461859979101;0.896;0.8927110644992133;4256;529;494
425;barn;4750;;0.9294736842105263;0.8582814930015552;0.9294736842105263;0.8924600768142308;4415;729;335
367;chimpanzee;4750;;0.9128421052631579;0.8724346076458752;0.9128421052631579;0.8921810699588476;4336;634;414
701;parachute;4750;;0.9621052631578947;0.8303052325581395;0.9621052631578947;0.8913594694753265;4570;934;180
606;iron;4750;;0.9492631578947368;0.8381040892193309;0.9492631578947368;0.8902270483711748;4509;871;241
47;African_chameleon;4750;;0.8892631578947369;0.8902002107481559;0.8892631578947369;0.8897314375987361;4224;521;526
245;French_bulldog;4750;;0.8953684210526316;0.8836484521088718;0.8953684210526316;0.8894698316427899;4253;560;497
621;lawn_mower;4750;;0.9252631578947368;0.8562244301578025;0.9252631578947368;0.8894060507942931;4395;738;355
70;harvestman;4750;;0.8471578947368421;0.9355963729365264;0.8471578947368421;0.8891835156336316;4024;277;726
518;crash_helmet;4750;;0.8898947368421053;0.8882118092036142;0.8898947368421053;0.8890524766011146;4227;532;523
688;oscilloscope;4750;;0.907157894736842;0.8715614886731392;0.907157894736842;0.889003507324118;4309;635;441
814;speedboat;4750;;0.9469473684210526;0.8360594795539034;0.9469473684210526;0.8880552813425471;4498;882;252
768;rugby_ball;4750;;0.8044210526315789;0.9896399896399897;0.8044210526315789;0.8874695157356869;3821;40;929
190;Sealyham_terrier;4750;;0.8806315789473684;0.8943767372247167;0.8806315789473684;0.8874509387928291;4183;494;567
81;ptarmigan;4750;;0.832;0.9497716894977168;0.832;0.8869936034115139;3952;209;798
937;broccoli;4750;;0.852421052631579;0.9237964864248231;0.852421052631579;0.8866746961567941;4049;334;701
615;knee_pad;4750;;0.8789473684210526;0.8943873179091688;0.8789473684210526;0.8866001274155872;4175;493;575
661;Model_T;4750;;0.9431578947368421;0.8362889677058055;0.9431578947368421;0.886514297021866;4480;877;270
300;tiger_beetle;4750;;0.9153684210526316;0.8582708251085669;0.9153684210526316;0.8859005704971475;4348;718;402
306;rhinoceros_beetle;4750;;0.8667368421052631;0.905631324241091;0.8667368421052631;0.8857573149741824;4117;429;633
156;Blenheim_spaniel;4750;;0.9261052631578948;0.8482452757423833;0.9261052631578948;0.8854669887278582;4399;787;351
569;garbage_truck;4750;;0.8846315789473684;0.8857504215851602;0.8846315789473684;0.8851906467242469;4202;542;548
805;soccer_ball;4750;;0.9301052631578948;0.8440962934658005;0.9301052631578948;0.8850160256410257;4418;816;332
326;lycaenid;4750;;0.8814736842105263;0.8885823429541596;0.8814736842105263;0.8850137391671951;4187;525;563
149;dugong;4750;;0.8972631578947369;0.8722881702824397;0.8972631578947369;0.8845994188459942;4262;624;488
394;sturgeon;4750;;0.8450526315789474;0.9278779472954231;0.8450526315789474;0.8845306302335832;4014;312;736
128;black_stork;4750;;0.9353684210526316;0.8365656185275843;0.9353684210526316;0.8832124043335653;4443;868;307
195;Boston_bull;4750;;0.9126315789473685;0.8545239503252513;0.9126315789473685;0.8826224167769521;4335;738;415
410;apiary;4750;;0.860421052631579;0.9056060270330157;0.860421052631579;0.8824354960595919;4087;426;663
147;grey_whale;4750;;0.9132631578947369;0.8536009445100354;0.9132631578947369;0.8824247355573638;4338;744;412
927;trifle;4750;;0.9534736842105264;0.8209171651259742;0.9534736842105264;0.8822440829843187;4529;988;221
609;jeep;4750;;0.8749473684210526;0.889554794520548;0.8749473684210526;0.8821906177032477;4156;516;594
259;Pomeranian;4750;;0.9252631578947368;0.8421153477677716;0.9252631578947368;0.881733373457719;4395;824;355
604;hourglass;4750;;0.972421052631579;0.8054054054054054;0.972421052631579;0.8810681926561754;4619;1116;131
76;tarantula;4750;;0.7991578947368421;0.9813857290589452;0.7991578947368421;0.8809468554188907;3796;72;954
334;porcupine;4750;;0.8587368421052631;0.9040336879432624;0.8587368421052631;0.8808032822284604;4079;433;671
303;long-horned_beetle;4750;;0.8581052631578947;0.9029685423128047;0.8581052631578947;0.879965457685665;4076;438;674
766;rotisserie;4750;;0.8597894736842105;0.9009485991617031;0.8597894736842105;0.879887967251966;4084;449;666
38;banded_gecko;4750;;0.8772631578947369;0.8822782130002117;0.8772631578947369;0.8797635384777789;4167;556;583
