class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
986;yellow_lady's_slipper;4750;;0.964421052631579;0.9656408094435076;0.964421052631579;0.9650305456077521;4581;163;169
129;spoonbill;4750;;0.952421052631579;0.9733218588640276;0.952421052631579;0.9627580336241753;4524;124;226
339;sorrel;4750;;0.9433684210526316;0.9741304347826087;0.9433684210526316;0.9585026737967915;4481;119;269
995;earthstar;4750;;0.9395789473684211;0.971696059220553;0.9395789473684211;0.9553676549288238;4463;130;287
321;admiral;4750;;0.9328421052631579;0.9768518518518519;0.9328421052631579;0.9543398664656472;4431;105;319
136;European_gallinule;4750;;0.9326315789473684;0.9727711901624945;0.9326315789473684;0.9522785898538263;4430;124;320
135;limpkin;4750;;0.9408421052631579;0.9604556200300881;0.9408421052631579;0.9505476975433372;4469;184;281
90;lorikeet;4750;;0.9545263157894737;0.9461602671118531;0.9545263157894737;0.950324879480193;4534;258;216
11;goldfinch;4750;;0.9294736842105263;0.969264544456641;0.9294736842105263;0.9489521762493284;4415;140;335
685;odometer;4750;;0.9705263157894737;0.927938808373591;0.9705263157894737;0.9487548878370036;4610;358;140
985;daisy;4750;;0.9612631578947368;0.9314565483476133;0.9612631578947368;0.9461251554082055;4566;336;184
323;monarch;4750;;0.9383157894736842;0.9529612999786188;0.9383157894736842;0.9455818393974753;4457;220;293
14;indigo_bunting;4750;;0.924;0.9680194089104543;0.924;0.9454976303317536;4389;145;361
100;black_swan;4750;;0.9589473684210527;0.9309217249131412;0.9589473684210527;0.9447267447889661;4555;338;195
97;drake;4750;;0.9383157894736842;0.9444797626615808;0.9383157894736842;0.9413876861336995;4457;262;293
0;tench;4750;;0.9046315789473685;0.9765909090909091;0.9046315789473685;0.9392349726775956;4297;103;453
24;great_grey_owl;4750;;0.9107368421052632;0.9684351914036265;0.9107368421052632;0.9387002278398612;4326;141;424
17;jay;4750;;0.9298947368421052;0.9468381564844587;0.9298947368421052;0.9382899628252788;4417;248;333
15;robin;4750;;0.9149473684210526;0.9595937293000663;0.9149473684210526;0.9367388727233538;4346;183;404
19;chickadee;4750;;0.8926315789473684;0.9851301115241635;0.8926315789473684;0.9366026065827259;4240;64;510
95;jacamar;4750;;0.9317894736842105;0.9411014246225813;0.9317894736842105;0.9364222997990056;4426;277;324
351;hartebeest;4750;;0.8964210526315789;0.9752633989922126;0.8964210526315789;0.9341816586222028;4258;108;492
984;rapeseed;4750;;0.907157894736842;0.9590474070776764;0.907157894736842;0.9323812614951855;4309;184;441
130;flamingo;4750;;0.8901052631578947;0.9780245200092529;0.8901052631578947;0.9319960321834012;4228;95;522
255;Leonberg;4750;;0.9252631578947368;0.9373000639795266;0.9252631578947368;0.931242716389448;4395;294;355
900;water_tower;4750;;0.9176842105263158;0.9428942245295263;0.9176842105263158;0.9301184252640563;4359;264;391
91;coucal;4750;;0.8869473684210526;0.9741040462427746;0.8869473684210526;0.9284848484848485;4213;112;537
98;red-breasted_merganser;4750;;0.9031578947368422;0.9480662983425414;0.9031578947368422;0.925067385444744;4290;235;460
145;king_penguin;4750;;0.8932631578947369;0.9571396345589894;0.8932631578947369;0.924098878362191;4243;190;507
88;macaw;4750;;0.9136842105263158;0.9331326596430876;0.9136842105263158;0.9233060312732688;4340;311;410
143;oystercatcher;4750;;0.880421052631579;0.9703016241299304;0.880421052631579;0.92317880794702;4182;128;568
392;rock_beauty;4750;;0.9267368421052632;0.9165105142619197;0.9267368421052632;0.9215953103737047;4402;401;348
92;bee_eater;4750;;0.9178947368421052;0.9208025343189018;0.9178947368421052;0.9193463363205061;4360;375;390
387;lesser_panda;4750;;0.8974736842105263;0.9414752650176679;0.8974736842105263;0.9189480491485235;4263;265;487
141;redshank;4750;;0.8751578947368421;0.9658457249070632;0.8751578947368421;0.9182681687651867;4157;147;593
993;gyromitra;4750;;0.9098947368421053;0.926672384219554;0.9098947368421053;0.9182069258551093;4322;342;428
139;ruddy_turnstone;4750;;0.9296842105263158;0.9045473166734944;0.9296842105263158;0.9169435215946843;4416;466;334
13;junco;4750;;0.8821052631578947;0.9531392174704276;0.8821052631578947;0.9162475399081565;4190;206;560
430;basketball;4750;;0.8806315789473684;0.9528473804100228;0.8806315789473684;0.9153172866520789;4183;207;567
645;maypole;4750;;0.9324210526315789;0.8956521739130435;0.9324210526315789;0.9136668385765859;4429;516;321
94;hummingbird;4750;;0.9042105263157895;0.9230603911454975;0.9042105263157895;0.9135382324789961;4295;358;455
768;rugby_ball;4750;;0.8612631578947368;0.9694312796208531;0.8612631578947368;0.9121516164994425;4091;129;659
945;bell_pepper;4750;;0.8770526315789474;0.9478953356086461;0.8770526315789474;0.9110989611809732;4166;229;584
990;buckeye;4750;;0.8962105263157895;0.9246307558644656;0.8962105263157895;0.9101988454137268;4257;347;493
376;proboscis_monkey;4750;;0.9414736842105264;0.8808351388615324;0.9414736842105264;0.9101455174519182;4472;605;278
389;barracouta;4750;;0.9303157894736842;0.8902095084609186;0.9303157894736842;0.9098208770846202;4419;545;331
22;bald_eagle;4750;;0.9381052631578948;0.8802844725404978;0.9381052631578948;0.9082755809213208;4456;606;294
989;hip;4750;;0.8850526315789473;0.9319441365550876;0.8850526315789473;0.9078933160565813;4204;307;546
87;African_grey;4750;;0.852;0.9707363876229311;0.852;0.9075008409014463;4047;122;703
16;bulbul;4750;;0.8463157894736842;0.9781021897810219;0.8463157894736842;0.9074492099322798;4020;90;730
18;magpie;4750;;0.883578947368421;0.9308050565535595;0.883578947368421;0.9065773841667566;4197;312;553
85;quail;4750;;0.8928421052631579;0.9183629276743179;0.8928421052631579;0.9054227156276686;4241;377;509
388;giant_panda;4750;;0.9014736842105263;0.9083580823080186;0.9014736842105263;0.9049027895181742;4282;432;468
96;toucan;4750;;0.8696842105263158;0.9425051334702259;0.8696842105263158;0.9046315558962007;4131;252;619
625;lifeboat;4750;;0.8694736842105263;0.9422769792379648;0.8694736842105263;0.9044125698018175;4130;253;620
890;volleyball;4750;;0.9094736842105263;0.8983156581409857;0.9094736842105263;0.9038602364264043;4320;489;430
138;bustard;4750;;0.8705263157894737;0.9389191643960036;0.8705263157894737;0.9034301944505134;4135;269;615
607;jack-o'-lantern;4750;;0.9218947368421052;0.8850040420371867;0.9218947368421052;0.9030727985151576;4379;569;371
284;Siamese_cat;4750;;0.9404210526315789;0.8680528565876409;0.9404210526315789;0.902789005658852;4467;679;283
83;prairie_chicken;4750;;0.879578947368421;0.927208166888593;0.879578947368421;0.9027657735522904;4178;328;572
127;white_stork;4750;;0.86;0.9484560018574414;0.86;0.9020647013359833;4085;222;665
425;barn;4750;;0.8858947368421053;0.9177753544165758;0.8858947368421053;0.9015532940546331;4208;377;542
9;ostrich;4750;;0.9429473684210526;0.8631720948159568;0.9429473684210526;0.9012979172955025;4479;710;271
953;pineapple;4750;;0.8583157894736843;0.9479190885840503;0.8583157894736843;0.9008949287371563;4077;224;673
466;bullet_train;4750;;0.8821052631578947;0.9202723479024819;0.8821052631578947;0.9007846931097495;4190;363;560
