rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_l__knn;CLIP-L-KNN;0.06866597724922441;0.23329886246122028;0.0;0;0;0;0.0
2;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.2543950361944157;0.4587383660806618;0.0;0;0;0;0.0
3;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.25811789038262667;0.6421923474663909;0.0;0;0;0;0.0
4;dinov2_l__knn;DINOv2-L-KNN;0.20682523267838676;0.4312306101344364;0.0;0;0;0;0.0
5;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.1592554291623578;0.3791106514994829;0.0;0;0;0;0.0
6;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.2467425025853154;0.5706308169596691;0.0;0;0;0;0.0
7;dinov3_l__knn;DINOv3-L-KNN;0.2095139607032058;0.4359875904860393;0.0;0;0;0;0.0
8;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.21013443640124096;0.41137538779731125;0.0;0;0;0;0.0
9;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.22771458117890384;0.5975180972078593;0.0;0;0;0;0.0
10;swin_l__knn;Swin-L-KNN;0.20041365046535678;0.4215098241985522;0.0;0;0;0;0.0
11;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.20041365046535678;0.4215098241985522;0.0;0;0;0;0.0
12;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.21323681489141674;0.6318510858324715;0.0;0;0;0;0.0
13;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.1296794208893485;0.31209927611168564;0.0;0;0;0;0.0
14;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.16339193381592554;0.46804550155118924;0.0;0;0;0;0.0
