class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
508;computer keyboard, keypad;1;;1.0;1.0;1.0;1.0;1;0;0
761;remote control, remote;5;;0.8;0.6666666666666666;0.8;0.7272727272727272;4;2;1
770;running shoe;13;;0.46153846153846156;1.0;0.46153846153846156;0.631578947368421;6;0;7
783;screw;43;;0.4883720930232558;0.875;0.4883720930232558;0.6268656716417911;21;3;22
930;French loaf;21;;0.3333333333333333;0.875;0.3333333333333333;0.48275862068965514;7;1;14
578;gown;26;;0.3076923076923077;1.0;0.3076923076923077;0.47058823529411764;8;0;18
859;toaster;46;;0.34782608695652173;0.7272727272727273;0.34782608695652173;0.4705882352941176;16;6;30
696;paintbrush;78;;0.32051282051282054;0.78125;0.32051282051282054;0.45454545454545453;25;7;53
677;nail;71;;0.323943661971831;0.696969696969697;0.323943661971831;0.44230769230769235;23;10;48
725;pitcher, ewer;67;;0.34328358208955223;0.5227272727272727;0.34328358208955223;0.4144144144144144;23;21;44
419;Band Aid;96;;0.2604166666666667;0.8928571428571429;0.2604166666666667;0.40322580645161293;25;3;71
623;letter opener, paper knife, paperknife;23;;0.34782608695652173;0.4444444444444444;0.34782608695652173;0.3902439024390244;8;10;15
567;frying pan, frypan, skillet;82;;0.2804878048780488;0.5227272727272727;0.2804878048780488;0.3650793650793651;23;21;59
759;reflex camera;8;;0.25;0.6666666666666666;0.25;0.36363636363636365;2;1;6
792;shovel;161;;0.2608695652173913;0.56;0.2608695652173913;0.3559322033898305;42;33;119
806;sock;12;;0.25;0.6;0.25;0.35294117647058826;3;2;9
589;hand blower, blow dryer, blow drier, hair dryer, hair drier;9;;0.2222222222222222;0.6666666666666666;0.2222222222222222;0.3333333333333333;2;1;7
695;padlock;9;;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.3333333333333333;3;6;6
893;wallet, billfold, notecase, pocketbook;14;;0.21428571428571427;0.6;0.21428571428571427;0.3157894736842105;3;2;11
811;space heater;43;;0.23255813953488372;0.47619047619047616;0.23255813953488372;0.3125;10;11;33
909;wok;63;;0.23809523809523808;0.45454545454545453;0.23809523809523808;0.31249999999999994;15;18;48
879;umbrella;8;;0.25;0.4;0.25;0.3076923076923077;2;3;6
769;rule, ruler;10;;0.2;0.6666666666666666;0.2;0.30769230769230765;2;1;8
700;paper towel;356;;0.16573033707865167;0.921875;0.16573033707865167;0.280952380952381;59;5;297
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;49;;0.2653061224489796;0.2653061224489796;0.2653061224489796;0.2653061224489796;13;36;36
720;pill bottle;196;;0.16326530612244897;0.6808510638297872;0.16326530612244897;0.2633744855967078;32;15;164
587;hammer;35;;0.17142857142857143;0.5;0.17142857142857143;0.2553191489361702;6;6;29
813;spatula;123;;0.16260162601626016;0.45454545454545453;0.16260162601626016;0.23952095808383228;20;24;103
455;bottlecap;44;;0.13636363636363635;0.75;0.13636363636363635;0.23076923076923075;6;2;38
790;shopping basket;10;;0.7;0.13725490196078433;0.7;0.2295081967213115;7;44;3
608;jean, blue jean, denim;7;;0.14285714285714285;0.5;0.14285714285714285;0.22222222222222224;1;1;6
740;power drill;8;;0.125;1.0;0.125;0.2222222222222222;1;0;7
630;Loafer;6;;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.2222222222222222;1;2;5
504;coffee mug;164;;0.12804878048780488;0.6774193548387096;0.12804878048780488;0.21538461538461537;21;10;143
434;bath towel;69;;0.13043478260869565;0.6;0.13043478260869565;0.21428571428571427;9;6;60
618;ladle;27;;0.14814814814814814;0.36363636363636365;0.14814814814814814;0.21052631578947367;4;7;23
664;monitor;23;;0.13043478260869565;0.5;0.13043478260869565;0.20689655172413793;3;3;20
673;mouse, computer mouse;34;;0.11764705882352941;0.8;0.11764705882352941;0.20512820512820512;4;1;30
