class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
783;screw;43;;0.5581395348837209;0.8;0.5581395348837209;0.6575342465753425;24;6;19
725;pitcher, ewer;67;;0.47761194029850745;0.8205128205128205;0.47761194029850745;0.6037735849056602;32;7;35
806;sock;12;;0.4166666666666667;0.8333333333333334;0.4166666666666667;0.5555555555555556;5;1;7
859;toaster;46;;0.34782608695652173;0.9411764705882353;0.34782608695652173;0.5079365079365079;16;1;30
473;can opener, tin opener;1;;1.0;0.3333333333333333;1.0;0.5;1;2;0
504;coffee mug;164;;0.3353658536585366;0.8870967741935484;0.3353658536585366;0.48672566371681425;55;7;109
770;running shoe;13;;0.3076923076923077;1.0;0.3076923076923077;0.47058823529411764;4;0;9
589;hand blower, blow dryer, blow drier, hair dryer, hair drier;9;;0.3333333333333333;0.75;0.3333333333333333;0.46153846153846156;3;1;6
673;mouse, computer mouse;34;;0.29411764705882354;1.0;0.29411764705882354;0.45454545454545453;10;0;24
623;letter opener, paper knife, paperknife;23;;0.43478260869565216;0.45454545454545453;0.43478260869565216;0.4444444444444445;10;12;13
769;rule, ruler;10;;0.4;0.5;0.4;0.4444444444444445;4;4;6
696;paintbrush;78;;0.34615384615384615;0.6136363636363636;0.34615384615384615;0.4426229508196722;27;17;51
792;shovel;161;;0.391304347826087;0.4144736842105263;0.391304347826087;0.40255591054313106;63;89;98
849;teapot;4;;0.5;0.3333333333333333;0.5;0.4;2;4;2
740;power drill;8;;0.25;1.0;0.25;0.4;2;0;6
508;computer keyboard, keypad;1;;1.0;0.25;1.0;0.4;1;3;0
759;reflex camera;8;;0.25;1.0;0.25;0.4;2;0;6
774;sandal;7;;0.2857142857142857;0.6666666666666666;0.2857142857142857;0.4;2;1;5
578;gown;26;;0.2692307692307692;0.7777777777777778;0.2692307692307692;0.39999999999999997;7;2;19
700;paper towel;356;;0.25;0.9270833333333334;0.25;0.3938053097345132;89;7;267
619;lampshade, lamp shade;34;;0.35294117647058826;0.42857142857142855;0.35294117647058826;0.3870967741935484;12;16;22
930;French loaf;21;;0.23809523809523808;1.0;0.23809523809523808;0.3846153846153846;5;0;16
419;Band Aid;96;;0.22916666666666666;1.0;0.22916666666666666;0.37288135593220334;22;0;74
567;frying pan, frypan, skillet;82;;0.3048780487804878;0.43859649122807015;0.3048780487804878;0.3597122302158273;25;32;57
893;wallet, billfold, notecase, pocketbook;14;;0.2857142857142857;0.4444444444444444;0.2857142857142857;0.34782608695652173;4;5;10
651;microwave, microwave oven;39;;0.23076923076923078;0.6923076923076923;0.23076923076923078;0.34615384615384615;9;4;30
834;suit, suit of clothes;4;;0.25;0.5;0.25;0.3333333333333333;1;1;3
463;bucket, pail;52;;0.4807692307692308;0.25252525252525254;0.4807692307692308;0.33112582781456956;25;74;27
804;soap dispenser;35;;0.3142857142857143;0.3333333333333333;0.3142857142857143;0.3235294117647059;11;22;24
434;bath towel;69;;0.2028985507246377;0.6666666666666666;0.2028985507246377;0.3111111111111111;14;7;55
868;tray;122;;0.22131147540983606;0.5094339622641509;0.22131147540983606;0.30857142857142855;27;26;95
695;padlock;9;;0.2222222222222222;0.5;0.2222222222222222;0.30769230769230765;2;2;7
731;plunger, plumber's helper;99;;0.21212121212121213;0.5526315789473685;0.21212121212121213;0.30656934306569344;21;17;78
414;backpack, back pack, knapsack, packsack, rucksack, haversack;20;;0.2;0.5714285714285714;0.2;0.29629629629629634;4;3;16
778;scale, weighing machine;57;;0.21052631578947367;0.5;0.21052631578947367;0.2962962962962963;12;12;45
720;pill bottle;196;;0.17857142857142858;0.7608695652173914;0.17857142857142858;0.2892561983471075;35;11;161
909;wok;63;;0.20634920634920634;0.4642857142857143;0.20634920634920634;0.2857142857142857;13;15;50
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;49;;0.4897959183673469;0.19834710743801653;0.4897959183673469;0.2823529411764706;24;97;25
518;crash helmet;24;;0.16666666666666666;0.8;0.16666666666666666;0.27586206896551724;4;1;20
620;laptop, laptop computer;24;;0.16666666666666666;0.8;0.16666666666666666;0.27586206896551724;4;1;20
455;bottlecap;44;;0.1590909090909091;0.875;0.1590909090909091;0.26923076923076916;7;1;37
440;beer bottle;13;;0.23076923076923078;0.3;0.23076923076923078;0.2608695652173913;3;7;10
470;candle, taper, wax light;24;;0.16666666666666666;0.5714285714285714;0.16666666666666666;0.25806451612903225;4;3;20
588;hamper;133;;0.18796992481203006;0.4032258064516129;0.18796992481203006;0.25641025641025644;25;37;108
813;spatula;123;;0.17073170731707318;0.4883720930232558;0.17073170731707318;0.25301204819277107;21;22;102
954;banana;7;;0.14285714285714285;1.0;0.14285714285714285;0.25;1;0;6
761;remote control, remote;5;;0.6;0.15789473684210525;0.6;0.25;3;16;2
902;whistle;30;;0.16666666666666666;0.45454545454545453;0.16666666666666666;0.2439024390243902;5;6;25
721;pillow;91;;0.14285714285714285;0.7222222222222222;0.14285714285714285;0.2385321100917431;13;5;78
811;space heater;43;;0.13953488372093023;0.75;0.13953488372093023;0.2352941176470588;6;2;37
742;printer;46;;0.15217391304347827;0.5;0.15217391304347827;0.23333333333333334;7;7;39
608;jean, blue jean, denim;7;;0.14285714285714285;0.5;0.14285714285714285;0.22222222222222224;1;1;6
587;hammer;35;;0.2;0.23333333333333334;0.2;0.2153846153846154;7;23;28
533;dishrag, dishcloth;45;;0.13333333333333333;0.42857142857142855;0.13333333333333333;0.20338983050847456;6;8;39
664;monitor;23;;0.13043478260869565;0.42857142857142855;0.13043478260869565;0.2;3;4;20
677;nail;71;;0.11267605633802817;0.8;0.11267605633802817;0.19753086419753088;8;2;63
618;ladle;27;;0.18518518518518517;0.2;0.18518518518518517;0.1923076923076923;5;20;22
610;jersey, T-shirt, tee shirt;141;;0.10638297872340426;0.9375;0.10638297872340426;0.19108280254777069;15;1;126
728;plastic bag;42;;0.11904761904761904;0.45454545454545453;0.11904761904761904;0.18867924528301885;5;6;37
851;television, television system;35;;0.2;0.16279069767441862;0.2;0.17948717948717952;7;36;28
809;soup bowl;39;;0.1282051282051282;0.29411764705882354;0.1282051282051282;0.17857142857142858;5;12;34
879;umbrella;8;;0.25;0.13333333333333333;0.25;0.1739130434782609;2;13;6
644;matchstick;3;;0.3333333333333333;0.1111111111111111;0.3333333333333333;0.16666666666666666;1;8;2
773;saltshaker, salt shaker;195;;0.10256410256410256;0.43478260869565216;0.10256410256410256;0.16597510373443983;20;26;175
968;cup;19;;0.42105263157894735;0.0975609756097561;0.42105263157894735;0.15841584158415842;8;74;11
531;digital watch;12;;0.08333333333333333;1.0;0.08333333333333333;0.15384615384615385;1;0;11
629;lipstick, lip rouge;38;;0.07894736842105263;1.0;0.07894736842105263;0.14634146341463414;3;0;35
626;lighter, light, igniter, ignitor;35;;0.11428571428571428;0.16;0.11428571428571428;0.13333333333333333;4;21;31
549;envelope;40;;0.075;0.6;0.075;0.13333333333333333;3;2;37
883;vase;56;;0.08928571428571429;0.18518518518518517;0.08928571428571429;0.12048192771084336;5;22;51
999;toilet tissue, toilet paper, bathroom tissue;43;;0.2558139534883721;0.07801418439716312;0.2558139534883721;0.11956521739130437;11;130;32
790;shopping basket;10;;0.2;0.06451612903225806;0.2;0.0975609756097561;2;29;8
898;water bottle;73;;0.1232876712328767;0.07258064516129033;0.1232876712328767;0.09137055837563453;9;115;64
539;doormat, welcome mat;7;;0.14285714285714285;0.06666666666666667;0.14285714285714285;0.09090909090909091;1;14;6
841;sweatshirt;16;;0.0625;0.16666666666666666;0.0625;0.09090909090909091;1;5;15
797;sleeping bag;5;;0.2;0.058823529411764705;0.2;0.0909090909090909;1;16;4
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;15;;0.06666666666666667;0.1;0.06666666666666667;0.08;1;9;14
923;plate;256;;0.03515625;0.9;0.03515625;0.06766917293233082;9;1;247
