class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
504;coffee mug;164;;0.3231707317073171;0.7794117647058824;0.3231707317073171;0.45689655172413796;53;15;111
783;screw;43;;0.27906976744186046;0.7058823529411765;0.27906976744186046;0.4;12;5;31
813;spatula;123;;0.3008130081300813;0.4625;0.3008130081300813;0.36453201970443355;37;43;86
578;gown;26;;0.2692307692307692;0.5384615384615384;0.2692307692307692;0.3589743589743589;7;6;19
809;soup bowl;39;;0.2564102564102564;0.45454545454545453;0.2564102564102564;0.3278688524590163;10;12;29
725;pitcher, ewer;67;;0.29850746268656714;0.28169014084507044;0.29850746268656714;0.28985507246376807;20;51;47
695;padlock;9;;0.2222222222222222;0.25;0.2222222222222222;0.23529411764705882;2;6;7
463;bucket, pail;52;;0.21153846153846154;0.25;0.21153846153846154;0.22916666666666666;11;33;41
790;shopping basket;10;;0.4;0.15384615384615385;0.4;0.2222222222222222;4;22;6
587;hammer;35;;0.14285714285714285;0.3125;0.14285714285714285;0.196078431372549;5;11;30
700;paper towel;356;;0.10674157303370786;1.0;0.10674157303370786;0.19289340101522842;38;0;318
664;monitor;23;;0.21739130434782608;0.16666666666666666;0.21739130434782608;0.18867924528301885;5;25;18
770;running shoe;13;;0.15384615384615385;0.2222222222222222;0.15384615384615385;0.18181818181818185;2;7;11
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;43;;0.13953488372093023;0.23076923076923078;0.13953488372093023;0.1739130434782609;6;20;37
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;49;;0.1836734693877551;0.15517241379310345;0.1836734693877551;0.16822429906542055;9;49;40
696;paintbrush;78;;0.08974358974358974;0.875;0.08974358974358974;0.1627906976744186;7;1;71
567;frying pan, frypan, skillet;82;;0.0975609756097561;0.38095238095238093;0.0975609756097561;0.15533980582524273;8;13;74
455;bottlecap;44;;0.09090909090909091;0.5;0.09090909090909091;0.15384615384615385;4;4;40
930;French loaf;21;;0.09523809523809523;0.4;0.09523809523809523;0.15384615384615385;2;3;19
859;toaster;46;;0.08695652173913043;0.5714285714285714;0.08695652173913043;0.15094339622641512;4;3;42
804;soap dispenser;35;;0.11428571428571428;0.2222222222222222;0.11428571428571428;0.1509433962264151;4;14;31
623;letter opener, paper knife, paperknife;23;;0.17391304347826086;0.12903225806451613;0.17391304347826086;0.14814814814814814;4;27;19
531;digital watch;12;;0.08333333333333333;0.5;0.08333333333333333;0.14285714285714285;1;1;11
619;lampshade, lamp shade;34;;0.11764705882352941;0.17391304347826086;0.11764705882352941;0.14035087719298242;4;19;30
588;hamper;133;;0.09022556390977443;0.27906976744186046;0.09022556390977443;0.13636363636363635;12;31;121
806;sock;12;;0.08333333333333333;0.3333333333333333;0.08333333333333333;0.13333333333333333;1;2;11
773;saltshaker, salt shaker;195;;0.08717948717948718;0.20987654320987653;0.08717948717948718;0.12318840579710146;17;64;178
909;wok;63;;0.07936507936507936;0.20833333333333334;0.07936507936507936;0.11494252873563218;5;19;58
849;teapot;4;;0.5;0.058823529411764705;0.5;0.10526315789473684;2;32;2
620;laptop, laptop computer;24;;0.08333333333333333;0.125;0.08333333333333333;0.1;2;14;22
651;microwave, microwave oven;39;;0.07692307692307693;0.125;0.07692307692307693;0.09523809523809525;3;21;36
629;lipstick, lip rouge;38;;0.05263157894736842;0.4;0.05263157894736842;0.09302325581395349;2;3;36
811;space heater;43;;0.046511627906976744;0.6666666666666666;0.046511627906976744;0.08695652173913045;2;1;41
792;shovel;161;;0.049689440993788817;0.18181818181818182;0.049689440993788817;0.07804878048780488;8;36;153
533;dishrag, dishcloth;45;;0.06666666666666667;0.09375;0.06666666666666667;0.07792207792207793;3;29;42
731;plunger, plumber's helper;99;;0.04040404040404041;0.36363636363636365;0.04040404040404041;0.07272727272727274;4;7;95
440;beer bottle;13;;0.15384615384615385;0.045454545454545456;0.15384615384615385;0.07017543859649122;2;42;11
846;table lamp;55;;0.05454545454545454;0.08571428571428572;0.05454545454545454;0.06666666666666667;3;32;52
968;cup;19;;0.05263157894736842;0.08333333333333333;0.05263157894736842;0.06451612903225808;1;11;18
778;scale, weighing machine;57;;0.03508771929824561;0.3333333333333333;0.03508771929824561;0.06349206349206349;2;4;55
419;Band Aid;96;;0.03125;1.0;0.03125;0.06060606060606061;3;0;93
720;pill bottle;196;;0.030612244897959183;0.8571428571428571;0.030612244897959183;0.059113300492610835;6;1;190
893;wallet, billfold, notecase, pocketbook;14;;0.07142857142857142;0.041666666666666664;0.07142857142857142;0.052631578947368425;1;23;13
673;mouse, computer mouse;34;;0.029411764705882353;0.25;0.029411764705882353;0.05263157894736842;1;3;33
999;toilet tissue, toilet paper, bathroom tissue;43;;0.046511627906976744;0.05555555555555555;0.046511627906976744;0.050632911392405056;2;34;41
677;nail;71;;0.028169014084507043;0.2222222222222222;0.028169014084507043;0.05;2;7;69
610;jersey, T-shirt, tee shirt;141;;0.02127659574468085;1.0;0.02127659574468085;0.04166666666666667;3;0;138
742;printer;46;;0.021739130434782608;0.25;0.021739130434782608;0.04;1;3;45
868;tray;122;;0.01639344262295082;0.6666666666666666;0.01639344262295082;0.032;2;1;120
898;water bottle;73;;0.0136986301369863;0.019230769230769232;0.0136986301369863;0.016;1;51;72
703;park bench;271;;0.0036900369003690036;0.05263157894736842;0.0036900369003690036;0.006896551724137931;1;18;270
545;electric fan, blower;12;;0.0;0.0;0.0;0.0;0;1;12
543;dumbbell;1;;0.0;0.0;0.0;0.0;0;1;1
550;espresso maker;13;;0.0;0.0;0.0;0.0;0;0;13
549;envelope;40;;0.0;0.0;0.0;0.0;0;11;40
444;bicycle-built-for-two, tandem bicycle, tandem;1;;0.0;0.0;0.0;0.0;0;13;1
446;binder, ring-binder;27;;0.0;0.0;0.0;0.0;0;5;27
457;bow tie, bow-tie, bowtie;14;;0.0;0.0;0.0;0.0;0;3;14
473;can opener, tin opener;1;;0.0;0.0;0.0;0.0;0;33;1
414;backpack, back pack, knapsack, packsack, rucksack, haversack;20;;0.0;0.0;0.0;0.0;0;1;20
409;analog clock;2;;0.0;0.0;0.0;0.0;0;10;2
423;barber chair;63;;0.0;0.0;0.0;0.0;0;10;63
434;bath towel;69;;0.0;0.0;0.0;0.0;0;6;69
539;doormat, welcome mat;7;;0.0;0.0;0.0;0.0;0;0;7
470;candle, taper, wax light;24;;0.0;0.0;0.0;0.0;0;3;24
462;broom;4;;0.0;0.0;0.0;0.0;0;31;4
479;car wheel;77;;0.0;0.0;0.0;0.0;0;1;77
499;cleaver, meat cleaver, chopper;2;;0.0;0.0;0.0;0.0;0;3;2
507;combination lock;1;;0.0;0.0;0.0;0.0;0;5;1
508;computer keyboard, keypad;1;;0.0;0.0;0.0;0.0;0;4;1
518;crash helmet;24;;0.0;0.0;0.0;0.0;0;0;24
618;ladle;27;;0.0;0.0;0.0;0.0;0;2;27
608;jean, blue jean, denim;7;;0.0;0.0;0.0;0.0;0;6;7
589;hand blower, blow dryer, blow drier, hair dryer, hair drier;9;;0.0;0.0;0.0;0.0;0;0;9
601;hoopskirt, crinoline;6;;0.0;0.0;0.0;0.0;0;1;6
749;quill, quill pen;11;;0.0;0.0;0.0;0.0;0;4;11
728;plastic bag;42;;0.0;0.0;0.0;0.0;0;3;42
737;pop bottle, soda bottle;108;;0.0;0.0;0.0;0.0;0;9;108
761;remote control, remote;5;;0.0;0.0;0.0;0.0;0;8;5
721;pillow;91;;0.0;0.0;0.0;0.0;0;0;91
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;15;;0.0;0.0;0.0;0.0;0;9;15
630;Loafer;6;;0.0;0.0;0.0;0.0;0;4;6
626;lighter, light, igniter, ignitor;35;;0.0;0.0;0.0;0.0;0;4;35
644;matchstick;3;;0.0;0.0;0.0;0.0;0;5;3
659;mixing bowl;10;;0.0;0.0;0.0;0.0;0;40;10
658;mitten;36;;0.0;0.0;0.0;0.0;0;4;36
740;power drill;8;;0.0;0.0;0.0;0.0;0;2;8
774;sandal;7;;0.0;0.0;0.0;0.0;0;3;7
769;rule, ruler;10;;0.0;0.0;0.0;0.0;0;3;10
759;reflex camera;8;;0.0;0.0;0.0;0.0;0;0;8
850;teddy, teddy bear;2;;0.0;0.0;0.0;0.0;0;3;2
797;sleeping bag;5;;0.0;0.0;0.0;0.0;0;5;5
841;sweatshirt;16;;0.0;0.0;0.0;0.0;0;1;16
834;suit, suit of clothes;4;;0.0;0.0;0.0;0.0;0;0;4
837;sunglasses, dark glasses, shades;5;;0.0;0.0;0.0;0.0;0;1;5
882;vacuum, vacuum cleaner;3;;0.0;0.0;0.0;0.0;0;0;3
883;vase;56;;0.0;0.0;0.0;0.0;0;8;56
851;television, television system;35;;0.0;0.0;0.0;0.0;0;21;35
879;umbrella;8;;0.0;0.0;0.0;0.0;0;2;8
923;plate;256;;0.0;0.0;0.0;0.0;0;1;256
902;whistle;30;;0.0;0.0;0.0;0.0;0;1;30
954;banana;7;;0.0;0.0;0.0;0.0;0;6;7
951;lemon;27;;0.0;0.0;0.0;0.0;0;6;27
