class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
504;coffee mug;164;;0.2682926829268293;0.8627450980392157;0.2682926829268293;0.4093023255813954;44;7;120
725;pitcher, ewer;67;;0.3582089552238806;0.47058823529411764;0.3582089552238806;0.4067796610169491;24;27;43
783;screw;43;;0.23255813953488372;0.9090909090909091;0.23255813953488372;0.3703703703703703;10;1;33
695;padlock;9;;0.2222222222222222;1.0;0.2222222222222222;0.3636363636363636;2;0;7
578;gown;26;;0.19230769230769232;0.8333333333333334;0.19230769230769232;0.3125;5;1;21
813;spatula;123;;0.21138211382113822;0.37142857142857144;0.21138211382113822;0.26943005181347146;26;44;97
806;sock;12;;0.16666666666666666;0.5;0.16666666666666666;0.25;2;2;10
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;49;;0.40816326530612246;0.1724137931034483;0.40816326530612246;0.24242424242424246;20;96;29
731;plunger, plumber's helper;99;;0.1717171717171717;0.3269230769230769;0.1717171717171717;0.22516556291390727;17;35;82
463;bucket, pail;52;;0.25;0.19117647058823528;0.25;0.21666666666666665;13;55;39
677;nail;71;;0.14084507042253522;0.43478260869565216;0.14084507042253522;0.2127659574468085;10;13;61
809;soup bowl;39;;0.1282051282051282;0.5555555555555556;0.1282051282051282;0.20833333333333334;5;4;34
419;Band Aid;96;;0.11458333333333333;1.0;0.11458333333333333;0.205607476635514;11;0;85
790;shopping basket;10;;0.6;0.11764705882352941;0.6;0.19672131147540983;6;45;4
567;frying pan, frypan, skillet;82;;0.13414634146341464;0.3548387096774194;0.13414634146341464;0.1946902654867257;11;20;71
759;reflex camera;8;;0.125;0.3333333333333333;0.125;0.18181818181818182;1;2;7
859;toaster;46;;0.10869565217391304;0.5555555555555556;0.10869565217391304;0.1818181818181818;5;4;41
804;soap dispenser;35;;0.17142857142857143;0.18181818181818182;0.17142857142857143;0.1764705882352941;6;27;29
589;hand blower, blow dryer, blow drier, hair dryer, hair drier;9;;0.1111111111111111;0.3333333333333333;0.1111111111111111;0.16666666666666666;1;2;8
696;paintbrush;78;;0.10256410256410256;0.42105263157894735;0.10256410256410256;0.16494845360824742;8;11;70
539;doormat, welcome mat;7;;0.14285714285714285;0.16666666666666666;0.14285714285714285;0.15384615384615383;1;5;6
792;shovel;161;;0.10559006211180125;0.22666666666666666;0.10559006211180125;0.1440677966101695;17;58;144
770;running shoe;13;;0.07692307692307693;1.0;0.07692307692307693;0.14285714285714288;1;0;12
849;teapot;4;;0.25;0.09090909090909091;0.25;0.13333333333333333;1;10;3
531;digital watch;12;;0.08333333333333333;0.3333333333333333;0.08333333333333333;0.13333333333333333;1;2;11
588;hamper;133;;0.08270676691729323;0.3333333333333333;0.08270676691729323;0.13253012048192772;11;22;122
778;scale, weighing machine;57;;0.07017543859649122;1.0;0.07017543859649122;0.13114754098360656;4;0;53
700;paper towel;356;;0.0702247191011236;0.9615384615384616;0.0702247191011236;0.13089005235602094;25;1;331
811;space heater;43;;0.09302325581395349;0.21052631578947367;0.09302325581395349;0.12903225806451613;4;15;39
587;hammer;35;;0.08571428571428572;0.2;0.08571428571428572;0.12000000000000001;3;12;32
761;remote control, remote;5;;0.2;0.08333333333333333;0.2;0.11764705882352941;1;11;4
909;wok;63;;0.07936507936507936;0.21739130434782608;0.07936507936507936;0.11627906976744186;5;18;58
720;pill bottle;196;;0.061224489795918366;0.75;0.061224489795918366;0.11320754716981131;12;4;184
930;French loaf;21;;0.047619047619047616;1.0;0.047619047619047616;0.0909090909090909;1;0;20
651;microwave, microwave oven;39;;0.05128205128205128;0.25;0.05128205128205128;0.0851063829787234;2;6;37
620;laptop, laptop computer;24;;0.041666666666666664;0.5;0.041666666666666664;0.07692307692307693;1;1;23
728;plastic bag;42;;0.047619047619047616;0.18181818181818182;0.047619047619047616;0.07547169811320754;2;9;40
664;monitor;23;;0.043478260869565216;0.1111111111111111;0.043478260869565216;0.0625;1;8;22
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;15;;0.06666666666666667;0.05;0.06666666666666667;0.05714285714285715;1;19;14
868;tray;122;;0.03278688524590164;0.16666666666666666;0.03278688524590164;0.0547945205479452;4;20;118
673;mouse, computer mouse;34;;0.029411764705882353;0.2;0.029411764705882353;0.05128205128205128;1;4;33
434;bath towel;69;;0.028985507246376812;0.2222222222222222;0.028985507246376812;0.05128205128205128;2;7;67
999;toilet tissue, toilet paper, bathroom tissue;43;;0.09302325581395349;0.03508771929824561;0.09302325581395349;0.05095541401273885;4;110;39
