class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
725;pitcher, ewer;67;;0.6716417910447762;0.8333333333333334;0.6716417910447762;0.7438016528925621;45;9;22
504;coffee mug;164;;0.524390243902439;0.945054945054945;0.524390243902439;0.6745098039215687;86;5;78
623;letter opener, paper knife, paperknife;23;;0.6086956521739131;0.6666666666666666;0.6086956521739131;0.6363636363636365;14;7;9
792;shovel;161;;0.6335403726708074;0.6035502958579881;0.6335403726708074;0.6181818181818182;102;67;59
930;French loaf;21;;0.47619047619047616;0.8333333333333334;0.47619047619047616;0.6060606060606061;10;2;11
783;screw;43;;0.46511627906976744;0.8333333333333334;0.46511627906976744;0.5970149253731343;20;4;23
859;toaster;46;;0.391304347826087;0.9473684210526315;0.391304347826087;0.5538461538461538;18;1;28
759;reflex camera;8;;0.375;1.0;0.375;0.5454545454545454;3;0;5
700;paper towel;356;;0.3539325842696629;0.9545454545454546;0.3539325842696629;0.5163934426229508;126;6;230
850;teddy, teddy bear;2;;0.5;0.5;0.5;0.5;1;1;1
620;laptop, laptop computer;24;;0.3333333333333333;0.8;0.3333333333333333;0.47058823529411764;8;2;16
770;running shoe;13;;0.3076923076923077;1.0;0.3076923076923077;0.47058823529411764;4;0;9
806;sock;12;;0.3333333333333333;0.8;0.3333333333333333;0.47058823529411764;4;1;8
567;frying pan, frypan, skillet;82;;0.3902439024390244;0.5714285714285714;0.3902439024390244;0.463768115942029;32;24;50
954;banana;7;;0.2857142857142857;1.0;0.2857142857142857;0.4444444444444445;2;0;5
539;doormat, welcome mat;7;;0.5714285714285714;0.36363636363636365;0.5714285714285714;0.4444444444444444;4;7;3
455;bottlecap;44;;0.29545454545454547;0.8666666666666667;0.29545454545454547;0.44067796610169496;13;2;31
589;hand blower, blow dryer, blow drier, hair dryer, hair drier;9;;0.3333333333333333;0.6;0.3333333333333333;0.42857142857142855;3;2;6
696;paintbrush;78;;0.28205128205128205;0.7857142857142857;0.28205128205128205;0.4150943396226415;22;6;56
578;gown;26;;0.2692307692307692;0.875;0.2692307692307692;0.411764705882353;7;1;19
463;bucket, pail;52;;0.5;0.3466666666666667;0.5;0.4094488188976378;26;49;26
731;plunger, plumber's helper;99;;0.25252525252525254;0.7575757575757576;0.25252525252525254;0.3787878787878788;25;8;74
695;padlock;9;;0.3333333333333333;0.42857142857142855;0.3333333333333333;0.375;3;4;6
769;rule, ruler;10;;0.3;0.5;0.3;0.37499999999999994;3;3;7
902;whistle;30;;0.23333333333333334;0.875;0.23333333333333334;0.3684210526315789;7;1;23
440;beer bottle;13;;0.38461538461538464;0.3125;0.38461538461538464;0.3448275862068966;5;11;8
446;binder, ring-binder;27;;0.2222222222222222;0.75;0.2222222222222222;0.34285714285714286;6;2;21
804;soap dispenser;35;;0.2571428571428571;0.5;0.2571428571428571;0.33962264150943394;9;9;26
414;backpack, back pack, knapsack, packsack, rucksack, haversack;20;;0.2;1.0;0.2;0.33333333333333337;4;0;16
587;hammer;35;;0.3142857142857143;0.3548387096774194;0.3142857142857143;0.3333333333333333;11;20;24
677;nail;71;;0.2112676056338028;0.75;0.2112676056338028;0.3296703296703297;15;5;56
619;lampshade, lamp shade;34;;0.29411764705882354;0.37037037037037035;0.29411764705882354;0.3278688524590164;10;17;24
419;Band Aid;96;;0.19791666666666666;0.95;0.19791666666666666;0.32758620689655166;19;1;77
434;bath towel;69;;0.2028985507246377;0.8235294117647058;0.2028985507246377;0.32558139534883723;14;3;55
664;monitor;23;;0.21739130434782608;0.625;0.21739130434782608;0.3225806451612903;5;3;18
813;spatula;123;;0.22764227642276422;0.509090909090909;0.22764227642276422;0.3146067415730337;28;27;95
720;pill bottle;196;;0.1836734693877551;0.8780487804878049;0.1836734693877551;0.3037974683544304;36;5;160
761;remote control, remote;5;;0.6;0.2;0.6;0.3;3;12;2
