class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
707;class_707;1;;1.0;1.0;1.0;1.0;1;0;0
148;class_148;1;;1.0;1.0;1.0;1.0;1;0;0
344;class_344;2;;1.0;1.0;1.0;1.0;2;0;0
998;class_998;36;;0.9722222222222222;0.9722222222222222;0.9722222222222222;0.9722222222222222;35;1;1
908;class_908;14;;1.0;0.9333333333333333;1.0;0.9655172413793104;14;1;0
810;class_810;19;;0.8421052631578947;1.0;0.8421052631578947;0.9142857142857143;16;0;3
684;class_684;30;;0.8666666666666667;0.9629629629629629;0.8666666666666667;0.912280701754386;26;1;4
353;class_353;46;;0.8478260869565217;0.975;0.8478260869565217;0.9069767441860466;39;1;7
502;class_502;37;;0.918918918918919;0.8947368421052632;0.918918918918919;0.9066666666666667;34;4;3
121;class_121;28;;0.7857142857142857;1.0;0.7857142857142857;0.88;22;0;6
484;class_484;24;;0.75;1.0;0.75;0.8571428571428571;18;0;6
838;class_838;21;;0.8571428571428571;0.8571428571428571;0.8571428571428571;0.8571428571428571;18;3;3
482;class_482;30;;0.8666666666666667;0.8387096774193549;0.8666666666666667;0.8524590163934426;26;5;4
888;class_888;13;;0.8461538461538461;0.8461538461538461;0.8461538461538461;0.8461538461538461;11;2;2
417;class_417;15;;0.7333333333333333;1.0;0.7333333333333333;0.846153846153846;11;0;4
160;class_160;19;;0.8421052631578947;0.8421052631578947;0.8421052631578947;0.8421052631578947;16;3;3
956;class_956;28;;0.8214285714285714;0.8518518518518519;0.8214285714285714;0.8363636363636364;23;4;5
389;class_389;6;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;5;1;1
801;class_801;24;;0.7083333333333334;1.0;0.7083333333333334;0.8292682926829268;17;0;7
771;class_771;16;;0.875;0.7777777777777778;0.875;0.823529411764706;14;4;2
670;class_670;18;;0.7222222222222222;0.9285714285714286;0.7222222222222222;0.8125000000000001;13;1;5
753;class_753;28;;0.8214285714285714;0.7931034482758621;0.8214285714285714;0.8070175438596492;23;6;5
416;class_416;15;;0.8;0.8;0.8;0.8000000000000002;12;3;3
129;class_129;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
576;class_576;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
176;class_176;19;;0.7368421052631579;0.875;0.7368421052631579;0.7999999999999999;14;2;5
418;class_418;91;;0.6923076923076923;0.9130434782608695;0.6923076923076923;0.7875;63;6;28
680;class_680;66;;0.8333333333333334;0.7432432432432432;0.8333333333333334;0.7857142857142858;55;19;11
612;class_612;13;;0.6923076923076923;0.9;0.6923076923076923;0.7826086956521738;9;1;4
814;class_814;9;;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.7777777777777778;7;2;2
979;class_979;36;;0.6111111111111112;1.0;0.6111111111111112;0.7586206896551725;22;0;14
110;class_110;26;;0.8461538461538461;0.6875;0.8461538461538461;0.7586206896551724;22;10;4
282;class_282;42;;0.6190476190476191;0.9629629629629629;0.6190476190476191;0.7536231884057971;26;1;16
451;class_451;3;;1.0;0.6;1.0;0.7499999999999999;3;2;0
345;class_345;10;;0.6;1.0;0.6;0.7499999999999999;6;0;4
872;class_872;5;;0.6;1.0;0.6;0.7499999999999999;3;0;2
693;class_693;23;;0.6956521739130435;0.8;0.6956521739130435;0.7441860465116279;16;4;7
676;class_676;14;;0.9285714285714286;0.6190476190476191;0.9285714285714286;0.742857142857143;13;8;1
80;class_80;14;;0.7142857142857143;0.7692307692307693;0.7142857142857143;0.7407407407407408;10;3;4
943;class_943;4;;1.0;0.5714285714285714;1.0;0.7272727272727273;4;3;0
449;class_449;7;;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;4;0;3
41;class_41;36;;0.6666666666666666;0.8;0.6666666666666666;0.7272727272727272;24;6;12
598;class_598;27;;0.6296296296296297;0.85;0.6296296296296297;0.723404255319149;17;3;10
772;class_772;47;;0.723404255319149;0.723404255319149;0.723404255319149;0.723404255319149;34;13;13
995;class_995;31;;0.5806451612903226;0.9473684210526315;0.5806451612903226;0.72;18;1;13
920;class_920;16;;0.5625;1.0;0.5625;0.72;9;0;7
894;class_894;38;;0.7631578947368421;0.6744186046511628;0.7631578947368421;0.7160493827160495;29;14;9
491;class_491;5;;1.0;0.5555555555555556;1.0;0.7142857142857143;5;4;0
611;class_611;6;;0.8333333333333334;0.625;0.8333333333333334;0.7142857142857143;5;3;1
739;class_739;8;;0.625;0.8333333333333334;0.625;0.7142857142857143;5;1;3
730;class_730;38;;0.5789473684210527;0.9166666666666666;0.5789473684210527;0.7096774193548387;22;2;16
262;class_262;50;;0.6;0.8571428571428571;0.6;0.7058823529411764;30;5;20
331;class_331;6;;1.0;0.5454545454545454;1.0;0.7058823529411764;6;5;0
840;class_840;40;;0.85;0.5964912280701754;0.85;0.7010309278350515;34;23;6
326;class_326;10;;0.8;0.6153846153846154;0.8;0.6956521739130435;8;5;2
512;class_512;10;;1.0;0.5263157894736842;1.0;0.6896551724137931;10;9;0
229;class_229;15;;0.6666666666666666;0.7142857142857143;0.6666666666666666;0.689655172413793;10;4;5
201;class_201;30;;0.5333333333333333;0.9411764705882353;0.5333333333333333;0.6808510638297872;16;1;14
303;class_303;44;;0.5909090909090909;0.7878787878787878;0.5909090909090909;0.6753246753246752;26;7;18
798;class_798;15;;0.5333333333333333;0.8888888888888888;0.5333333333333333;0.6666666666666667;8;1;7
171;class_171;2;;0.5;1.0;0.5;0.6666666666666666;1;0;1
96;class_96;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
125;class_125;5;;1.0;0.5;1.0;0.6666666666666666;5;5;0
349;class_349;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
20;class_20;15;;0.7333333333333333;0.6111111111111112;0.7333333333333333;0.6666666666666666;11;7;4
796;class_796;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
133;class_133;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
101;class_101;2;;1.0;0.5;1.0;0.6666666666666666;2;2;0
89;class_89;12;;0.5;1.0;0.5;0.6666666666666666;6;0;6
443;class_443;25;;0.56;0.8235294117647058;0.56;0.6666666666666666;14;3;11
515;class_515;2;;0.5;1.0;0.5;0.6666666666666666;1;0;1
590;class_590;15;;0.7333333333333333;0.6111111111111112;0.7333333333333333;0.6666666666666666;11;7;4
586;class_586;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
548;class_548;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
637;class_637;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
736;class_736;10;;0.6;0.75;0.6;0.6666666666666665;6;2;4
816;class_816;20;;0.75;0.6;0.75;0.6666666666666665;15;10;5
432;class_432;10;;0.6;0.75;0.6;0.6666666666666665;6;2;4
991;class_991;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
694;class_694;4;;0.75;0.6;0.75;0.6666666666666665;3;2;1
115;class_115;58;;0.5;0.9666666666666667;0.5;0.6590909090909091;29;1;29
750;class_750;72;;0.6805555555555556;0.6363636363636364;0.6805555555555556;0.6577181208053691;49;28;23
577;class_577;14;;0.7857142857142857;0.55;0.7857142857142857;0.6470588235294117;11;9;3
639;class_639;41;;0.4878048780487805;0.9090909090909091;0.4878048780487805;0.6349206349206349;20;2;21
793;class_793;21;;0.5714285714285714;0.7058823529411765;0.5714285714285714;0.6315789473684211;12;5;9
374;class_374;37;;0.6486486486486487;0.6153846153846154;0.6486486486486487;0.631578947368421;24;15;13
904;class_904;11;;0.9090909090909091;0.47619047619047616;0.9090909090909091;0.6249999999999999;10;11;1
977;class_977;18;;0.5;0.8181818181818182;0.5;0.6206896551724137;9;2;9
31;class_31;5;;0.8;0.5;0.8;0.6153846153846154;4;4;1
507;class_507;40;;0.5;0.8;0.5;0.6153846153846154;20;5;20
17;class_17;6;;0.6666666666666666;0.5714285714285714;0.6666666666666666;0.6153846153846153;4;3;2
735;class_735;34;;0.5294117647058824;0.72;0.5294117647058824;0.6101694915254237;18;7;16
718;class_718;40;;0.45;0.9473684210526315;0.45;0.6101694915254237;18;1;22
579;class_579;11;;0.6363636363636364;0.5833333333333334;0.6363636363636364;0.6086956521739131;7;5;4
719;class_719;5;;0.6;0.6;0.6;0.6;3;2;2
447;class_447;10;;0.6;0.6;0.6;0.6;6;4;4
653;class_653;17;;0.5294117647058824;0.6923076923076923;0.5294117647058824;0.5999999999999999;9;4;8
861;class_861;33;;0.7272727272727273;0.5;0.7272727272727273;0.5925925925925926;24;24;9
902;class_902;37;;0.5405405405405406;0.6451612903225806;0.5405405405405406;0.588235294117647;20;11;17
566;class_566;11;;0.6363636363636364;0.5384615384615384;0.6363636363636364;0.5833333333333334;7;6;4
663;class_663;22;;0.5909090909090909;0.5652173913043478;0.5909090909090909;0.5777777777777778;13;10;9
248;class_248;32;;0.53125;0.6296296296296297;0.53125;0.5762711864406779;17;10;15
83;class_83;8;;0.5;0.6666666666666666;0.5;0.5714285714285715;4;2;4
128;class_128;3;;0.6666666666666666;0.5;0.6666666666666666;0.5714285714285715;2;2;1
363;class_363;5;;0.4;1.0;0.4;0.5714285714285715;2;0;3
678;class_678;5;;0.4;1.0;0.4;0.5714285714285715;2;0;3
667;class_667;3;;0.6666666666666666;0.5;0.6666666666666666;0.5714285714285715;2;2;1
189;class_189;81;;0.41975308641975306;0.8947368421052632;0.41975308641975306;0.5714285714285714;34;4;47
52;class_52;33;;0.6060606060606061;0.5405405405405406;0.6060606060606061;0.5714285714285714;20;17;13
702;class_702;23;;0.43478260869565216;0.8333333333333334;0.43478260869565216;0.5714285714285714;10;2;13
770;class_770;9;;0.4444444444444444;0.8;0.4444444444444444;0.5714285714285714;4;1;5
646;class_646;11;;0.5454545454545454;0.6;0.5454545454545454;0.5714285714285713;6;4;5
50;class_50;16;;0.5625;0.5625;0.5625;0.5625;9;7;7
618;class_618;82;;0.5609756097560976;0.5609756097560976;0.5609756097560976;0.5609756097560976;46;36;36
132;class_132;32;;0.4375;0.7777777777777778;0.4375;0.56;14;4;18
587;class_587;27;;0.5185185185185185;0.6086956521739131;0.5185185185185185;0.5599999999999999;14;9;13
789;class_789;9;;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.5555555555555556;5;4;4
202;class_202;31;;0.5806451612903226;0.5294117647058824;0.5806451612903226;0.5538461538461539;18;16;13
183;class_183;27;;0.48148148148148145;0.65;0.48148148148148145;0.553191489361702;13;7;14
893;class_893;16;;0.6875;0.4583333333333333;0.6875;0.5499999999999999;11;13;5
164;class_164;45;;0.4444444444444444;0.7142857142857143;0.4444444444444444;0.5479452054794521;20;8;25
732;class_732;23;;0.391304347826087;0.9;0.391304347826087;0.5454545454545454;9;1;14
265;class_265;30;;0.5;0.6;0.5;0.5454545454545454;15;10;15
528;class_528;8;;0.375;1.0;0.375;0.5454545454545454;3;0;5
877;class_877;18;;0.3888888888888889;0.875;0.3888888888888889;0.5384615384615385;7;1;11
473;class_473;34;;0.5588235294117647;0.5135135135135135;0.5588235294117647;0.5352112676056339;19;18;15
