rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov2_b__knn;DINOv2-B-KNN;0.5449908925318762;0.6602914389799636;0.0;0;0;0;0.0
2;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.5273224043715847;0.6502732240437158;0.0;0;0;0;0.0
3;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.27704918032786885;0.5707650273224044;0.0;0;0;0;0.0
4;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.3121129326047359;0.5801457194899818;0.0;0;0;0;0.0
5;dinov2_l__knn;DINOv2-L-KNN;0.5336976320582878;0.6762295081967213;0.0;0;0;0;0.0
6;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.4969945355191257;0.6598360655737705;0.0;0;0;0;0.0
7;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.3941712204007286;0.6549180327868852;0.0;0;0;0;0.0
8;dinov2_s__knn;DINOv2-S-KNN;0.4544626593806922;0.5789617486338798;0.0;0;0;0;0.0
9;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.4245901639344262;0.5765938069216757;0.0;0;0;0;0.0
10;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.22987249544626595;0.48515482695810563;0.0;0;0;0;0.0
