rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;swin_b__knn;Swin-B-KNN;0.44280510018214936;0.5628415300546448;0.0;0;0;0;0.0
2;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.5026411657559199;0.6070127504553734;0.0;0;0;0;0.0
3;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.2704007285974499;0.5436247723132969;0.0;0;0;0;0.0
4;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.2715846994535519;0.5320582877959927;0.0;0;0;0;0.0
5;swin_l__knn;Swin-L-KNN;0.4961748633879781;0.6086520947176685;0.0;0;0;0;0.0
6;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.4961748633879781;0.6086520947176685;0.0;0;0;0;0.0
7;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.3115664845173042;0.5659380692167577;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.4237704918032787;0.5457194899817851;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.45910746812386155;0.5811475409836065;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.2355191256830601;0.4934426229508197;0.0;0;0;0;0.0
