class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
576;class_576;2;;1.0;1.0;1.0;1.0;2;0;0
942;class_942;3;;1.0;1.0;1.0;1.0;3;0;0
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
43;class_43;16;;1.0;1.0;1.0;1.0;16;0;0
520;class_520;1;;1.0;1.0;1.0;1.0;1;0;0
528;class_528;8;;1.0;1.0;1.0;1.0;8;0;0
71;class_71;6;;1.0;1.0;1.0;1.0;6;0;0
670;class_670;18;;1.0;1.0;1.0;1.0;18;0;0
397;class_397;1;;1.0;1.0;1.0;1.0;1;0;0
344;class_344;2;;1.0;1.0;1.0;1.0;2;0;0
338;class_338;1;;1.0;1.0;1.0;1.0;1;0;0
331;class_331;6;;1.0;1.0;1.0;1.0;6;0;0
387;class_387;1;;1.0;1.0;1.0;1.0;1;0;0
913;class_913;1;;1.0;1.0;1.0;1.0;1;0;0
307;class_307;6;;1.0;1.0;1.0;1.0;6;0;0
259;class_259;2;;1.0;1.0;1.0;1.0;2;0;0
174;class_174;1;;1.0;1.0;1.0;1.0;1;0;0
104;class_104;1;;1.0;1.0;1.0;1.0;1;0;0
863;class_863;1;;1.0;1.0;1.0;1.0;1;0;0
825;class_825;1;;1.0;1.0;1.0;1.0;1;0;0
998;class_998;36;;1.0;1.0;1.0;1.0;36;0;0
102;class_102;3;;1.0;1.0;1.0;1.0;3;0;0
129;class_129;3;;1.0;1.0;1.0;1.0;3;0;0
148;class_148;1;;1.0;1.0;1.0;1.0;1;0;0
796;class_796;1;;1.0;1.0;1.0;1.0;1;0;0
812;class_812;3;;1.0;1.0;1.0;1.0;3;0;0
482;class_482;30;;1.0;0.9375;1.0;0.967741935483871;30;2;0
502;class_502;37;;0.972972972972973;0.9473684210526315;0.972972972972973;0.9599999999999999;36;2;1
447;class_447;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
343;class_343;9;;0.8888888888888888;1.0;0.8888888888888888;0.9411764705882353;8;0;1
282;class_282;42;;0.8809523809523809;1.0;0.8809523809523809;0.9367088607594937;37;0;5
552;class_552;7;;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;6;0;1
611;class_611;6;;1.0;0.8571428571428571;1.0;0.923076923076923;6;1;0
158;class_158;7;;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;6;0;1
121;class_121;28;;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;24;0;4
105;class_105;13;;0.8461538461538461;1.0;0.8461538461538461;0.9166666666666666;11;0;2
314;class_314;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
777;class_777;6;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;5;0;1
807;class_807;5;;1.0;0.8333333333333334;1.0;0.9090909090909091;5;1;0
229;class_229;15;;1.0;0.8333333333333334;1.0;0.9090909090909091;15;3;0
513;class_513;5;;1.0;0.8333333333333334;1.0;0.9090909090909091;5;1;0
389;class_389;6;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;5;0;1
579;class_579;11;;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;10;1;1
838;class_838;21;;0.9523809523809523;0.8695652173913043;0.9523809523809523;0.909090909090909;20;3;1
353;class_353;46;;0.8260869565217391;1.0;0.8260869565217391;0.9047619047619047;38;0;8
160;class_160;19;;1.0;0.8260869565217391;1.0;0.9047619047619047;19;4;0
908;class_908;14;;1.0;0.8235294117647058;1.0;0.9032258064516129;14;3;0
753;class_753;28;;0.8214285714285714;1.0;0.8214285714285714;0.9019607843137255;23;0;5
566;class_566;11;;0.8181818181818182;1.0;0.8181818181818182;0.9;9;0;2
616;class_616;10;;0.9;0.9;0.9;0.9;9;1;1
786;class_786;14;;0.9285714285714286;0.8666666666666667;0.9285714285714286;0.896551724137931;13;2;1
894;class_894;38;;1.0;0.8085106382978723;1.0;0.8941176470588235;38;9;0
417;class_417;15;;0.8;1.0;0.8;0.888888888888889;12;0;3
491;class_491;5;;0.8;1.0;0.8;0.888888888888889;4;0;1
363;class_363;5;;0.8;1.0;0.8;0.888888888888889;4;0;1
394;class_394;5;;0.8;1.0;0.8;0.888888888888889;4;0;1
743;class_743;9;;0.8888888888888888;0.8888888888888888;0.8888888888888888;0.8888888888888888;8;1;1
956;class_956;28;;0.8214285714285714;0.9583333333333334;0.8214285714285714;0.8846153846153847;23;1;5
653;class_653;17;;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;15;2;2
230;class_230;11;;1.0;0.7857142857142857;1.0;0.88;11;3;0
684;class_684;30;;0.8333333333333334;0.9259259259259259;0.8333333333333334;0.8771929824561403;25;2;5
558;class_558;7;;1.0;0.7777777777777778;1.0;0.8750000000000001;7;2;0
177;class_177;7;;1.0;0.7777777777777778;1.0;0.8750000000000001;7;2;0
976;class_976;53;;0.7924528301886793;0.9545454545454546;0.7924528301886793;0.865979381443299;42;2;11
646;class_646;11;;0.8181818181818182;0.9;0.8181818181818182;0.8571428571428572;9;1;2
345;class_345;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
17;class_17;6;;1.0;0.75;1.0;0.8571428571428571;6;2;0
856;class_856;4;;0.75;1.0;0.75;0.8571428571428571;3;0;1
936;class_936;4;;0.75;1.0;0.75;0.8571428571428571;3;0;1
53;class_53;35;;0.8;0.9032258064516129;0.8;0.8484848484848486;28;3;7
840;class_840;40;;0.975;0.75;0.975;0.8478260869565216;39;13;1
618;class_618;82;;0.8292682926829268;0.8607594936708861;0.8292682926829268;0.8447204968944099;68;11;14
73;class_73;18;;0.7222222222222222;1.0;0.7222222222222222;0.8387096774193548;13;0;5
519;class_519;6;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;5;1;1
396;class_396;6;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;5;1;1
125;class_125;5;;1.0;0.7142857142857143;1.0;0.8333333333333333;5;2;0
303;class_303;44;;0.7727272727272727;0.8947368421052632;0.7727272727272727;0.8292682926829269;34;4;10
599;class_599;20;;0.7;1.0;0.7;0.8235294117647058;14;0;6
432;class_432;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
674;class_674;13;;0.6923076923076923;1.0;0.6923076923076923;0.8181818181818181;9;0;4
888;class_888;13;;0.6923076923076923;1.0;0.6923076923076923;0.8181818181818181;9;0;4
816;class_816;20;;1.0;0.6896551724137931;1.0;0.8163265306122449;20;9;0
79;class_79;15;;0.7333333333333333;0.9166666666666666;0.7333333333333333;0.8148148148148148;11;1;4
798;class_798;15;;0.8666666666666667;0.7647058823529411;0.8666666666666667;0.8125;13;4;2
374;class_374;37;;0.8648648648648649;0.7619047619047619;0.8648648648648649;0.810126582278481;32;10;5
201;class_201;30;;0.8333333333333334;0.78125;0.8333333333333334;0.8064516129032259;25;7;5
110;class_110;26;;0.9615384615384616;0.6944444444444444;0.9615384615384616;0.8064516129032258;25;11;1
699;class_699;5;;0.8;0.8;0.8;0.8000000000000002;4;1;1
724;class_724;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
157;class_157;4;;1.0;0.6666666666666666;1.0;0.8;4;2;0
137;class_137;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
694;class_694;4;;1.0;0.6666666666666666;1.0;0.8;4;2;0
287;class_287;6;;0.6666666666666666;1.0;0.6666666666666666;0.8;4;0;2
27;class_27;4;;1.0;0.6666666666666666;1.0;0.8;4;2;0
334;class_334;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
350;class_350;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
50;class_50;16;;0.75;0.8571428571428571;0.75;0.7999999999999999;12;2;4
884;class_884;8;;0.75;0.8571428571428571;0.75;0.7999999999999999;6;1;2
708;class_708;11;;0.7272727272727273;0.8888888888888888;0.7272727272727273;0.7999999999999999;8;1;3
741;class_741;9;;0.8888888888888888;0.7272727272727273;0.8888888888888888;0.7999999999999999;8;3;1
176;class_176;19;;0.7368421052631579;0.875;0.7368421052631579;0.7999999999999999;14;2;5
204;class_204;16;;0.875;0.7368421052631579;0.875;0.7999999999999999;14;5;2
902;class_902;37;;0.7297297297297297;0.8709677419354839;0.7297297297297297;0.7941176470588235;27;4;10
64;class_64;36;;0.6944444444444444;0.9259259259259259;0.6944444444444444;0.7936507936507936;25;2;11
250;class_250;23;;0.7391304347826086;0.85;0.7391304347826086;0.7906976744186046;17;3;6
663;class_663;22;;0.6818181818181818;0.9375;0.6818181818181818;0.7894736842105263;15;1;7
731;class_731;30;;0.9333333333333333;0.6829268292682927;0.9333333333333333;0.7887323943661972;28;13;2
126;class_126;14;;0.9285714285714286;0.6842105263157895;0.9285714285714286;0.7878787878787878;13;6;1
428;class_428;19;;0.6842105263157895;0.9285714285714286;0.6842105263157895;0.7878787878787878;13;1;6
920;class_920;16;;0.6875;0.9166666666666666;0.6875;0.7857142857142857;11;1;5
676;class_676;14;;0.7857142857142857;0.7857142857142857;0.7857142857142857;0.7857142857142857;11;3;3
115;class_115;58;;0.6896551724137931;0.9090909090909091;0.6896551724137931;0.7843137254901961;40;4;18
103;class_103;10;;0.9;0.6923076923076923;0.9;0.7826086956521738;9;4;1
438;class_438;18;;0.8888888888888888;0.6956521739130435;0.8888888888888888;0.7804878048780488;16;7;2
262;class_262;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
268;class_268;9;;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.7777777777777778;7;2;2
246;class_246;24;;0.7083333333333334;0.85;0.7083333333333334;0.7727272727272727;17;3;7
263;class_263;5;;1.0;0.625;1.0;0.7692307692307693;5;3;0
83;class_83;8;;0.625;1.0;0.625;0.7692307692307693;5;0;3
173;class_173;12;;0.8333333333333334;0.7142857142857143;0.8333333333333334;0.7692307692307692;10;4;2
315;class_315;7;;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;5;1;2
600;class_600;53;;0.8490566037735849;0.703125;0.8490566037735849;0.7692307692307692;45;19;8
733;class_733;17;;0.7647058823529411;0.7647058823529411;0.7647058823529411;0.7647058823529412;13;4;4
175;class_175;37;;0.7837837837837838;0.7435897435897436;0.7837837837837838;0.7631578947368421;29;10;8
369;class_369;13;;0.8461538461538461;0.6875;0.8461538461538461;0.7586206896551724;11;5;2
680;class_680;66;;0.9696969696969697;0.6213592233009708;0.9696969696969697;0.757396449704142;64;39;2
702;class_702;23;;0.6086956521739131;1.0;0.6086956521739131;0.7567567567567568;14;0;9
185;class_185;28;;0.6071428571428571;1.0;0.6071428571428571;0.7555555555555554;17;0;11
248;class_248;32;;0.625;0.9523809523809523;0.625;0.7547169811320755;20;1;12
5;class_5;13;;0.6923076923076923;0.8181818181818182;0.6923076923076923;0.7500000000000001;9;2;4
635;class_635;17;;0.8823529411764706;0.6521739130434783;0.8823529411764706;0.75;15;8;2
801;class_801;24;;0.625;0.9375;0.625;0.75;15;1;9
398;class_398;3;;1.0;0.6;1.0;0.7499999999999999;3;2;0
583;class_583;6;;1.0;0.6;1.0;0.7499999999999999;6;4;0
260;class_260;5;;0.6;1.0;0.6;0.7499999999999999;3;0;2
947;class_947;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
152;class_152;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
20;class_20;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
650;class_650;3;;1.0;0.6;1.0;0.7499999999999999;3;2;0
416;class_416;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
678;class_678;5;;0.6;1.0;0.6;0.7499999999999999;3;0;2
536;class_536;15;;0.6666666666666666;0.8333333333333334;0.6666666666666666;0.7407407407407408;10;2;5
221;class_221;25;;0.68;0.8095238095238095;0.68;0.7391304347826089;17;4;8
285;class_285;26;;0.6538461538461539;0.85;0.6538461538461539;0.7391304347826088;17;3;9
606;class_606;9;;0.7777777777777778;0.7;0.7777777777777778;0.7368421052631577;7;3;2
810;class_810;19;;0.5789473684210527;1.0;0.5789473684210527;0.7333333333333334;11;0;8
41;class_41;36;;0.6388888888888888;0.8518518518518519;0.6388888888888888;0.7301587301587301;23;4;13
818;class_818;40;;0.875;0.625;0.875;0.7291666666666666;35;21;5
725;class_725;69;;0.7971014492753623;0.6707317073170732;0.7971014492753623;0.728476821192053;55;27;14
60;class_60;94;;0.6702127659574468;0.7974683544303798;0.6702127659574468;0.7283236994219654;63;16;31
