class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
96;class_96;1;;1.0;1.0;1.0;1.0;1;0;0
880;class_880;1;;1.0;1.0;1.0;1.0;1;0;0
866;class_866;1;;1.0;1.0;1.0;1.0;1;0;0
796;class_796;1;;1.0;1.0;1.0;1.0;1;0;0
548;class_548;1;;1.0;1.0;1.0;1.0;1;0;0
127;class_127;2;;1.0;1.0;1.0;1.0;2;0;0
331;class_331;6;;1.0;1.0;1.0;1.0;6;0;0
104;class_104;1;;1.0;1.0;1.0;1.0;1;0;0
392;class_392;2;;1.0;1.0;1.0;1.0;2;0;0
913;class_913;1;;1.0;1.0;1.0;1.0;1;0;0
682;class_682;1;;1.0;1.0;1.0;1.0;1;0;0
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
387;class_387;1;;1.0;1.0;1.0;1.0;1;0;0
943;class_943;4;;1.0;1.0;1.0;1.0;4;0;0
998;class_998;36;;0.9722222222222222;1.0;0.9722222222222222;0.9859154929577464;35;0;1
482;class_482;30;;0.9;1.0;0.9;0.9473684210526316;27;0;3
908;class_908;14;;1.0;0.875;1.0;0.9333333333333333;14;2;0
528;class_528;8;;0.875;1.0;0.875;0.9333333333333333;7;0;1
552;class_552;7;;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;6;0;1
976;class_976;53;;0.8490566037735849;1.0;0.8490566037735849;0.9183673469387755;45;0;8
353;class_353;46;;0.8478260869565217;1.0;0.8478260869565217;0.9176470588235294;39;0;7
502;class_502;37;;0.8918918918918919;0.9428571428571428;0.8918918918918919;0.9166666666666667;33;2;4
389;class_389;6;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;5;0;1
230;class_230;11;;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;10;1;1
838;class_838;21;;0.9523809523809523;0.8695652173913043;0.9523809523809523;0.909090909090909;20;3;1
956;class_956;28;;0.8571428571428571;0.96;0.8571428571428571;0.9056603773584904;24;1;4
635;class_635;17;;0.8235294117647058;1.0;0.8235294117647058;0.9032258064516129;14;0;3
345;class_345;10;;0.9;0.9;0.9;0.9;9;1;1
121;class_121;28;;0.9285714285714286;0.8666666666666667;0.9285714285714286;0.896551724137931;26;4;2
680;class_680;66;;0.9242424242424242;0.8591549295774648;0.9242424242424242;0.8905109489051095;61;10;5
684;class_684;30;;0.9333333333333333;0.8484848484848485;0.9333333333333333;0.888888888888889;28;5;2
417;class_417;15;;0.8;1.0;0.8;0.888888888888889;12;0;3
363;class_363;5;;0.8;1.0;0.8;0.888888888888889;4;0;1
260;class_260;5;;0.8;1.0;0.8;0.888888888888889;4;0;1
282;class_282;42;;0.8095238095238095;0.9714285714285714;0.8095238095238095;0.8831168831168832;34;1;8
105;class_105;13;;0.7692307692307693;1.0;0.7692307692307693;0.8695652173913044;10;0;3
848;class_848;12;;0.8333333333333334;0.9090909090909091;0.8333333333333334;0.8695652173913043;10;1;2
810;class_810;19;;0.8421052631578947;0.8888888888888888;0.8421052631578947;0.8648648648648649;16;2;3
356;class_356;29;;0.7586206896551724;1.0;0.7586206896551724;0.8627450980392156;22;0;7
447;class_447;10;;0.9;0.8181818181818182;0.9;0.8571428571428572;9;2;1
579;class_579;11;;0.8181818181818182;0.9;0.8181818181818182;0.8571428571428572;9;1;2
947;class_947;15;;0.8;0.9230769230769231;0.8;0.8571428571428571;12;1;3
650;class_650;3;;1.0;0.75;1.0;0.8571428571428571;3;1;0
374;class_374;37;;0.7837837837837838;0.9354838709677419;0.7837837837837838;0.8529411764705881;29;2;8
86;class_86;18;;0.7777777777777778;0.9333333333333333;0.7777777777777778;0.8484848484848485;14;1;4
43;class_43;16;;0.875;0.8235294117647058;0.875;0.8484848484848485;14;3;2
840;class_840;40;;0.9;0.8;0.9;0.8470588235294118;36;9;4
618;class_618;82;;0.7926829268292683;0.9027777777777778;0.7926829268292683;0.8441558441558441;65;7;17
780;class_780;9;;0.8888888888888888;0.8;0.8888888888888888;0.8421052631578948;8;2;1
670;class_670;18;;0.7222222222222222;1.0;0.7222222222222222;0.8387096774193548;13;0;5
307;class_307;6;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;5;1;1
653;class_653;17;;0.8823529411764706;0.7894736842105263;0.8823529411764706;0.8333333333333333;15;4;2
158;class_158;7;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;5;0;2
558;class_558;7;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;5;0;2
263;class_263;5;;1.0;0.7142857142857143;1.0;0.8333333333333333;5;2;0
233;class_233;5;;1.0;0.7142857142857143;1.0;0.8333333333333333;5;2;0
177;class_177;7;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;5;0;2
188;class_188;9;;0.7777777777777778;0.875;0.7777777777777778;0.823529411764706;7;1;2
231;class_231;19;;0.7368421052631579;0.9333333333333333;0.7368421052631579;0.8235294117647058;14;1;5
767;class_767;25;;0.84;0.8076923076923077;0.84;0.8235294117647058;21;5;4
891;class_891;17;;0.8235294117647058;0.8235294117647058;0.8235294117647058;0.8235294117647058;14;3;3
371;class_371;42;;0.7142857142857143;0.967741935483871;0.7142857142857143;0.821917808219178;30;1;12
556;class_556;30;;0.9;0.75;0.9;0.8181818181818182;27;9;3
369;class_369;13;;0.6923076923076923;1.0;0.6923076923076923;0.8181818181818181;9;0;4
894;class_894;38;;0.9473684210526315;0.72;0.9473684210526315;0.8181818181818181;36;14;2
786;class_786;14;;0.7857142857142857;0.8461538461538461;0.7857142857142857;0.8148148148148148;11;2;3
35;class_35;13;;0.8461538461538461;0.7857142857142857;0.8461538461538461;0.8148148148148148;11;3;2
201;class_201;30;;0.8;0.8275862068965517;0.8;0.8135593220338982;24;5;6
663;class_663;22;;0.6818181818181818;1.0;0.6818181818181818;0.8108108108108109;15;0;7
202;class_202;31;;0.6774193548387096;1.0;0.6774193548387096;0.8076923076923077;21;0;10
60;class_60;94;;0.7127659574468085;0.9305555555555556;0.7127659574468085;0.8072289156626508;67;5;27
175;class_175;37;;0.7297297297297297;0.9;0.7297297297297297;0.8059701492537312;27;3;10
262;class_262;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
798;class_798;15;;0.8;0.8;0.8;0.8000000000000002;12;3;3
187;class_187;5;;0.8;0.8;0.8;0.8000000000000002;4;1;1
631;class_631;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
129;class_129;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
722;class_722;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
287;class_287;6;;0.6666666666666666;1.0;0.6666666666666666;0.8;4;0;2
79;class_79;15;;0.7333333333333333;0.8461538461538461;0.7333333333333333;0.7857142857142856;11;2;4
753;class_753;28;;0.7142857142857143;0.8695652173913043;0.7142857142857143;0.7843137254901961;20;3;8
646;class_646;11;;0.8181818181818182;0.75;0.8181818181818182;0.7826086956521738;9;3;2
52;class_52;33;;0.7575757575757576;0.8064516129032258;0.7575757575757576;0.7812499999999999;25;6;8
702;class_702;23;;0.6956521739130435;0.8888888888888888;0.6956521739130435;0.7804878048780488;16;2;7
271;class_271;22;;0.7272727272727273;0.8421052631578947;0.7272727272727273;0.7804878048780488;16;3;6
248;class_248;32;;0.71875;0.8518518518518519;0.71875;0.7796610169491525;23;4;9
784;class_784;26;;0.8076923076923077;0.75;0.8076923076923077;0.7777777777777779;21;7;5
401;class_401;10;;0.7;0.875;0.7;0.7777777777777777;7;1;3
314;class_314;10;;0.7;0.875;0.7;0.7777777777777777;7;1;3
221;class_221;25;;0.76;0.7916666666666666;0.76;0.7755102040816326;19;5;6
418;class_418;91;;0.6703296703296703;0.9104477611940298;0.6703296703296703;0.7721518987341772;61;6;30
706;class_706;8;;0.625;1.0;0.625;0.7692307692307693;5;0;3
193;class_193;13;;0.7692307692307693;0.7692307692307693;0.7692307692307693;0.7692307692307693;10;3;3
484;class_484;24;;0.625;1.0;0.625;0.7692307692307693;15;0;9
676;class_676;14;;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;10;2;4
818;class_818;40;;0.775;0.7560975609756098;0.775;0.7654320987654322;31;10;9
995;class_995;31;;0.6129032258064516;1.0;0.6129032258064516;0.76;19;0;12
229;class_229;15;;0.7333333333333333;0.7857142857142857;0.7333333333333333;0.7586206896551724;11;3;4
623;class_623;53;;0.7547169811320755;0.7547169811320755;0.7547169811320755;0.7547169811320754;40;13;13
725;class_725;69;;0.7971014492753623;0.7142857142857143;0.7971014492753623;0.7534246575342466;55;22;14
888;class_888;13;;0.6923076923076923;0.8181818181818182;0.6923076923076923;0.7500000000000001;9;2;4
20;class_20;15;;0.8;0.7058823529411765;0.8;0.7500000000000001;12;5;3
710;class_710;21;;0.7142857142857143;0.7894736842105263;0.7142857142857143;0.7500000000000001;15;4;6
856;class_856;4;;0.75;0.75;0.75;0.75;3;1;1
132;class_132;32;;0.65625;0.875;0.65625;0.75;21;3;11
215;class_215;9;;0.6666666666666666;0.8571428571428571;0.6666666666666666;0.75;6;1;3
152;class_152;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
273;class_273;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
313;class_313;3;;1.0;0.6;1.0;0.7499999999999999;3;2;0
180;class_180;3;;1.0;0.6;1.0;0.7499999999999999;3;2;0
733;class_733;17;;0.7647058823529411;0.7222222222222222;0.7647058823529411;0.7428571428571428;13;5;4
467;class_467;11;;0.9090909090909091;0.625;0.9090909090909091;0.7407407407407406;10;6;1
110;class_110;26;;0.6538461538461539;0.85;0.6538461538461539;0.7391304347826088;17;3;9
600;class_600;53;;0.9056603773584906;0.6233766233766234;0.9056603773584906;0.7384615384615384;48;29;5
826;class_826;7;;1.0;0.5833333333333334;1.0;0.7368421052631579;7;5;0
814;class_814;9;;0.7777777777777778;0.7;0.7777777777777778;0.7368421052631577;7;3;2
73;class_73;18;;0.6111111111111112;0.9166666666666666;0.6111111111111112;0.7333333333333334;11;1;7
587;class_587;27;;0.7037037037037037;0.76;0.7037037037037037;0.7307692307692308;19;6;8
994;class_994;14;;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;8;0;6
179;class_179;12;;0.6666666666666666;0.8;0.6666666666666666;0.7272727272727272;8;2;4
929;class_929;10;;0.9;0.6;0.9;0.7200000000000001;9;6;1
126;class_126;14;;0.6428571428571429;0.8181818181818182;0.6428571428571429;0.7200000000000001;9;2;5
771;class_771;16;;0.5625;1.0;0.5625;0.72;9;0;7
64;class_64;36;;0.6388888888888888;0.8214285714285714;0.6388888888888888;0.7187499999999999;23;5;13
246;class_246;24;;0.5833333333333334;0.9333333333333333;0.5833333333333334;0.7179487179487181;14;1;10
727;class_727;9;;0.5555555555555556;1.0;0.5555555555555556;0.7142857142857143;5;0;4
343;class_343;9;;0.5555555555555556;1.0;0.5555555555555556;0.7142857142857143;5;0;4
390;class_390;6;;0.8333333333333334;0.625;0.8333333333333334;0.7142857142857143;5;3;1
