class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
866;class_866;1;;1.0;1.0;1.0;1.0;1;0;0
338;class_338;1;;1.0;1.0;1.0;1.0;1;0;0
548;class_548;1;;1.0;1.0;1.0;1.0;1;0;0
174;class_174;1;;1.0;1.0;1.0;1.0;1;0;0
998;class_998;36;;1.0;1.0;1.0;1.0;36;0;0
387;class_387;1;;1.0;1.0;1.0;1.0;1;0;0
943;class_943;4;;1.0;1.0;1.0;1.0;4;0;0
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
796;class_796;1;;1.0;1.0;1.0;1.0;1;0;0
682;class_682;1;;1.0;1.0;1.0;1.0;1;0;0
482;class_482;30;;0.9666666666666667;0.9666666666666667;0.9666666666666667;0.9666666666666667;29;1;1
353;class_353;46;;0.8913043478260869;1.0;0.8913043478260869;0.9425287356321839;41;0;5
558;class_558;7;;1.0;0.875;1.0;0.9333333333333333;7;1;0
908;class_908;14;;1.0;0.875;1.0;0.9333333333333333;14;2;0
282;class_282;42;;0.8809523809523809;0.9736842105263158;0.8809523809523809;0.925;37;1;5
307;class_307;6;;1.0;0.8571428571428571;1.0;0.923076923076923;6;1;0
502;class_502;37;;0.9459459459459459;0.8974358974358975;0.9459459459459459;0.9210526315789475;35;4;2
810;class_810;19;;0.8421052631578947;1.0;0.8421052631578947;0.9142857142857143;16;0;3
616;class_616;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
389;class_389;6;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;5;0;1
670;class_670;18;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;15;0;3
230;class_230;11;;0.9090909090909091;0.9090909090909091;0.9090909090909091;0.9090909090909091;10;1;1
680;class_680;66;;0.9242424242424242;0.8840579710144928;0.9242424242424242;0.9037037037037037;61;8;5
684;class_684;30;;0.9333333333333333;0.8484848484848485;0.9333333333333333;0.888888888888889;28;5;2
653;class_653;17;;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;15;2;2
86;class_86;18;;0.8333333333333334;0.9375;0.8333333333333334;0.8823529411764706;15;1;3
976;class_976;53;;0.7924528301886793;0.9767441860465116;0.7924528301886793;0.875;42;1;11
635;class_635;17;;0.8235294117647058;0.9333333333333333;0.8235294117647058;0.8749999999999999;14;1;3
708;class_708;11;;0.8181818181818182;0.9;0.8181818181818182;0.8571428571428572;9;1;2
676;class_676;14;;0.7857142857142857;0.9166666666666666;0.7857142857142857;0.8461538461538461;11;1;3
345;class_345;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
840;class_840;40;;0.9;0.782608695652174;0.9;0.8372093023255814;36;10;4
519;class_519;6;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;5;1;1
263;class_263;5;;1.0;0.7142857142857143;1.0;0.8333333333333333;5;2;0
158;class_158;7;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;5;0;2
356;class_356;29;;0.7586206896551724;0.9166666666666666;0.7586206896551724;0.830188679245283;22;2;7
798;class_798;15;;0.8;0.8571428571428571;0.8;0.8275862068965518;12;2;3
618;class_618;82;;0.7439024390243902;0.9242424242424242;0.7439024390243902;0.8243243243243243;61;5;21
231;class_231;19;;0.7368421052631579;0.9333333333333333;0.7368421052631579;0.8235294117647058;14;1;5
432;class_432;10;;0.7;1.0;0.7;0.8235294117647058;7;0;3
417;class_417;15;;0.7333333333333333;0.9166666666666666;0.7333333333333333;0.8148148148148148;11;1;4
947;class_947;15;;0.7333333333333333;0.9166666666666666;0.7333333333333333;0.8148148148148148;11;1;4
121;class_121;28;;0.75;0.875;0.75;0.8076923076923077;21;3;7
447;class_447;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
374;class_374;37;;0.8648648648648649;0.7441860465116279;0.8648648648648649;0.8;32;11;5
331;class_331;6;;1.0;0.6666666666666666;1.0;0.8;6;3;0
