class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
614;class_614;1;;1.0;1.0;1.0;1.0;1;0;0
637;class_637;1;;1.0;1.0;1.0;1.0;1;0;0
642;class_642;1;;1.0;1.0;1.0;1.0;1;0;0
650;class_650;3;;1.0;1.0;1.0;1.0;3;0;0
513;class_513;5;;1.0;1.0;1.0;1.0;5;0;0
528;class_528;8;;1.0;1.0;1.0;1.0;8;0;0
491;class_491;5;;1.0;1.0;1.0;1.0;5;0;0
451;class_451;3;;1.0;1.0;1.0;1.0;3;0;0
452;class_452;7;;1.0;1.0;1.0;1.0;7;0;0
420;class_420;1;;1.0;1.0;1.0;1.0;1;0;0
387;class_387;1;;1.0;1.0;1.0;1.0;1;0;0
389;class_389;6;;1.0;1.0;1.0;1.0;6;0;0
392;class_392;2;;1.0;1.0;1.0;1.0;2;0;0
396;class_396;6;;1.0;1.0;1.0;1.0;6;0;0
397;class_397;1;;1.0;1.0;1.0;1.0;1;0;0
398;class_398;3;;1.0;1.0;1.0;1.0;3;0;0
338;class_338;1;;1.0;1.0;1.0;1.0;1;0;0
771;class_771;16;;1.0;1.0;1.0;1.0;16;0;0
307;class_307;6;;1.0;1.0;1.0;1.0;6;0;0
260;class_260;5;;1.0;1.0;1.0;1.0;5;0;0
807;class_807;5;;1.0;1.0;1.0;1.0;5;0;0
863;class_863;1;;1.0;1.0;1.0;1.0;1;0;0
866;class_866;1;;1.0;1.0;1.0;1.0;1;0;0
880;class_880;1;;1.0;1.0;1.0;1.0;1;0;0
148;class_148;1;;1.0;1.0;1.0;1.0;1;0;0
117;class_117;3;;1.0;1.0;1.0;1.0;3;0;0
105;class_105;13;;1.0;1.0;1.0;1.0;13;0;0
101;class_101;2;;1.0;1.0;1.0;1.0;2;0;0
102;class_102;3;;1.0;1.0;1.0;1.0;3;0;0
104;class_104;1;;1.0;1.0;1.0;1.0;1;0;0
998;class_998;36;;1.0;1.0;1.0;1.0;36;0;0
996;class_996;16;;1.0;1.0;1.0;1.0;16;0;0
576;class_576;2;;1.0;1.0;1.0;1.0;2;0;0
160;class_160;19;;1.0;0.95;1.0;0.9743589743589743;19;1;0
43;class_43;16;;1.0;0.9411764705882353;1.0;0.9696969696969697;16;1;0
353;class_353;46;;0.9347826086956522;1.0;0.9347826086956522;0.9662921348314606;43;0;3
786;class_786;14;;1.0;0.9333333333333333;1.0;0.9655172413793104;14;1;0
676;class_676;14;;0.9285714285714286;1.0;0.9285714285714286;0.962962962962963;13;0;1
121;class_121;28;;0.9285714285714286;1.0;0.9285714285714286;0.962962962962963;26;0;2
230;class_230;11;;1.0;0.9166666666666666;1.0;0.9565217391304348;11;1;0
