class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
569;class_569;1;;1.0;1.0;1.0;1.0;1;0;0
943;class_943;4;;1.0;1.0;1.0;1.0;4;0;0
552;class_552;7;;1.0;1.0;1.0;1.0;7;0;0
548;class_548;1;;1.0;1.0;1.0;1.0;1;0;0
576;class_576;2;;1.0;1.0;1.0;1.0;2;0;0
642;class_642;1;;1.0;1.0;1.0;1.0;1;0;0
117;class_117;3;;1.0;1.0;1.0;1.0;3;0;0
104;class_104;1;;1.0;1.0;1.0;1.0;1;0;0
863;class_863;1;;1.0;1.0;1.0;1.0;1;0;0
586;class_586;1;;1.0;1.0;1.0;1.0;1;0;0
96;class_96;1;;1.0;1.0;1.0;1.0;1;0;0
338;class_338;1;;1.0;1.0;1.0;1.0;1;0;0
349;class_349;1;;1.0;1.0;1.0;1.0;1;0;0
908;class_908;14;;1.0;1.0;1.0;1.0;14;0;0
387;class_387;1;;1.0;1.0;1.0;1.0;1;0;0
398;class_398;3;;1.0;1.0;1.0;1.0;3;0;0
694;class_694;4;;1.0;1.0;1.0;1.0;4;0;0
688;class_688;1;;1.0;1.0;1.0;1.0;1;0;0
998;class_998;36;;1.0;1.0;1.0;1.0;36;0;0
243;class_243;2;;1.0;1.0;1.0;1.0;2;0;0
353;class_353;46;;1.0;0.9787234042553191;1.0;0.989247311827957;46;1;0
684;class_684;30;;1.0;0.9375;1.0;0.967741935483871;30;2;0
816;class_816;20;;1.0;0.9090909090909091;1.0;0.9523809523809523;20;2;0
635;class_635;17;;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353;16;1;1
20;class_20;15;;0.9333333333333333;0.9333333333333333;0.9333333333333333;0.9333333333333333;14;1;1
396;class_396;6;;1.0;0.8571428571428571;1.0;0.923076923076923;6;1;0
502;class_502;37;;0.918918918918919;0.8947368421052632;0.918918918918919;0.9066666666666667;34;4;3
753;class_753;28;;0.8571428571428571;0.96;0.8571428571428571;0.9056603773584904;24;1;4
