class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
353;class_353;46;;1.0;1.0;1.0;1.0;46;0;0
694;class_694;4;;1.0;1.0;1.0;1.0;4;0;0
707;class_707;1;;1.0;1.0;1.0;1.0;1;0;0
148;class_148;1;;1.0;1.0;1.0;1.0;1;0;0
586;class_586;1;;1.0;1.0;1.0;1.0;1;0;0
576;class_576;2;;1.0;1.0;1.0;1.0;2;0;0
387;class_387;1;;1.0;1.0;1.0;1.0;1;0;0
349;class_349;1;;1.0;1.0;1.0;1.0;1;0;0
104;class_104;1;;1.0;1.0;1.0;1.0;1;0;0
998;class_998;36;;1.0;0.9473684210526315;1.0;0.972972972972973;36;2;0
908;class_908;14;;1.0;0.9333333333333333;1.0;0.9655172413793104;14;1;0
121;class_121;28;;0.8571428571428571;1.0;0.8571428571428571;0.923076923076923;24;0;4
502;class_502;37;;0.918918918918919;0.918918918918919;0.918918918918919;0.918918918918919;34;3;3
753;class_753;28;;0.8214285714285714;0.9583333333333334;0.8214285714285714;0.8846153846153847;23;1;5
684;class_684;30;;0.8333333333333334;0.9259259259259259;0.8333333333333334;0.8771929824561403;25;2;5
528;class_528;8;;0.875;0.875;0.875;0.875;7;1;1
888;class_888;13;;0.7692307692307693;1.0;0.7692307692307693;0.8695652173913044;10;0;3
670;class_670;18;;0.7777777777777778;0.9333333333333333;0.7777777777777778;0.8484848484848485;14;1;4
201;class_201;30;;0.7333333333333333;0.9565217391304348;0.7333333333333333;0.8301886792452831;22;1;8
374;class_374;37;;0.8378378378378378;0.7948717948717948;0.8378378378378378;0.8157894736842105;31;8;6
230;class_230;11;;1.0;0.6875;1.0;0.8148148148148148;11;5;0
43;class_43;16;;0.9375;0.7142857142857143;0.9375;0.8108108108108109;15;6;1
810;class_810;19;;0.7894736842105263;0.8333333333333334;0.7894736842105263;0.8108108108108109;15;3;4
816;class_816;20;;0.95;0.7037037037037037;0.95;0.8085106382978724;19;8;1
110;class_110;26;;0.8846153846153846;0.7419354838709677;0.8846153846153846;0.8070175438596492;23;8;3
680;class_680;66;;0.7878787878787878;0.8253968253968254;0.7878787878787878;0.8062015503875969;52;11;14
326;class_326;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
719;class_719;5;;0.8;0.8;0.8;0.8000000000000002;4;1;1
101;class_101;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
129;class_129;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
821;class_821;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
344;class_344;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
392;class_392;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
943;class_943;4;;1.0;0.6666666666666666;1.0;0.8;4;2;0
484;class_484;24;;0.6666666666666666;1.0;0.6666666666666666;0.8;16;0;8
160;class_160;19;;0.8947368421052632;0.7083333333333334;0.8947368421052632;0.7906976744186046;17;7;2
262;class_262;50;;0.66;0.9428571428571428;0.66;0.7764705882352942;33;2;17
956;class_956;28;;0.6785714285714286;0.9047619047619048;0.6785714285714286;0.7755102040816326;19;2;9
676;class_676;14;;0.8571428571428571;0.7058823529411765;0.8571428571428571;0.7741935483870968;12;5;2
343;class_343;9;;0.6666666666666666;0.8571428571428571;0.6666666666666666;0.75;6;1;3
418;class_418;91;;0.6153846153846154;0.9333333333333333;0.6153846153846154;0.7417218543046358;56;4;35
303;class_303;44;;0.6363636363636364;0.875;0.6363636363636364;0.7368421052631579;28;4;16
432;class_432;10;;0.7;0.7777777777777778;0.7;0.7368421052631577;7;2;3
894;class_894;38;;0.7631578947368421;0.7073170731707317;0.7631578947368421;0.7341772151898733;29;12;9
838;class_838;21;;0.7142857142857143;0.75;0.7142857142857143;0.7317073170731706;15;5;6
115;class_115;58;;0.6206896551724138;0.8780487804878049;0.6206896551724138;0.7272727272727273;36;5;22
552;class_552;7;;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;4;0;3
312;class_312;4;;1.0;0.5714285714285714;1.0;0.7272727272727273;4;3;0
202;class_202;31;;0.7741935483870968;0.6857142857142857;0.7741935483870968;0.7272727272727272;24;11;7
840;class_840;40;;0.975;0.5735294117647058;0.975;0.7222222222222222;39;29;1
176;class_176;19;;0.7368421052631579;0.7;0.7368421052631579;0.717948717948718;14;6;5
282;class_282;42;;0.5714285714285714;0.96;0.5714285714285714;0.7164179104477612;24;1;18
389;class_389;6;;0.8333333333333334;0.625;0.8333333333333334;0.7142857142857143;5;3;1
158;class_158;7;;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;5;2;2
401;class_401;10;;0.7;0.7;0.7;0.7;7;3;3
639;class_639;41;;0.5609756097560976;0.92;0.5609756097560976;0.6969696969696971;23;2;18
566;class_566;11;;0.7272727272727273;0.6666666666666666;0.7272727272727273;0.6956521739130435;8;4;3
579;class_579;11;;0.7272727272727273;0.6666666666666666;0.7272727272727273;0.6956521739130435;8;4;3
371;class_371;42;;0.5714285714285714;0.8888888888888888;0.5714285714285714;0.6956521739130435;24;3;18
750;class_750;72;;0.7083333333333334;0.68;0.7083333333333334;0.6938775510204083;51;24;21
416;class_416;15;;0.6;0.8181818181818182;0.6;0.6923076923076923;9;2;6
189;class_189;81;;0.5432098765432098;0.9361702127659575;0.5432098765432098;0.6875;44;3;37
41;class_41;36;;0.6388888888888888;0.7419354838709677;0.6388888888888888;0.6865671641791045;23;8;13
216;class_216;33;;0.5151515151515151;1.0;0.5151515151515151;0.6799999999999999;17;0;16
428;class_428;19;;0.5789473684210527;0.7857142857142857;0.5789473684210527;0.6666666666666667;11;3;8
733;class_733;17;;0.6470588235294118;0.6875;0.6470588235294118;0.6666666666666667;11;5;6
977;class_977;18;;0.5555555555555556;0.8333333333333334;0.5555555555555556;0.6666666666666667;10;2;8
3;class_3;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
938;class_938;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
548;class_548;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
771;class_771;16;;0.625;0.7142857142857143;0.625;0.6666666666666666;10;4;6
381;class_381;5;;0.8;0.5714285714285714;0.8;0.6666666666666666;4;3;1
169;class_169;2;;1.0;0.5;1.0;0.6666666666666666;2;2;0
825;class_825;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
174;class_174;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
229;class_229;15;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;10;5;5
27;class_27;4;;0.5;1.0;0.5;0.6666666666666666;2;0;2
96;class_96;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
351;class_351;3;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;2;1;1
449;class_449;7;;0.5714285714285714;0.8;0.5714285714285714;0.6666666666666666;4;1;3
355;class_355;2;;0.5;1.0;0.5;0.6666666666666666;1;0;1
71;class_71;6;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;4;2;2
866;class_866;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
564;class_564;10;;0.6;0.75;0.6;0.6666666666666665;6;2;4
578;class_578;11;;0.5454545454545454;0.8571428571428571;0.5454545454545454;0.6666666666666665;6;1;5
276;class_276;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
363;class_363;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
260;class_260;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
705;class_705;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
699;class_699;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
394;class_394;5;;0.6;0.75;0.6;0.6666666666666665;3;1;2
231;class_231;19;;0.6842105263157895;0.6190476190476191;0.6842105263157895;0.6500000000000001;13;8;6
801;class_801;24;;0.5;0.9230769230769231;0.5;0.6486486486486487;12;1;12
248;class_248;32;;0.6875;0.6111111111111112;0.6875;0.6470588235294118;22;14;10
116;class_116;20;;0.55;0.7857142857142857;0.55;0.6470588235294117;11;3;9
417;class_417;15;;0.6;0.6923076923076923;0.6;0.6428571428571429;9;4;6
50;class_50;16;;0.5;0.8888888888888888;0.5;0.64;8;1;8
786;class_786;14;;0.5;0.875;0.5;0.6363636363636364;7;1;7
25;class_25;42;;0.47619047619047616;0.9523809523809523;0.47619047619047616;0.634920634920635;20;1;22
612;class_612;13;;0.46153846153846156;1.0;0.46153846153846156;0.631578947368421;6;0;7
611;class_611;6;;0.8333333333333334;0.5;0.8333333333333334;0.625;5;5;1
345;class_345;10;;0.5;0.8333333333333334;0.5;0.625;5;1;5
482;class_482;30;;0.5666666666666667;0.68;0.5666666666666667;0.6181818181818183;17;8;13
212;class_212;10;;0.8;0.5;0.8;0.6153846153846154;8;8;2
5;class_5;13;;0.6153846153846154;0.6153846153846154;0.6153846153846154;0.6153846153846154;8;5;5
331;class_331;6;;0.6666666666666666;0.5714285714285714;0.6666666666666666;0.6153846153846153;4;3;2
718;class_718;40;;0.45;0.9473684210526315;0.45;0.6101694915254237;18;1;22
784;class_784;26;;0.6538461538461539;0.5666666666666667;0.6538461538461539;0.6071428571428571;17;13;9
812;class_812;3;;1.0;0.42857142857142855;1.0;0.6;3;4;0
124;class_124;8;;0.75;0.5;0.75;0.6;6;6;2
361;class_361;4;;0.75;0.5;0.75;0.6;3;3;1
618;class_618;82;;0.6097560975609756;0.5813953488372093;0.6097560975609756;0.5952380952380952;50;36;32
507;class_507;40;;0.45;0.8571428571428571;0.45;0.5901639344262294;18;3;22
653;class_653;17;;0.7058823529411765;0.5;0.7058823529411765;0.5853658536585366;12;12;5
