class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
101;class_101;2;;1.0;1.0;1.0;1.0;2;0;0
548;class_548;1;;1.0;1.0;1.0;1.0;1;0;0
520;class_520;1;;1.0;1.0;1.0;1.0;1;0;0
353;class_353;46;;0.9347826086956522;0.9555555555555556;0.9347826086956522;0.945054945054945;43;2;3
998;class_998;36;;0.9722222222222222;0.8536585365853658;0.9722222222222222;0.9090909090909091;35;6;1
326;class_326;10;;0.8;1.0;0.8;0.888888888888889;8;0;2
888;class_888;13;;0.8461538461538461;0.9166666666666666;0.8461538461538461;0.8799999999999999;11;1;2
816;class_816;20;;0.9;0.8571428571428571;0.9;0.8780487804878048;18;3;2
810;class_810;19;;0.8947368421052632;0.85;0.8947368421052632;0.8717948717948718;17;3;2
528;class_528;8;;0.75;1.0;0.75;0.8571428571428571;6;0;2
502;class_502;37;;0.8378378378378378;0.8378378378378378;0.8378378378378378;0.8378378378378378;31;6;6
670;class_670;18;;0.7777777777777778;0.875;0.7777777777777778;0.823529411764706;14;2;4
110;class_110;26;;0.9230769230769231;0.7272727272727273;0.9230769230769231;0.8135593220338984;24;9;2
908;class_908;14;;0.9285714285714286;0.7222222222222222;0.9285714285714286;0.8125000000000001;13;5;1
121;class_121;28;;0.6785714285714286;1.0;0.6785714285714286;0.8085106382978724;19;0;9
337;class_337;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
576;class_576;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
135;class_135;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
942;class_942;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
392;class_392;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
41;class_41;36;;0.7777777777777778;0.7777777777777778;0.7777777777777778;0.7777777777777778;28;8;8
482;class_482;30;;0.7;0.875;0.7;0.7777777777777777;21;3;9
201;class_201;30;;0.6333333333333333;1.0;0.6333333333333333;0.7755102040816326;19;0;11
684;class_684;30;;0.7333333333333333;0.8148148148148148;0.7333333333333333;0.7719298245614035;22;5;8
680;class_680;66;;0.7424242424242424;0.8032786885245902;0.7424242424242424;0.7716535433070867;49;12;17
262;class_262;50;;0.66;0.9166666666666666;0.66;0.7674418604651163;33;3;17
694;class_694;4;;0.75;0.75;0.75;0.75;3;1;1
312;class_312;4;;0.75;0.75;0.75;0.75;3;1;1
401;class_401;10;;0.6;1.0;0.6;0.7499999999999999;6;0;4
579;class_579;11;;0.6363636363636364;0.875;0.6363636363636364;0.7368421052631579;7;1;4
176;class_176;19;;0.7368421052631579;0.7368421052631579;0.7368421052631579;0.7368421052631579;14;5;5
943;class_943;4;;1.0;0.5714285714285714;1.0;0.7272727272727273;4;3;0
374;class_374;37;;0.7567567567567568;0.7;0.7567567567567568;0.7272727272727273;28;12;9
753;class_753;28;;0.6071428571428571;0.8947368421052632;0.6071428571428571;0.7234042553191489;17;2;11
268;class_268;9;;0.5555555555555556;1.0;0.5555555555555556;0.7142857142857143;5;0;4
840;class_840;40;;0.95;0.5671641791044776;0.95;0.7102803738317757;38;29;2
416;class_416;15;;0.6;0.8181818181818182;0.6;0.6923076923076923;9;2;6
750;class_750;72;;0.6666666666666666;0.7058823529411765;0.6666666666666666;0.6857142857142857;48;20;24
956;class_956;28;;0.5357142857142857;0.9375;0.5357142857142857;0.6818181818181818;15;1;13
43;class_43;16;;0.6875;0.6470588235294118;0.6875;0.6666666666666667;11;6;5
230;class_230;11;;0.7272727272727273;0.6153846153846154;0.7272727272727273;0.6666666666666667;8;5;3
133;class_133;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
349;class_349;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
