class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
821;class_821;2;;1.0;1.0;1.0;1.0;2;0;0
101;class_101;2;;1.0;1.0;1.0;1.0;2;0;0
392;class_392;2;;1.0;1.0;1.0;1.0;2;0;0
810;class_810;19;;0.8947368421052632;0.9444444444444444;0.8947368421052632;0.918918918918919;17;1;2
943;class_943;4;;1.0;0.8;1.0;0.888888888888889;4;1;0
353;class_353;46;;0.8043478260869565;0.925;0.8043478260869565;0.8604651162790697;37;3;9
812;class_812;3;;1.0;0.75;1.0;0.8571428571428571;3;1;0
998;class_998;36;;0.8333333333333334;0.8333333333333334;0.8333333333333334;0.8333333333333334;30;6;6
326;class_326;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
128;class_128;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
908;class_908;14;;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;10;2;4
121;class_121;28;;0.6071428571428571;1.0;0.6071428571428571;0.7555555555555554;17;0;11
110;class_110;26;;0.6538461538461539;0.85;0.6538461538461539;0.7391304347826088;17;3;9
158;class_158;7;;0.5714285714285714;1.0;0.5714285714285714;0.7272727272727273;4;0;3
753;class_753;28;;0.7142857142857143;0.7142857142857143;0.7142857142857143;0.7142857142857143;20;8;8
684;class_684;30;;0.6666666666666666;0.7142857142857143;0.6666666666666666;0.689655172413793;20;8;10
262;class_262;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
888;class_888;13;;0.5384615384615384;0.875;0.5384615384615384;0.6666666666666667;7;1;6
349;class_349;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
579;class_579;11;;0.6363636363636364;0.7;0.6363636363636364;0.6666666666666666;7;3;4
41;class_41;36;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;24;12;12
667;class_667;3;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;2;1;1
160;class_160;19;;0.7894736842105263;0.5555555555555556;0.7894736842105263;0.6521739130434783;15;12;4
670;class_670;18;;0.6111111111111112;0.6875;0.6111111111111112;0.6470588235294118;11;5;7
840;class_840;40;;0.875;0.5072463768115942;0.875;0.6422018348623854;35;34;5
115;class_115;58;;0.5;0.8787878787878788;0.5;0.6373626373626373;29;4;29
482;class_482;30;;0.4666666666666667;1.0;0.4666666666666667;0.6363636363636364;14;0;16
467;class_467;11;;0.6363636363636364;0.6363636363636364;0.6363636363636364;0.6363636363636364;7;4;4
558;class_558;7;;0.8571428571428571;0.5;0.8571428571428571;0.631578947368421;6;6;1
680;class_680;66;;0.5606060606060606;0.7115384615384616;0.5606060606060606;0.6271186440677966;37;15;29
947;class_947;15;;0.6666666666666666;0.5882352941176471;0.6666666666666666;0.625;10;7;5
201;class_201;30;;0.5;0.7894736842105263;0.5;0.6122448979591837;15;4;15
502;class_502;37;;0.5135135135135135;0.7307692307692307;0.5135135135135135;0.6031746031746031;19;7;18
484;class_484;24;;0.4583333333333333;0.8461538461538461;0.4583333333333333;0.5945945945945945;11;2;13
417;class_417;15;;0.5333333333333333;0.6666666666666666;0.5333333333333333;0.5925925925925926;8;4;7
416;class_416;15;;0.5333333333333333;0.6666666666666666;0.5333333333333333;0.5925925925925926;8;4;7
248;class_248;32;;0.5625;0.6206896551724138;0.5625;0.5901639344262296;18;11;14
401;class_401;10;;0.5;0.7142857142857143;0.5;0.588235294117647;5;2;5
956;class_956;28;;0.42857142857142855;0.9230769230769231;0.42857142857142855;0.5853658536585366;12;1;16
371;class_371;42;;0.4523809523809524;0.8260869565217391;0.4523809523809524;0.5846153846153845;19;4;23
282;class_282;42;;0.4523809523809524;0.8260869565217391;0.4523809523809524;0.5846153846153845;19;4;23
576;class_576;2;;1.0;0.4;1.0;0.5714285714285715;2;3;0
398;class_398;3;;0.6666666666666666;0.5;0.6666666666666666;0.5714285714285715;2;2;1
176;class_176;19;;0.631578947368421;0.5217391304347826;0.631578947368421;0.5714285714285715;12;11;7
312;class_312;4;;0.5;0.6666666666666666;0.5;0.5714285714285715;2;1;2
64;class_64;36;;0.3888888888888889;1.0;0.3888888888888889;0.56;14;0;22
5;class_5;13;;0.5384615384615384;0.5833333333333334;0.5384615384615384;0.5599999999999999;7;5;6
750;class_750;72;;0.5972222222222222;0.524390243902439;0.5972222222222222;0.5584415584415584;43;39;29
719;class_719;5;;0.6;0.5;0.6;0.5454545454545454;3;3;2
43;class_43;16;;0.625;0.47619047619047616;0.625;0.5405405405405405;10;11;6
838;class_838;21;;0.47619047619047616;0.625;0.47619047619047616;0.5405405405405405;10;6;11
801;class_801;24;;0.4583333333333333;0.6470588235294118;0.4583333333333333;0.5365853658536585;11;6;13
