class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
682;class_682;1;;1.0;1.0;1.0;1.0;1;0;0
101;class_101;2;;1.0;1.0;1.0;1.0;2;0;0
688;class_688;1;;1.0;1.0;1.0;1.0;1;0;0
908;class_908;14;;1.0;1.0;1.0;1.0;14;0;0
722;class_722;2;;1.0;1.0;1.0;1.0;2;0;0
353;class_353;46;;0.9565217391304348;1.0;0.9565217391304348;0.9777777777777777;44;0;2
998;class_998;36;;0.9722222222222222;0.9459459459459459;0.9722222222222222;0.9589041095890412;35;2;1
786;class_786;14;;0.9285714285714286;0.9285714285714286;0.9285714285714286;0.9285714285714286;13;1;1
528;class_528;8;;1.0;0.8;1.0;0.888888888888889;8;2;0
502;class_502;37;;0.8648648648648649;0.9142857142857143;0.8648648648648649;0.888888888888889;32;3;5
976;class_976;53;;0.8301886792452831;0.9565217391304348;0.8301886792452831;0.888888888888889;44;2;9
840;class_840;40;;0.825;0.9428571428571428;0.825;0.88;33;2;7
888;class_888;13;;0.8461538461538461;0.9166666666666666;0.8461538461538461;0.8799999999999999;11;1;2
816;class_816;20;;1.0;0.7692307692307693;1.0;0.8695652173913044;20;6;0
482;class_482;30;;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.8666666666666667;26;4;4
20;class_20;15;;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.8666666666666667;13;2;2
694;class_694;4;;0.75;1.0;0.75;0.8571428571428571;3;0;1
856;class_856;4;;0.75;1.0;0.75;0.8571428571428571;3;0;1
445;class_445;3;;1.0;0.75;1.0;0.8571428571428571;3;1;0
331;class_331;6;;1.0;0.75;1.0;0.8571428571428571;6;2;0
160;class_160;19;;0.8947368421052632;0.8095238095238095;0.8947368421052632;0.8500000000000001;17;4;2
401;class_401;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
345;class_345;10;;0.8;0.8888888888888888;0.8;0.8421052631578948;8;1;2
684;class_684;30;;0.8;0.8571428571428571;0.8;0.8275862068965518;24;4;6
582;class_582;9;;0.7777777777777778;0.875;0.7777777777777778;0.823529411764706;7;1;2
894;class_894;38;;0.7894736842105263;0.8571428571428571;0.7894736842105263;0.8219178082191781;30;5;8
810;class_810;19;;0.8421052631578947;0.8;0.8421052631578947;0.8205128205128205;16;4;3
467;class_467;11;;0.8181818181818182;0.8181818181818182;0.8181818181818182;0.8181818181818182;9;2;2
417;class_417;15;;0.7333333333333333;0.9166666666666666;0.7333333333333333;0.8148148148148148;11;1;4
772;class_772;47;;0.8297872340425532;0.7959183673469388;0.8297872340425532;0.8125;39;10;8
798;class_798;15;;0.8666666666666667;0.7647058823529411;0.8666666666666667;0.8125;13;4;2
753;class_753;28;;0.8214285714285714;0.7931034482758621;0.8214285714285714;0.8070175438596492;23;6;5
282;class_282;42;;0.6904761904761905;0.9666666666666667;0.6904761904761905;0.8055555555555556;29;1;13
425;class_425;5;;0.8;0.8;0.8;0.8000000000000002;4;1;1
35;class_35;13;;0.7692307692307693;0.8333333333333334;0.7692307692307693;0.8;10;2;3
838;class_838;21;;0.6666666666666666;1.0;0.6666666666666666;0.8;14;0;7
731;class_731;30;;0.8666666666666667;0.7428571428571429;0.8666666666666667;0.8;26;9;4
566;class_566;11;;0.7272727272727273;0.8888888888888888;0.7272727272727273;0.7999999999999999;8;1;3
670;class_670;18;;0.7222222222222222;0.8666666666666667;0.7222222222222222;0.7878787878787877;13;2;5
618;class_618;82;;0.7682926829268293;0.7777777777777778;0.7682926829268293;0.773006134969325;63;18;19
374;class_374;37;;0.6756756756756757;0.8928571428571429;0.6756756756756757;0.7692307692307693;25;3;12
706;class_706;8;;0.625;1.0;0.625;0.7692307692307693;5;0;3
552;class_552;7;;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;5;1;2
635;class_635;17;;0.6470588235294118;0.9166666666666666;0.6470588235294118;0.7586206896551724;11;1;6
5;class_5;13;;0.6923076923076923;0.8181818181818182;0.6923076923076923;0.7500000000000001;9;2;4
27;class_27;4;;0.75;0.75;0.75;0.75;3;1;1
157;class_157;4;;0.75;0.75;0.75;0.75;3;1;1
416;class_416;15;;0.6;1.0;0.6;0.7499999999999999;9;0;6
777;class_777;6;;1.0;0.6;1.0;0.7499999999999999;6;4;0
812;class_812;3;;1.0;0.6;1.0;0.7499999999999999;3;2;0
663;class_663;22;;0.7272727272727273;0.7619047619047619;0.7272727272727273;0.7441860465116279;16;5;6
262;class_262;50;;0.64;0.8888888888888888;0.64;0.7441860465116279;32;4;18
680;class_680;66;;0.7727272727272727;0.7083333333333334;0.7727272727272727;0.7391304347826088;51;21;15
718;class_718;40;;0.6;0.96;0.6;0.7384615384615384;24;1;16
415;class_415;22;;0.6363636363636364;0.875;0.6363636363636364;0.7368421052631579;14;2;8
646;class_646;11;;0.6363636363636364;0.875;0.6363636363636364;0.7368421052631579;7;1;4
176;class_176;19;;0.7368421052631579;0.7368421052631579;0.7368421052631579;0.7368421052631579;14;5;5
842;class_842;17;;0.6470588235294118;0.8461538461538461;0.6470588235294118;0.7333333333333334;11;2;6
943;class_943;4;;1.0;0.5714285714285714;1.0;0.7272727272727273;4;3;0
733;class_733;17;;0.7058823529411765;0.75;0.7058823529411765;0.7272727272727272;12;4;5
956;class_956;28;;0.6071428571428571;0.8947368421052632;0.6071428571428571;0.7234042553191489;17;2;11
579;class_579;11;;0.8181818181818182;0.6428571428571429;0.8181818181818182;0.7200000000000001;9;5;2
389;class_389;6;;0.8333333333333334;0.625;0.8333333333333334;0.7142857142857143;5;3;1
977;class_977;18;;0.5555555555555556;1.0;0.5555555555555556;0.7142857142857143;10;0;8
41;class_41;36;;0.5833333333333334;0.9130434782608695;0.5833333333333334;0.7118644067796611;21;2;15
64;class_64;36;;0.6111111111111112;0.8461538461538461;0.6111111111111112;0.7096774193548387;22;4;14
902;class_902;37;;0.5945945945945946;0.88;0.5945945945945946;0.7096774193548386;22;3;15
743;class_743;9;;0.8888888888888888;0.5714285714285714;0.8888888888888888;0.6956521739130435;8;6;1
418;class_418;91;;0.5604395604395604;0.8793103448275862;0.5604395604395604;0.6845637583892618;51;7;40
750;class_750;72;;0.7361111111111112;0.6385542168674698;0.7361111111111112;0.6838709677419356;53;30;19
725;class_725;69;;0.7681159420289855;0.6091954022988506;0.7681159420289855;0.6794871794871794;53;34;16
175;class_175;37;;0.6756756756756757;0.6756756756756757;0.6756756756756757;0.6756756756756757;25;12;12
390;class_390;6;;0.8333333333333334;0.5555555555555556;0.8333333333333334;0.6666666666666667;5;4;1
611;class_611;6;;0.8333333333333334;0.5555555555555556;0.8333333333333334;0.6666666666666667;5;4;1
666;class_666;4;;1.0;0.5;1.0;0.6666666666666666;4;4;0
576;class_576;2;;0.5;1.0;0.5;0.6666666666666666;1;0;1
929;class_929;10;;0.7;0.6363636363636364;0.7;0.6666666666666666;7;4;3
96;class_96;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
714;class_714;7;;0.7142857142857143;0.625;0.7142857142857143;0.6666666666666666;5;3;2
489;class_489;13;;0.6923076923076923;0.6428571428571429;0.6923076923076923;0.6666666666666666;9;5;4
110;class_110;26;;0.5769230769230769;0.7894736842105263;0.5769230769230769;0.6666666666666666;15;4;11
427;class_427;5;;0.8;0.5714285714285714;0.8;0.6666666666666666;4;3;1
987;class_987;3;;0.6666666666666666;0.6666666666666666;0.6666666666666666;0.6666666666666666;2;1;1
420;class_420;1;;1.0;0.5;1.0;0.6666666666666666;1;1;0
755;class_755;4;;0.5;1.0;0.5;0.6666666666666666;2;0;2
455;class_455;9;;0.7777777777777778;0.5833333333333334;0.7777777777777778;0.6666666666666666;7;5;2
432;class_432;10;;0.5;1.0;0.5;0.6666666666666666;5;0;5
121;class_121;28;;0.5;1.0;0.5;0.6666666666666666;14;0;14
127;class_127;2;;0.5;1.0;0.5;0.6666666666666666;1;0;1
358;class_358;4;;0.5;1.0;0.5;0.6666666666666666;2;0;2
305;class_305;8;;0.625;0.7142857142857143;0.625;0.6666666666666666;5;2;3
229;class_229;15;;0.6;0.75;0.6;0.6666666666666665;9;3;6
754;class_754;4;;0.75;0.6;0.75;0.6666666666666665;3;2;1
600;class_600;53;;0.7924528301886793;0.5675675675675675;0.7924528301886793;0.6614173228346457;42;32;11
248;class_248;32;;0.8125;0.5531914893617021;0.8125;0.6582278481012658;26;21;6
910;class_910;31;;0.7096774193548387;0.6111111111111112;0.7096774193548387;0.6567164179104478;22;14;9
979;class_979;36;;0.5;0.9473684210526315;0.5;0.6545454545454545;18;1;18
702;class_702;23;;0.4782608695652174;1.0;0.4782608695652174;0.6470588235294118;11;0;12
891;class_891;17;;0.6470588235294118;0.6470588235294118;0.6470588235294118;0.6470588235294118;11;6;6
676;class_676;14;;0.7142857142857143;0.5882352941176471;0.7142857142857143;0.6451612903225806;10;7;4
