class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
450;class_450;1;;1.0;1.0;1.0;1.0;1;0;0
943;class_943;4;;1.0;1.0;1.0;1.0;4;0;0
938;class_938;1;;1.0;1.0;1.0;1.0;1;0;0
688;class_688;1;;1.0;1.0;1.0;1.0;1;0;0
225;class_225;1;;1.0;1.0;1.0;1.0;1;0;0
825;class_825;1;;1.0;1.0;1.0;1.0;1;0;0
796;class_796;1;;1.0;1.0;1.0;1.0;1;0;0
908;class_908;14;;1.0;1.0;1.0;1.0;14;0;0
998;class_998;36;;0.9166666666666666;1.0;0.9166666666666666;0.9565217391304348;33;0;3
390;class_390;6;;1.0;0.8571428571428571;1.0;0.923076923076923;6;1;0
976;class_976;53;;0.8679245283018868;0.9787234042553191;0.8679245283018868;0.9199999999999999;46;1;7
389;class_389;6;;0.8333333333333334;1.0;0.8333333333333334;0.9090909090909091;5;0;1
502;class_502;37;;0.8918918918918919;0.9166666666666666;0.8918918918918919;0.9041095890410958;33;3;4
894;class_894;38;;0.8947368421052632;0.8717948717948718;0.8947368421052632;0.8831168831168831;34;5;4
482;class_482;30;;0.9666666666666667;0.7837837837837838;0.9666666666666667;0.8656716417910447;29;8;1
812;class_812;3;;1.0;0.75;1.0;0.8571428571428571;3;1;0
290;class_290;4;;0.75;1.0;0.75;0.8571428571428571;3;0;1
353;class_353;46;;0.782608695652174;0.9473684210526315;0.782608695652174;0.8571428571428571;36;2;10
680;class_680;66;;0.7878787878787878;0.9285714285714286;0.7878787878787878;0.8524590163934426;52;4;14
417;class_417;15;;0.7333333333333333;1.0;0.7333333333333333;0.846153846153846;11;0;4
416;class_416;15;;0.7333333333333333;1.0;0.7333333333333333;0.846153846153846;11;0;4
840;class_840;40;;0.8;0.8888888888888888;0.8;0.8421052631578948;32;4;8
160;class_160;19;;0.8947368421052632;0.7727272727272727;0.8947368421052632;0.8292682926829269;17;5;2
816;class_816;20;;0.9;0.75;0.9;0.8181818181818182;18;6;2
670;class_670;18;;0.7222222222222222;0.9285714285714286;0.7222222222222222;0.8125000000000001;13;1;5
176;class_176;19;;0.7894736842105263;0.8333333333333334;0.7894736842105263;0.8108108108108109;15;3;4
447;class_447;10;;0.8;0.8;0.8;0.8000000000000002;8;2;2
129;class_129;3;;0.6666666666666666;1.0;0.6666666666666666;0.8;2;0;1
722;class_722;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
888;class_888;13;;0.7692307692307693;0.8333333333333334;0.7692307692307693;0.8;10;2;3
101;class_101;2;;1.0;0.6666666666666666;1.0;0.8;2;1;0
158;class_158;7;;0.8571428571428571;0.75;0.8571428571428571;0.7999999999999999;6;2;1
579;class_579;11;;0.7272727272727273;0.8888888888888888;0.7272727272727273;0.7999999999999999;8;1;3
374;class_374;37;;0.7297297297297297;0.84375;0.7297297297297297;0.7826086956521738;27;5;10
43;class_43;16;;0.75;0.8;0.75;0.7741935483870969;12;3;4
838;class_838;21;;0.7142857142857143;0.8333333333333334;0.7142857142857143;0.7692307692307692;15;3;6
733;class_733;17;;0.7647058823529411;0.7647058823529411;0.7647058823529411;0.7647058823529412;13;4;4
753;class_753;28;;0.75;0.7777777777777778;0.75;0.7636363636363638;21;6;7
956;class_956;28;;0.6071428571428571;1.0;0.6071428571428571;0.7555555555555554;17;0;11
842;class_842;17;;0.7058823529411765;0.8;0.7058823529411765;0.7500000000000001;12;3;5
110;class_110;26;;0.6923076923076923;0.8181818181818182;0.6923076923076923;0.7500000000000001;18;4;8
684;class_684;30;;0.7;0.8076923076923077;0.7;0.75;21;5;9
