rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.6886;0.8836;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.8572;0.9548;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.8666;0.982;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.8636;0.9794;0.0;0;0;0;0.0
5;clip_l__knn;CLIP-L-KNN;0.7572;0.9232;0.0;0;0;0;0.0
6;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.8886;0.9602;0.0;0;0;0;0.0
7;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.887;0.9854;0.0;0;0;0;0.0
8;dinov1_b__knn;DINOv1-B-KNN;0.7236;0.898;0.0;0;0;0;0.0
9;dinov1_s__knn;DINOv1-S-KNN;0.7052;0.8788;0.0;0;0;0;0.0
10;dinov2_b__knn;DINOv2-B-KNN;0.8032;0.9388;0.0;0;0;0;0.0
11;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.8148;0.944;0.0;0;0;0;0.0
12;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.8134;0.967;0.0;0;0;0;0.0
13;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.8526;0.9718;0.0;0;0;0;0.0
14;dinov2_l__knn;DINOv2-L-KNN;0.8124;0.9386;0.0;0;0;0;0.0
15;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.8248;0.9476;0.0;0;0;0;0.0
16;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.873;0.9804;0.0;0;0;0;0.0
17;dinov2_s__knn;DINOv2-S-KNN;0.769;0.9274;0.0;0;0;0;0.0
18;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.7692;0.9328;0.0;0;0;0;0.0
19;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.8274;0.9618;0.0;0;0;0;0.0
20;dinov3_b__knn;DINOv3-B-KNN;0.7958;0.9448;0.0;0;0;0;0.0
21;dinov3_l__knn;DINOv3-L-KNN;0.8402;0.9548;0.0;0;0;0;0.0
22;dinov3_s__knn;DINOv3-S-KNN;0.7422;0.9106;0.0;0;0;0;0.0
23;hiera_b_in1k__knn;Hiera_B-KNN;0.8546;0.9496;0.0;0;0;0;0.0
24;hiera_b_in1k__logits;Hiera_B-LOGITS;0.8542;0.9726;0.0;0;0;0;0.0
25;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.8718;0.954;0.0;0;0;0;0.0
26;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.8652;0.979;0.0;0;0;0;0.0
27;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.8396;0.9476;0.0;0;0;0;0.0
28;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.8432;0.9704;0.0;0;0;0;0.0
29;resnet50__knn;ResNet-50-KNN;0.0538;0.0852;0.0;0;0;0;0.0
30;resnet50_in1k__knn;ResNet-50-IN1K-KNN;0.7864;0.9046;0.0;0;0;0;0.0
31;resnet50_in1k__logits;ResNet-50-IN1K-LOGITS;0.8114;0.9488;0.0;0;0;0;0.0
32;swin_b__knn;Swin-B-KNN;0.8486;0.941;0.0;0;0;0;0.0
33;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.8542;0.9584;0.0;0;0;0;0.0
34;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.8668;0.984;0.0;0;0;0;0.0
35;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.8574;0.9814;0.0;0;0;0;0.0
36;swin_l__knn;Swin-L-KNN;0.8628;0.9608;0.0;0;0;0;0.0
37;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.8628;0.9608;0.0;0;0;0;0.0
38;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.868;0.9814;0.0;0;0;0;0.0
39;swin_s__knn;Swin-S-KNN;0.8396;0.9436;0.0;0;0;0;0.0
40;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.826;0.953;0.0;0;0;0;0.0
41;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.8374;0.9736;0.0;0;0;0;0.0
42;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.7942;0.9246;0.0;0;0;0;0.0
43;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.8148;0.9648;0.0;0;0;0;0.0
44;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.8132;0.9354;0.0;0;0;0;0.0
45;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.8334;0.9678;0.0;0;0;0;0.0
