rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.6886;0.8836;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.8572;0.9548;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.8666;0.982;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.8636;0.9794;0.0;0;0;0;0.0
5;dinov1_b__knn;DINOv1-B-KNN;0.7236;0.898;0.0;0;0;0;0.0
6;dinov2_b__knn;DINOv2-B-KNN;0.8032;0.9388;0.0;0;0;0;0.0
7;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.8148;0.944;0.0;0;0;0;0.0
8;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.8134;0.967;0.0;0;0;0;0.0
9;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.8526;0.9718;0.0;0;0;0;0.0
10;dinov3_b__knn;DINOv3-B-KNN;0.7958;0.9448;0.0;0;0;0;0.0
11;hiera_b_in1k__knn;Hiera_B-KNN;0.8546;0.9496;0.0;0;0;0;0.0
12;hiera_b_in1k__logits;Hiera_B-LOGITS;0.8542;0.9726;0.0;0;0;0;0.0
13;swin_b__knn;Swin-B-KNN;0.8486;0.941;0.0;0;0;0;0.0
14;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.8542;0.9584;0.0;0;0;0;0.0
15;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.8668;0.984;0.0;0;0;0;0.0
16;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.8574;0.9814;0.0;0;0;0;0.0
17;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.7942;0.9246;0.0;0;0;0;0.0
18;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.8148;0.9648;0.0;0;0;0;0.0
