rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_l__knn;CLIP-L-KNN;0.7572;0.9232;0.0;0;0;0;0.0
2;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.8886;0.9602;0.0;0;0;0;0.0
3;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.887;0.9854;0.0;0;0;0;0.0
4;dinov2_l__knn;DINOv2-L-KNN;0.8124;0.9386;0.0;0;0;0;0.0
5;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.8248;0.9476;0.0;0;0;0;0.0
6;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.873;0.9804;0.0;0;0;0;0.0
7;dinov3_l__knn;DINOv3-L-KNN;0.8402;0.9548;0.0;0;0;0;0.0
8;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.8718;0.954;0.0;0;0;0;0.0
9;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.8652;0.979;0.0;0;0;0;0.0
10;swin_l__knn;Swin-L-KNN;0.8628;0.9608;0.0;0;0;0;0.0
11;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.8628;0.9608;0.0;0;0;0;0.0
12;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.868;0.9814;0.0;0;0;0;0.0
13;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.8132;0.9354;0.0;0;0;0;0.0
14;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.8334;0.9678;0.0;0;0;0;0.0
