class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
15;robin;50;;1.0;1.0;1.0;1.0;50;0;0
275;African_hunting_dog;50;;1.0;1.0;1.0;1.0;50;0;0
364;three-toed_sloth;50;;1.0;1.0;1.0;1.0;50;0;0
306;rhinoceros_beetle;50;;1.0;1.0;1.0;1.0;50;0;0
291;lion;50;;1.0;1.0;1.0;1.0;50;0;0
800;slot;50;;1.0;1.0;1.0;1.0;50;0;0
476;carousel;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
12;house_finch;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
934;hotdog;50;;1.0;0.9803921568627451;1.0;0.99009900990099;50;1;0
299;meerkat;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
70;harvestman;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
107;jellyfish;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
604;hourglass;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
279;Arctic_fox;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
927;trifle;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
96;toucan;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
270;white_wolf;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
51;triceratops;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
251;dalmatian;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
713;photocopier;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
779;school_bus;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
781;scoreboard;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
64;green_mamba;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
228;komondor;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
533;dishrag;50;;1.0;0.9259259259259259;1.0;0.9615384615384615;50;4;0
149;dugong;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
121;king_crab;50;;0.92;1.0;0.92;0.9583333333333334;46;0;4
471;cannon;50;;0.94;0.9591836734693877;0.94;0.9494949494949495;47;2;3
301;ladybug;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
569;garbage_truck;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
214;Gordon_setter;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
392;rock_beauty;50;;0.96;0.9230769230769231;0.96;0.9411764705882353;48;4;2
310;ant;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
758;reel;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
687;organ;50;;0.9;0.9782608695652174;0.9;0.9375;45;1;5
99;goose;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
245;French_bulldog;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
801;snorkel;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
553;file;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
111;nematode;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
605;iPod;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
403;aircraft_carrier;50;;0.88;0.9777777777777777;0.88;0.9263157894736842;44;1;6
507;combination_lock;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
494;chime;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
997;bolete;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
359;black-footed_ferret;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
