class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
364;three-toed_sloth;50;;1.0;1.0;1.0;1.0;50;0;0
275;African_hunting_dog;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
800;slot;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
927;trifle;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
15;robin;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
604;hourglass;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
476;carousel;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
713;photocopier;50;;0.96;0.9795918367346939;0.96;0.9696969696969697;48;1;2
299;meerkat;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
291;lion;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
251;dalmatian;50;;0.98;0.9423076923076923;0.98;0.9607843137254902;49;3;1
392;rock_beauty;50;;0.98;0.9423076923076923;0.98;0.9607843137254902;49;3;1
12;house_finch;50;;0.96;0.96;0.96;0.96;48;2;2
306;rhinoceros_beetle;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
781;scoreboard;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
687;organ;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
279;Arctic_fox;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
96;toucan;50;;0.92;0.9787234042553191;0.92;0.9484536082474226;46;1;4
149;dugong;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
70;harvestman;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
779;school_bus;50;;0.9;1.0;0.9;0.9473684210526316;45;0;5
533;dishrag;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
51;triceratops;50;;0.94;0.94;0.94;0.94;47;3;3
270;white_wolf;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
111;nematode;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
228;komondor;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
121;king_crab;50;;0.88;1.0;0.88;0.9361702127659575;44;0;6
854;theater_curtain;50;;0.92;0.9387755102040817;0.92;0.9292929292929293;46;3;4
244;Tibetan_mastiff;50;;0.9;0.9574468085106383;0.9;0.9278350515463918;45;2;5
107;jellyfish;50;;0.86;1.0;0.86;0.924731182795699;43;0;7
403;aircraft_carrier;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
471;cannon;50;;0.86;0.9772727272727273;0.86;0.9148936170212766;43;1;7
538;dome;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
64;green_mamba;50;;0.84;1.0;0.84;0.9130434782608696;42;0;8
569;garbage_truck;50;;0.86;0.9555555555555556;0.86;0.9052631578947369;43;2;7
881;upright;50;;0.84;0.9767441860465116;0.84;0.9032258064516129;42;1;8
494;chime;50;;0.82;1.0;0.82;0.9010989010989011;41;0;9
427;barrel;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
914;yawl;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
659;mixing_bowl;50;;0.82;0.9761904761904762;0.82;0.8913043478260869;41;1;9
553;file;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
801;snorkel;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
847;tank;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
934;hotdog;50;;0.8;0.975609756097561;0.8;0.8791208791208791;40;1;10
214;Gordon_setter;50;;0.8;0.9523809523809523;0.8;0.8695652173913043;40;2;10
359;black-footed_ferret;50;;0.8;0.9523809523809523;0.8;0.8695652173913043;40;2;10
245;French_bulldog;50;;0.78;0.975;0.78;0.8666666666666667;39;1;11
997;bolete;50;;0.76;1.0;0.76;0.8636363636363636;38;0;12
440;beer_bottle;50;;0.76;0.9743589743589743;0.76;0.853932584269663;38;1;12
301;ladybug;50;;0.8;0.9090909090909091;0.8;0.8510638297872342;40;4;10
605;iPod;50;;0.74;1.0;0.74;0.8505747126436781;37;0;13
256;Newfoundland;50;;0.78;0.9069767441860465;0.78;0.8387096774193548;39;4;11
166;Walker_hound;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
815;spider_web;50;;0.72;1.0;0.72;0.8372093023255813;36;0;14
741;prayer_rug;50;;0.7;1.0;0.7;0.8235294117647058;35;0;15
709;pencil_box;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
597;holster;50;;0.7;0.9722222222222222;0.7;0.813953488372093;35;1;15
912;worm_fence;50;;0.68;1.0;0.68;0.8095238095238095;34;0;16
507;combination_lock;50;;0.68;1.0;0.68;0.8095238095238095;34;0;16
919;street_sign;50;;0.76;0.8636363636363636;0.76;0.8085106382978724;38;6;12
683;oboe;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
629;lipstick;50;;0.7;0.9459459459459459;0.7;0.8045977011494254;35;2;15
207;golden_retriever;50;;0.68;0.9714285714285714;0.68;0.8;34;1;16
973;coral_reef;50;;0.72;0.9;0.72;0.7999999999999999;36;4;14
858;tile_roof;50;;0.68;0.9444444444444444;0.68;0.7906976744186047;34;2;16
99;goose;50;;0.64;1.0;0.64;0.7804878048780487;32;0;18
310;ant;50;;0.66;0.9428571428571428;0.66;0.7764705882352942;33;2;17
502;clog;50;;0.64;0.9696969696969697;0.64;0.7710843373493975;32;1;18
758;reel;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
484;catamaran;50;;0.62;1.0;0.62;0.7654320987654321;31;0;19
972;cliff;50;;0.62;0.96875;0.62;0.7560975609756097;31;1;19
266;miniature_poodle;50;;0.6;1.0;0.6;0.7499999999999999;30;0;20
807;solar_dish;50;;0.62;0.9393939393939394;0.62;0.7469879518072288;31;2;19
602;horizontal_bar;50;;0.7;0.7954545454545454;0.7;0.7446808510638298;35;9;15
249;malamute;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
173;Ibizan_hound;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
735;poncho;50;;0.58;1.0;0.58;0.7341772151898733;29;0;21
925;consomme;50;;0.58;0.9666666666666667;0.58;0.725;29;1;21
702;parallel_bars;50;;0.62;0.8611111111111112;0.62;0.7209302325581396;31;5;19
242;boxer;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
503;cocktail_shaker;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
880;unicycle;50;;0.58;0.9354838709677419;0.58;0.7160493827160493;29;2;21
524;cuirass;50;;0.56;0.9655172413793104;0.56;0.7088607594936709;28;1;22
176;Saluki;50;;0.6;0.8571428571428571;0.6;0.7058823529411764;30;5;20
950;orange;50;;0.54;1.0;0.54;0.7012987012987013;27;0;23
454;bookshop;50;;0.56;0.9032258064516129;0.56;0.691358024691358;28;3;22
546;electric_guitar;50;;0.58;0.8529411764705882;0.58;0.6904761904761905;29;5;21
584;hair_slide;50;;0.52;1.0;0.52;0.6842105263157895;26;0;24
819;stage;50;;0.54;0.9310344827586207;0.54;0.6835443037974683;27;2;23
655;miniskirt;50;;0.52;0.9285714285714286;0.52;0.6666666666666666;26;2;24
556;fire_screen;50;;0.5;1.0;0.5;0.6666666666666666;25;0;25
860;tobacco_shop;50;;0.58;0.7631578947368421;0.58;0.6590909090909091;29;9;21
412;ashcan;50;;0.48;0.9230769230769231;0.48;0.631578947368421;24;2;26
478;carton;50;;0.5;0.8333333333333334;0.5;0.625;25;5;25
657;missile;50;;0.44;1.0;0.44;0.6111111111111112;22;0;28
909;wok;50;;0.42;0.9130434782608695;0.42;0.5753424657534246;21;2;29
998;ear;50;;0.4;0.9523809523809523;0.4;0.5633802816901408;20;1;30
519;crate;50;;0.42;0.84;0.42;0.5599999999999999;21;4;29
883;vase;50;;0.36;1.0;0.36;0.5294117647058824;18;0;32
567;frying_pan;50;;0.3;0.8823529411764706;0.3;0.44776119402985076;15;2;35
