class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
12;house_finch;50;;1.0;1.0;1.0;1.0;50;0;0
291;lion;50;;1.0;1.0;1.0;1.0;50;0;0
275;African_hunting_dog;50;;1.0;1.0;1.0;1.0;50;0;0
70;harvestman;50;;1.0;1.0;1.0;1.0;50;0;0
364;three-toed_sloth;50;;1.0;1.0;1.0;1.0;50;0;0
279;Arctic_fox;50;;1.0;1.0;1.0;1.0;50;0;0
533;dishrag;50;;1.0;1.0;1.0;1.0;50;0;0
476;carousel;50;;1.0;1.0;1.0;1.0;50;0;0
927;trifle;50;;1.0;1.0;1.0;1.0;50;0;0
299;meerkat;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
15;robin;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
51;triceratops;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
569;garbage_truck;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
713;photocopier;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
800;slot;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
604;hourglass;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
471;cannon;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
779;school_bus;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
934;hotdog;50;;0.98;1.0;0.98;0.98989898989899;49;0;1
251;dalmatian;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
392;rock_beauty;50;;0.98;0.98;0.98;0.98;49;1;1
301;ladybug;50;;0.98;0.98;0.98;0.98;49;1;1
207;golden_retriever;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
96;toucan;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
801;snorkel;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
781;scoreboard;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
107;jellyfish;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
687;organ;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
270;white_wolf;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
149;dugong;50;;0.96;1.0;0.96;0.9795918367346939;48;0;2
