class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
323;monarch;152;;0.875;0.9851851851851852;0.875;0.926829268292683;133;2;19
820;steam_locomotive;231;;0.7619047619047619;1.0;0.7619047619047619;0.8648648648648648;176;0;55
933;cheeseburger;285;;0.775438596491228;0.9525862068965517;0.775438596491228;0.8549323017408124;221;11;64
388;giant_panda;202;;0.801980198019802;0.9;0.801980198019802;0.8481675392670157;162;18;40
889;violin;173;;0.7630057803468208;0.9361702127659575;0.7630057803468208;0.8407643312101911;132;9;41
22;bald_eagle;235;;0.7659574468085106;0.9137055837563451;0.7659574468085106;0.8333333333333334;180;17;55
779;school_bus;136;;0.7205882352941176;0.9607843137254902;0.7205882352941176;0.823529411764706;98;4;38
340;zebra;185;;0.7081081081081081;0.9776119402985075;0.7081081081081081;0.8213166144200628;131;3;54
963;pizza;148;;0.6959459459459459;1.0;0.6959459459459459;0.8207171314741035;103;0;45
31;tree_frog;200;;0.805;0.8341968911917098;0.805;0.8193384223918575;161;32;39
805;soccer_ball;190;;0.8789473684210526;0.7488789237668162;0.8789473684210526;0.8087167070217918;167;56;23
292;tiger;228;;0.8070175438596491;0.7965367965367965;0.8070175438596491;0.8017429193899782;184;47;44
953;pineapple;201;;0.6865671641791045;0.9387755102040817;0.6865671641791045;0.7931034482758622;138;9;63
895;warplane;160;;0.68125;0.9478260869565217;0.68125;0.7927272727272727;109;6;51
954;banana;246;;0.6788617886178862;0.943502824858757;0.6788617886178862;0.7895981087470448;167;10;79
413;assault_rifle;93;;0.6774193548387096;0.9402985074626866;0.6774193548387096;0.7874999999999999;63;4;30
763;revolver;204;;0.7058823529411765;0.8470588235294118;0.7058823529411765;0.770053475935829;144;26;60
780;schooner;92;;0.8586956521739131;0.6752136752136753;0.8586956521739131;0.7559808612440192;79;38;13
934;hotdog;210;;0.6476190476190476;0.8774193548387097;0.6476190476190476;0.745205479452055;136;19;74
13;junco;56;;0.6964285714285714;0.7959183673469388;0.6964285714285714;0.7428571428571428;39;10;17
145;king_penguin;82;;0.7073170731707317;0.7532467532467533;0.7073170731707317;0.7295597484276729;58;19;24
132;American_egret;82;;0.6341463414634146;0.8387096774193549;0.6341463414634146;0.7222222222222222;52;10;30
441;beer_glass;84;;0.5714285714285714;0.9795918367346939;0.5714285714285714;0.7218045112781954;48;1;36
90;lorikeet;127;;0.6614173228346457;0.7777777777777778;0.6614173228346457;0.7148936170212766;84;24;43
815;spider_web;147;;0.5578231292517006;0.9879518072289156;0.5578231292517006;0.7130434782608694;82;1;65
335;fox_squirrel;64;;0.671875;0.7543859649122807;0.671875;0.7107438016528924;43;14;21
555;fire_engine;110;;0.5636363636363636;0.9538461538461539;0.5636363636363636;0.7085714285714286;62;3;48
967;espresso;93;;0.5698924731182796;0.9298245614035088;0.5698924731182796;0.7066666666666666;53;4;40
812;space_shuttle;230;;0.5608695652173913;0.9280575539568345;0.5608695652173913;0.6991869918699186;129;10;101
148;killer_whale;207;;0.5410628019323671;0.9739130434782609;0.5410628019323671;0.6956521739130435;112;3;95
251;dalmatian;215;;0.6744186046511628;0.7073170731707317;0.6744186046511628;0.6904761904761904;145;60;70
2;great_white_shark;207;;0.7439613526570048;0.6390041493775933;0.7439613526570048;0.6875;154;87;53
437;beacon;215;;0.5209302325581395;0.9739130434782609;0.5209302325581395;0.6787878787878788;112;3;103
254;pug;313;;0.5175718849840255;0.9529411764705882;0.5175718849840255;0.6708074534161489;162;8;151
948;Granny_Smith;106;;0.6981132075471698;0.6379310344827587;0.6981132075471698;0.6666666666666667;74;42;32
113;snail;263;;0.5171102661596958;0.9251700680272109;0.5171102661596958;0.6634146341463414;136;11;127
852;tennis_ball;110;;0.6;0.7415730337078652;0.6;0.6633165829145728;66;23;44
130;flamingo;377;;0.5225464190981433;0.8995433789954338;0.5225464190981433;0.6610738255033557;197;22;180
407;ambulance;98;;0.5204081632653061;0.8947368421052632;0.5204081632653061;0.6580645161290324;51;6;47
291;lion;333;;0.5285285285285285;0.8669950738916257;0.5285285285285285;0.6567164179104479;176;27;157
327;starfish;166;;0.5602409638554217;0.788135593220339;0.5602409638554217;0.6549295774647887;93;25;73
309;bee;381;;0.49343832020997375;0.9690721649484536;0.49343832020997375;0.6539130434782608;188;6;193
301;ladybug;270;;0.4888888888888889;0.9705882352941176;0.4888888888888889;0.6502463054187192;132;4;138
296;ice_bear;230;;0.4956521739130435;0.9344262295081968;0.4956521739130435;0.6477272727272727;114;8;116
11;goldfinch;178;;0.46629213483146065;1.0;0.46629213483146065;0.6360153256704981;83;0;95
570;gasmask;169;;0.4970414201183432;0.8316831683168316;0.4970414201183432;0.6222222222222222;84;17;85
299;meerkat;173;;0.630057803468208;0.6123595505617978;0.630057803468208;0.6210826210826211;109;69;64
425;barn;78;;0.46153846153846156;0.9473684210526315;0.46153846153846156;0.6206896551724138;36;2;42
937;broccoli;153;;0.45098039215686275;0.9583333333333334;0.45098039215686275;0.6133333333333333;69;3;84
355;llama;161;;0.4472049689440994;0.972972972972973;0.4472049689440994;0.6127659574468086;72;2;89
928;ice_cream;245;;0.4489795918367347;0.9482758620689655;0.4489795918367347;0.6094182825484764;110;6;135
330;wood_rabbit;79;;0.5189873417721519;0.7321428571428571;0.5189873417721519;0.6074074074074074;41;15;38
448;birdhouse;130;;0.6;0.609375;0.6;0.6046511627906976;78;50;52
866;tractor;193;;0.46113989637305697;0.8725490196078431;0.46113989637305697;0.6033898305084746;89;13;104
362;badger;125;;0.504;0.7411764705882353;0.504;0.6;63;22;62
