class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
583;guillotine;71;;0.8873239436619719;0.984375;0.8873239436619719;0.9333333333333333;63;1;8
945;bell_pepper;136;;0.8676470588235294;0.9672131147540983;0.8676470588235294;0.9147286821705426;118;4;18
780;schooner;92;;0.8478260869565217;0.9873417721518988;0.8478260869565217;0.9122807017543859;78;1;14
401;accordion;132;;0.8257575757575758;0.990909090909091;0.8257575757575758;0.9008264462809917;109;1;23
805;soccer_ball;190;;0.8210526315789474;0.9811320754716981;0.8210526315789474;0.8939828080229226;156;3;34
96;toucan;352;;0.8153409090909091;0.9795221843003413;0.8153409090909091;0.889922480620155;287;6;65
613;joystick;86;;0.8604651162790697;0.9135802469135802;0.8604651162790697;0.8862275449101796;74;7;12
31;tree_frog;200;;0.835;0.9382022471910112;0.835;0.8835978835978836;167;11;33
323;monarch;152;;0.7894736842105263;0.9917355371900827;0.7894736842105263;0.8791208791208792;120;1;32
178;Weimaraner;76;;0.8157894736842105;0.9393939393939394;0.8157894736842105;0.8732394366197183;62;4;14
779;school_bus;136;;0.7720588235294118;1.0;0.7720588235294118;0.8713692946058093;105;0;31
340;zebra;185;;0.772972972972973;0.9930555555555556;0.772972972972973;0.8693009118541034;143;1;42
413;assault_rifle;93;;0.8494623655913979;0.8876404494382022;0.8494623655913979;0.8681318681318682;79;10;14
820;steam_locomotive;231;;0.7575757575757576;0.9887005649717514;0.7575757575757576;0.8578431372549019;175;2;56
327;starfish;166;;0.8012048192771084;0.9047619047619048;0.8012048192771084;0.8498402555910542;133;14;33
621;lawn_mower;79;;0.7468354430379747;0.9672131147540983;0.7468354430379747;0.8428571428571427;59;2;20
875;trombone;97;;0.7422680412371134;0.972972972972973;0.7422680412371134;0.8421052631578948;72;2;25
889;violin;173;;0.7398843930635838;0.9696969696969697;0.7398843930635838;0.8393442622950819;128;4;45
933;cheeseburger;285;;0.7368421052631579;0.9722222222222222;0.7368421052631579;0.8383233532934131;210;6;75
594;harp;133;;0.7368421052631579;0.9702970297029703;0.7368421052631579;0.8376068376068375;98;3;35
895;warplane;160;;0.7625;0.9172932330827067;0.7625;0.832764505119454;122;11;38
207;golden_retriever;139;;0.7338129496402878;0.9532710280373832;0.7338129496402878;0.8292682926829268;102;5;37
254;pug;313;;0.7252396166134185;0.9659574468085106;0.7252396166134185;0.8284671532846716;227;8;86
932;pretzel;113;;0.7256637168141593;0.9647058823529412;0.7256637168141593;0.8282828282828284;82;3;31
251;dalmatian;215;;0.7674418604651163;0.8776595744680851;0.7674418604651163;0.8188585607940447;165;23;50
