class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
779;school_bus;136;;0.9338235294117647;0.9921875;0.9338235294117647;0.9621212121212122;127;1;9
323;monarch;152;;0.9013157894736842;0.9716312056737588;0.9013157894736842;0.9351535836177474;137;4;15
820;steam_locomotive;231;;0.8744588744588745;1.0;0.8744588744588745;0.9330254041570439;202;0;29
953;pineapple;201;;0.8955223880597015;0.9574468085106383;0.8955223880597015;0.9254498714652957;180;8;21
933;cheeseburger;285;;0.8842105263157894;0.9655172413793104;0.8842105263157894;0.9230769230769231;252;9;33
889;violin;173;;0.9017341040462428;0.9285714285714286;0.9017341040462428;0.9149560117302054;156;12;17
963;pizza;148;;0.8445945945945946;0.9920634920634921;0.8445945945945946;0.9124087591240876;125;1;23
388;giant_panda;202;;0.8663366336633663;0.9510869565217391;0.8663366336633663;0.9067357512953368;175;9;27
22;bald_eagle;235;;0.8808510638297873;0.9324324324324325;0.8808510638297873;0.9059080962800876;207;15;28
413;assault_rifle;93;;0.8387096774193549;0.975;0.8387096774193549;0.9017341040462428;78;2;15
31;tree_frog;200;;0.87;0.93048128342246;0.87;0.8992248062015504;174;13;26
954;banana;246;;0.8292682926829268;0.9760765550239234;0.8292682926829268;0.8967032967032966;204;5;42
852;tennis_ball;110;;0.8272727272727273;0.9680851063829787;0.8272727272727273;0.8921568627450982;91;3;19
96;toucan;352;;0.7897727272727273;0.9788732394366197;0.7897727272727273;0.8742138364779874;278;6;74
292;tiger;228;;0.8026315789473685;0.9432989690721649;0.8026315789473685;0.8672985781990522;183;11;45
132;American_egret;82;;0.7804878048780488;0.9696969696969697;0.7804878048780488;0.8648648648648648;64;2;18
148;killer_whale;207;;0.7584541062801933;1.0;0.7584541062801933;0.8626373626373627;157;0;50
296;ice_bear;230;;0.7956521739130434;0.9384615384615385;0.7956521739130434;0.8611764705882353;183;12;47
967;espresso;93;;0.7956989247311828;0.9367088607594937;0.7956989247311828;0.8604651162790697;74;5;19
