rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.37543333333333334;0.5592;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.5141333333333333;0.6166;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.5262333333333333;0.7069;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.5109;0.6980666666666666;0.0;0;0;0;0.0
5;clip_l__knn;CLIP-L-KNN;0.5553666666666667;0.7334666666666667;0.0;0;0;0;0.0
6;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.6567;0.7549333333333333;0.0;0;0;0;0.0
7;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.6421333333333333;0.8302666666666667;0.0;0;0;0;0.0
8;dinov1_b__knn;DINOv1-B-KNN;0.25926666666666665;0.3679;0.0;0;0;0;0.0
9;dinov1_s__knn;DINOv1-S-KNN;0.2304;0.33163333333333334;0.0;0;0;0;0.0
10;dinov2_b__knn;DINOv2-B-KNN;0.5051;0.6485333333333333;0.0;0;0;0;0.0
11;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.45563333333333333;0.6;0.0;0;0;0;0.0
12;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.5213;0.7135333333333334;0.0;0;0;0;0.0
13;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.5355333333333333;0.7107;0.0;0;0;0;0.0
14;dinov2_l__knn;DINOv2-L-KNN;0.6177;0.7413666666666666;0.0;0;0;0;0.0
15;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.5237333333333334;0.6489;0.0;0;0;0;0.0
16;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.6335333333333333;0.7920333333333334;0.0;0;0;0;0.0
17;dinov2_s__knn;DINOv2-S-KNN;0.393;0.5401333333333334;0.0;0;0;0;0.0
18;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.36946666666666667;0.5139333333333334;0.0;0;0;0;0.0
19;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.4271;0.6106666666666667;0.0;0;0;0;0.0
20;dinov3_b__knn;DINOv3-B-KNN;0.3694;0.5140666666666667;0.0;0;0;0;0.0
21;dinov3_l__knn;DINOv3-L-KNN;0.7171333333333333;0.8479333333333333;0.0;0;0;0;0.0
22;dinov3_s__knn;DINOv3-S-KNN;0.4081666666666667;0.5840333333333333;0.0;0;0;0;0.0
23;hiera_b_in1k__knn;Hiera_B-KNN;0.3895;0.4718;0.0;0;0;0;0.0
24;hiera_b_in1k__logits;Hiera_B-LOGITS;0.3796333333333333;0.5377666666666666;0.0;0;0;0;0.0
25;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.44583333333333336;0.5224666666666666;0.0;0;0;0;0.0
26;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.4372666666666667;0.6059666666666667;0.0;0;0;0;0.0
27;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.3538;0.4411333333333333;0.0;0;0;0;0.0
28;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.34726666666666667;0.5022333333333333;0.0;0;0;0;0.0
29;resnet50__knn;ResNet-50-KNN;0.24286666666666668;0.3403333333333333;0.0;0;0;0;0.0
30;resnet50_in1k__knn;ResNet-50-IN1K-KNN;0.21566666666666667;0.2856;0.0;0;0;0;0.0
31;resnet50_in1k__logits;ResNet-50-IN1K-LOGITS;0.2771;0.41013333333333335;0.0;0;0;0;0.0
32;swin_b__knn;Swin-B-KNN;0.3315;0.4093;0.0;0;0;0;0.0
33;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.4215333333333333;0.5245;0.0;0;0;0;0.0
34;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.4361333333333333;0.6027666666666667;0.0;0;0;0;0.0
35;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.4357666666666667;0.6081333333333333;0.0;0;0;0;0.0
36;swin_l__knn;Swin-L-KNN;0.4615;0.5623333333333334;0.0;0;0;0;0.0
37;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.4615;0.5623333333333334;0.0;0;0;0;0.0
38;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.4760333333333333;0.6547333333333333;0.0;0;0;0;0.0
39;swin_s__knn;Swin-S-KNN;0.31953333333333334;0.3996;0.0;0;0;0;0.0
40;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.3661;0.4711;0.0;0;0;0;0.0
41;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.3827333333333333;0.5548666666666666;0.0;0;0;0;0.0
42;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.30816666666666664;0.4026;0.0;0;0;0;0.0
43;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.32816666666666666;0.47573333333333334;0.0;0;0;0;0.0
44;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.3429;0.4402;0.0;0;0;0;0.0
45;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.3575;0.5092666666666666;0.0;0;0;0;0.0
