rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.37543333333333334;0.5592;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.5141333333333333;0.6166;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.5262333333333333;0.7069;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.5109;0.6980666666666666;0.0;0;0;0;0.0
5;dinov1_b__knn;DINOv1-B-KNN;0.25926666666666665;0.3679;0.0;0;0;0;0.0
6;dinov2_b__knn;DINOv2-B-KNN;0.5051;0.6485333333333333;0.0;0;0;0;0.0
7;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.45563333333333333;0.6;0.0;0;0;0;0.0
8;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.5213;0.7135333333333334;0.0;0;0;0;0.0
9;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.5355333333333333;0.7107;0.0;0;0;0;0.0
10;dinov3_b__knn;DINOv3-B-KNN;0.3694;0.5140666666666667;0.0;0;0;0;0.0
11;hiera_b_in1k__knn;Hiera_B-KNN;0.3895;0.4718;0.0;0;0;0;0.0
12;hiera_b_in1k__logits;Hiera_B-LOGITS;0.3796333333333333;0.5377666666666666;0.0;0;0;0;0.0
13;swin_b__knn;Swin-B-KNN;0.3315;0.4093;0.0;0;0;0;0.0
14;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.4215333333333333;0.5245;0.0;0;0;0;0.0
15;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.4361333333333333;0.6027666666666667;0.0;0;0;0;0.0
16;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.4357666666666667;0.6081333333333333;0.0;0;0;0;0.0
17;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.30816666666666664;0.4026;0.0;0;0;0;0.0
18;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.32816666666666666;0.47573333333333334;0.0;0;0;0;0.0
