rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov1_s__knn;DINOv1-S-KNN;0.2304;0.33163333333333334;0.0;0;0;0;0.0
2;dinov2_s__knn;DINOv2-S-KNN;0.393;0.5401333333333334;0.0;0;0;0;0.0
3;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.36946666666666667;0.5139333333333334;0.0;0;0;0;0.0
4;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.4271;0.6106666666666667;0.0;0;0;0;0.0
5;dinov3_s__knn;DINOv3-S-KNN;0.4081666666666667;0.5840333333333333;0.0;0;0;0;0.0
6;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.3538;0.4411333333333333;0.0;0;0;0;0.0
7;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.34726666666666667;0.5022333333333333;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.31953333333333334;0.3996;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.3661;0.4711;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.3827333333333333;0.5548666666666666;0.0;0;0;0;0.0
