class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
780;schooner;92;;0.782608695652174;0.8372093023255814;0.782608695652174;0.8089887640449438;72;14;20
323;monarch;152;;0.6776315789473685;0.9537037037037037;0.6776315789473685;0.7923076923076923;103;5;49
90;lorikeet;127;;0.6299212598425197;0.9411764705882353;0.6299212598425197;0.7547169811320755;80;5;47
820;steam_locomotive;231;;0.5757575757575758;0.9779411764705882;0.5757575757575758;0.7247956403269755;133;3;98
340;zebra;185;;0.6162162162162163;0.8769230769230769;0.6162162162162163;0.7238095238095239;114;16;71
289;snow_leopard;128;;0.609375;0.8571428571428571;0.609375;0.7123287671232875;78;13;50
96;toucan;352;;0.5426136363636364;0.9597989949748744;0.5426136363636364;0.6932849364791289;191;8;161
13;junco;56;;0.5178571428571429;0.9666666666666667;0.5178571428571429;0.6744186046511628;29;1;27
178;Weimaraner;76;;0.5921052631578947;0.7758620689655172;0.5921052631578947;0.671641791044776;45;13;31
207;golden_retriever;139;;0.5179856115107914;0.9473684210526315;0.5179856115107914;0.6697674418604651;72;4;67
413;assault_rifle;93;;0.5913978494623656;0.7236842105263158;0.5913978494623656;0.650887573964497;55;21;38
259;Pomeranian;91;;0.5164835164835165;0.8545454545454545;0.5164835164835165;0.6438356164383563;47;8;44
195;Boston_bull;265;;0.5207547169811321;0.8263473053892215;0.5207547169811321;0.638888888888889;138;29;127
945;bell_pepper;136;;0.5220588235294118;0.8160919540229885;0.5220588235294118;0.6367713004484304;71;16;65
132;American_egret;82;;0.5121951219512195;0.84;0.5121951219512195;0.6363636363636365;42;8;40
292;tiger;228;;0.49122807017543857;0.896;0.49122807017543857;0.6345609065155806;112;13;116
299;meerkat;173;;0.48554913294797686;0.8936170212765957;0.48554913294797686;0.6292134831460674;84;10;89
425;barn;78;;0.5;0.8478260869565217;0.5;0.6290322580645161;39;7;39
251;dalmatian;215;;0.5488372093023256;0.7329192546583851;0.5488372093023256;0.6276595744680851;118;43;97
235;German_shepherd;130;;0.46923076923076923;0.9384615384615385;0.46923076923076923;0.6256410256410256;61;4;69
365;orangutan;134;;0.44776119402985076;0.9523809523809523;0.44776119402985076;0.6091370558375635;60;3;74
11;goldfinch;178;;0.43820224719101125;0.9873417721518988;0.43820224719101125;0.6070038910505836;78;1;100
232;Border_collie;95;;0.45263157894736844;0.86;0.45263157894736844;0.5931034482758621;43;7;52
22;bald_eagle;235;;0.44680851063829785;0.8677685950413223;0.44680851063829785;0.5898876404494382;105;16;130
583;guillotine;71;;0.4225352112676056;0.9090909090909091;0.4225352112676056;0.5769230769230769;30;3;41
260;chow;56;;0.4107142857142857;0.9583333333333334;0.4107142857142857;0.575;23;1;33
805;soccer_ball;190;;0.5473684210526316;0.6011560693641619;0.5473684210526316;0.5730027548209368;104;69;86
187;Yorkshire_terrier;89;;0.449438202247191;0.7692307692307693;0.449438202247191;0.5673758865248226;40;12;49
144;pelican;139;;0.41007194244604317;0.9193548387096774;0.41007194244604317;0.5671641791044776;57;5;82
231;collie;79;;0.43037974683544306;0.8292682926829268;0.43037974683544306;0.5666666666666667;34;7;45
39;common_iguana;74;;0.3918918918918919;0.9354838709677419;0.3918918918918919;0.5523809523809524;29;2;45
437;beacon;215;;0.386046511627907;0.9325842696629213;0.386046511627907;0.5460526315789473;83;6;132
208;Labrador_retriever;74;;0.4189189189189189;0.775;0.4189189189189189;0.5438596491228069;31;9;43
31;tree_frog;200;;0.39;0.896551724137931;0.39;0.5435540069686411;78;9;122
895;warplane;160;;0.4125;0.7951807228915663;0.4125;0.5432098765432098;66;17;94
779;school_bus;136;;0.375;0.9807692307692307;0.375;0.5425531914893617;51;1;85
367;chimpanzee;223;;0.43946188340807174;0.6950354609929078;0.43946188340807174;0.5384615384615384;98;43;125
763;revolver;204;;0.3872549019607843;0.8777777777777778;0.3872549019607843;0.5374149659863946;79;11;125
953;pineapple;201;;0.373134328358209;0.9375;0.373134328358209;0.5338078291814947;75;5;126
579;grand_piano;94;;0.3829787234042553;0.8780487804878049;0.3829787234042553;0.5333333333333333;36;5;58
594;harp;133;;0.3609022556390977;1.0;0.3609022556390977;0.5303867403314917;48;0;85
269;timber_wolf;90;;0.4111111111111111;0.74;0.4111111111111111;0.5285714285714286;37;13;53
401;accordion;132;;0.36363636363636365;0.96;0.36363636363636365;0.5274725274725274;48;2;84
555;fire_engine;110;;0.38181818181818183;0.84;0.38181818181818183;0.5250000000000001;42;8;68
957;pomegranate;117;;0.358974358974359;0.9767441860465116;0.358974358974359;0.5249999999999999;42;1;75
199;Scotch_terrier;104;;0.34615384615384615;0.972972972972973;0.34615384615384615;0.5106382978723405;36;1;68
161;basset;151;;0.39072847682119205;0.7283950617283951;0.39072847682119205;0.5086206896551724;59;22;92
145;king_penguin;82;;0.36585365853658536;0.8333333333333334;0.36585365853658536;0.5084745762711864;30;6;52
234;Rottweiler;108;;0.3425925925925926;0.9487179487179487;0.3425925925925926;0.5034013605442177;37;2;71
79;centipede;110;;0.34545454545454546;0.9047619047619048;0.34545454545454546;0.5;38;4;72
242;boxer;83;;0.3373493975903614;0.9032258064516129;0.3373493975903614;0.49122807017543857;28;3;55
254;pug;313;;0.34185303514376997;0.84251968503937;0.34185303514376997;0.4863636363636364;107;20;206
219;cocker_spaniel;121;;0.33884297520661155;0.8367346938775511;0.33884297520661155;0.48235294117647054;41;8;80
936;head_cabbage;83;;0.39759036144578314;0.5892857142857143;0.39759036144578314;0.47482014388489213;33;23;50
247;Saint_Bernard;51;;0.3137254901960784;0.9411764705882353;0.3137254901960784;0.47058823529411764;16;1;35
815;spider_web;147;;0.3333333333333333;0.765625;0.3333333333333333;0.46445497630331756;49;15;98
948;Granny_Smith;106;;0.330188679245283;0.7446808510638298;0.330188679245283;0.4575163398692811;35;12;71
203;West_Highland_white_terrier;74;;0.3108108108108108;0.8518518518518519;0.3108108108108108;0.4554455445544554;23;4;51
335;fox_squirrel;64;;0.296875;0.9047619047619048;0.296875;0.4470588235294118;19;2;45
362;badger;125;;0.312;0.78;0.312;0.44571428571428573;39;11;86
100;black_swan;81;;0.2839506172839506;0.9583333333333334;0.2839506172839506;0.43809523809523804;23;1;58
388;giant_panda;202;;0.28217821782178215;0.95;0.28217821782178215;0.43511450381679384;57;3;145
160;Afghan_hound;79;;0.31645569620253167;0.6756756756756757;0.31645569620253167;0.4310344827586207;25;12;54
448;birdhouse;130;;0.2846153846153846;0.8809523809523809;0.2846153846153846;0.4302325581395349;37;5;93
76;tarantula;143;;0.2937062937062937;0.7924528301886793;0.2937062937062937;0.42857142857142855;42;11;101
866;tractor;193;;0.2849740932642487;0.8333333333333334;0.2849740932642487;0.42471042471042475;55;11;138
163;bloodhound;53;;0.41509433962264153;0.43137254901960786;0.41509433962264153;0.4230769230769231;22;29;31
293;cheetah;164;;0.2682926829268293;1.0;0.2682926829268293;0.4230769230769231;44;0;120
148;killer_whale;207;;0.2753623188405797;0.9047619047619048;0.2753623188405797;0.4222222222222222;57;6;150
281;tabby;153;;0.2875816993464052;0.7857142857142857;0.2875816993464052;0.42105263157894735;44;12;109
71;scorpion;216;;0.4305555555555556;0.39914163090128757;0.4305555555555556;0.4142538975501114;93;140;123
267;standard_poodle;61;;0.3114754098360656;0.5588235294117647;0.3114754098360656;0.4;19;15;42
932;pretzel;113;;0.2743362831858407;0.7380952380952381;0.2743362831858407;0.39999999999999997;31;11;82
812;space_shuttle;230;;0.24782608695652175;0.9661016949152542;0.24782608695652175;0.3944636678200692;57;2;173
245;French_bulldog;172;;0.26744186046511625;0.7419354838709677;0.26744186046511625;0.3931623931623931;46;16;126
277;red_fox;199;;0.24623115577889448;0.9607843137254902;0.24623115577889448;0.392;49;2;150
327;starfish;166;;0.26506024096385544;0.6470588235294118;0.26506024096385544;0.37606837606837606;44;24;122
330;wood_rabbit;79;;0.31645569620253167;0.45454545454545453;0.31645569620253167;0.373134328358209;25;30;54
393;anemone_fish;173;;0.23121387283236994;0.9302325581395349;0.23121387283236994;0.37037037037037035;40;3;133
621;lawn_mower;79;;0.2911392405063291;0.5;0.2911392405063291;0.368;23;23;56
63;Indian_cobra;106;;0.22641509433962265;0.96;0.22641509433962265;0.366412213740458;24;1;82
2;great_white_shark;207;;0.2463768115942029;0.7083333333333334;0.2463768115942029;0.36559139784946243;51;21;156
9;ostrich;200;;0.23;0.8846153846153846;0.23;0.3650793650793651;46;6;154
983;scuba_diver;152;;0.24342105263157895;0.6981132075471698;0.24342105263157895;0.36097560975609755;37;16;115
852;tennis_ball;110;;0.24545454545454545;0.675;0.24545454545454545;0.36;27;13;83
47;African_chameleon;176;;0.22727272727272727;0.851063829787234;0.22727272727272727;0.35874439461883406;40;7;136
483;castle;143;;0.22377622377622378;0.8421052631578947;0.22377622377622378;0.3535911602209945;32;6;111
151;Chihuahua;155;;0.21935483870967742;0.8717948717948718;0.21935483870967742;0.35051546391752586;34;5;121
570;gasmask;169;;0.2603550295857988;0.5116279069767442;0.2603550295857988;0.34509803921568627;44;42;125
476;carousel;104;;0.2403846153846154;0.5813953488372093;0.2403846153846154;0.3401360544217687;25;18;79
593;harmonica;73;;0.2328767123287671;0.6071428571428571;0.2328767123287671;0.33663366336633666;17;11;56
776;sax;258;;0.20155038759689922;0.9811320754716981;0.20155038759689922;0.3344051446945338;52;1;206
296;ice_bear;230;;0.20434782608695654;0.9038461538461539;0.20434782608695654;0.33333333333333337;47;5;183
407;ambulance;98;;0.21428571428571427;0.7241379310344828;0.21428571428571427;0.33070866141732286;21;8;77
368;gibbon;64;;0.203125;0.8666666666666667;0.203125;0.32911392405063294;13;2;51
907;wine_bottle;112;;0.20535714285714285;0.8214285714285714;0.20535714285714285;0.32857142857142857;23;5;89
94;hummingbird;346;;0.19653179190751446;0.9577464788732394;0.19653179190751446;0.32613908872901676;68;3;278
171;Italian_greyhound;55;;0.34545454545454546;0.3064516129032258;0.34545454545454546;0.3247863247863248;19;43;36
288;leopard;58;;0.3275862068965517;0.3220338983050847;0.3275862068965517;0.3247863247863248;19;40;39
319;dragonfly;225;;0.19555555555555557;0.9565217391304348;0.19555555555555557;0.32472324723247237;44;2;181
471;cannon;73;;0.2328767123287671;0.5151515151515151;0.2328767123287671;0.320754716981132;17;16;56
981;ballplayer;170;;0.19411764705882353;0.9166666666666666;0.19411764705882353;0.32038834951456313;33;3;137
84;peacock;160;;0.1875;0.9090909090909091;0.1875;0.310880829015544;30;3;130
967;espresso;93;;0.1935483870967742;0.72;0.1935483870967742;0.30508474576271183;18;7;75
276;hyena;117;;0.19658119658119658;0.6764705882352942;0.19658119658119658;0.304635761589404;23;11;94
609;jeep;137;;0.20437956204379562;0.5957446808510638;0.20437956204379562;0.30434782608695654;28;19;109
122;American_lobster;81;;0.20987654320987653;0.5483870967741935;0.20987654320987653;0.30357142857142855;17;14;64
933;cheeseburger;285;;0.17894736842105263;0.9444444444444444;0.17894736842105263;0.3008849557522124;51;3;234
347;bison;246;;0.17479674796747968;1.0;0.17479674796747968;0.2975778546712803;43;0;203
334;porcupine;98;;0.1836734693877551;0.6923076923076923;0.1836734693877551;0.2903225806451613;18;8;80
613;joystick;86;;0.2441860465116279;0.3333333333333333;0.2441860465116279;0.2818791946308725;21;42;65
250;Siberian_husky;150;;0.16666666666666666;0.8620689655172413;0.16666666666666666;0.27932960893854747;25;4;125
847;tank;248;;0.16532258064516128;0.8541666666666666;0.16532258064516128;0.27702702702702703;41;7;207
951;lemon;176;;0.16477272727272727;0.8285714285714286;0.16477272727272727;0.2748815165876777;29;6;147
99;goose;123;;0.17073170731707318;0.6774193548387096;0.17073170731707318;0.27272727272727276;21;10;102
366;gorilla;227;;0.16299559471365638;0.7872340425531915;0.16299559471365638;0.2700729927007299;37;10;190
308;fly;80;;0.175;0.5833333333333334;0.175;0.2692307692307692;14;10;66
162;beagle;111;;0.16216216216216217;0.782608695652174;0.16216216216216217;0.2686567164179105;18;5;93
291;lion;333;;0.15615615615615616;0.9285714285714286;0.15615615615615616;0.26735218508997427;52;4;281
26;common_newt;78;;0.15384615384615385;0.8571428571428571;0.15384615384615385;0.2608695652173913;12;2;66
949;strawberry;277;;0.15162454873646208;0.8571428571428571;0.15162454873646208;0.2576687116564417;42;7;235
315;mantis;250;;0.152;0.8260869565217391;0.152;0.25675675675675674;38;8;212
701;parachute;123;;0.16260162601626016;0.6060606060606061;0.16260162601626016;0.2564102564102564;20;13;103
954;banana;246;;0.15447154471544716;0.7037037037037037;0.15447154471544716;0.25333333333333335;38;16;208
29;axolotl;165;;0.14545454545454545;0.8888888888888888;0.14545454545454545;0.25;24;3;141
