class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
96;toucan;352;;0.8636363636363636;0.9838187702265372;0.8636363636363636;0.9198184568835098;304;5;48
945;bell_pepper;136;;0.8455882352941176;1.0;0.8455882352941176;0.9163346613545816;115;0;21
594;harp;133;;0.8421052631578947;0.9911504424778761;0.8421052631578947;0.9105691056910569;112;1;21
875;trombone;97;;0.8350515463917526;0.9878048780487805;0.8350515463917526;0.9050279329608938;81;1;16
780;schooner;92;;0.8695652173913043;0.9090909090909091;0.8695652173913043;0.888888888888889;80;8;12
401;accordion;132;;0.8181818181818182;0.9557522123893806;0.8181818181818182;0.8816326530612245;108;5;24
583;guillotine;71;;0.9154929577464789;0.8441558441558441;0.9154929577464789;0.8783783783783784;65;12;6
178;Weimaraner;76;;0.8026315789473685;0.9682539682539683;0.8026315789473685;0.8776978417266187;61;2;15
90;lorikeet;127;;0.7795275590551181;1.0;0.7795275590551181;0.8761061946902654;99;0;28
207;golden_retriever;139;;0.8129496402877698;0.9416666666666667;0.8129496402877698;0.8725868725868726;113;7;26
340;zebra;185;;0.7945945945945946;0.9671052631578947;0.7945945945945946;0.8724035608308606;147;5;38
579;grand_piano;94;;0.776595744680851;0.9864864864864865;0.776595744680851;0.8690476190476191;73;1;21
299;meerkat;173;;0.8034682080924855;0.9391891891891891;0.8034682080924855;0.8660436137071651;139;9;34
866;tractor;193;;0.7823834196891192;0.9617834394904459;0.7823834196891192;0.8628571428571428;151;6;42
763;revolver;204;;0.7696078431372549;0.98125;0.7696078431372549;0.8626373626373626;157;3;47
254;pug;313;;0.7795527156549521;0.9606299212598425;0.7795527156549521;0.8606701940035273;244;10;69
71;scorpion;216;;0.875;0.84375;0.875;0.8590909090909091;189;35;27
889;violin;173;;0.7687861271676301;0.9637681159420289;0.7687861271676301;0.8553054662379421;133;5;40
251;dalmatian;215;;0.7674418604651163;0.9649122807017544;0.7674418604651163;0.8549222797927462;165;6;50
981;ballplayer;170;;0.788235294117647;0.9241379310344827;0.788235294117647;0.8507936507936508;134;11;36
235;German_shepherd;130;;0.7384615384615385;1.0;0.7384615384615385;0.8495575221238938;96;0;34
621;lawn_mower;79;;0.7848101265822784;0.9253731343283582;0.7848101265822784;0.8493150684931507;62;5;17
327;starfish;166;;0.8493975903614458;0.8392857142857143;0.8493975903614458;0.844311377245509;141;27;25
79;centipede;110;;0.7636363636363637;0.9438202247191011;0.7636363636363637;0.8442211055276381;84;5;26
234;Rottweiler;108;;0.7222222222222222;1.0;0.7222222222222222;0.8387096774193548;78;0;30
13;junco;56;;0.7142857142857143;1.0;0.7142857142857143;0.8333333333333333;40;0;16
195;Boston_bull;265;;0.7584905660377359;0.9178082191780822;0.7584905660377359;0.8305785123966942;201;18;64
779;school_bus;136;;0.7058823529411765;1.0;0.7058823529411765;0.8275862068965517;96;0;40
31;tree_frog;200;;0.705;1.0;0.705;0.8269794721407624;141;0;59
805;soccer_ball;190;;0.7105263157894737;0.9782608695652174;0.7105263157894737;0.8231707317073169;135;3;55
437;beacon;215;;0.6883720930232559;0.9932885906040269;0.6883720930232559;0.8131868131868132;148;1;67
820;steam_locomotive;231;;0.6796536796536796;1.0;0.6796536796536796;0.8092783505154639;157;0;74
208;Labrador_retriever;74;;0.7162162162162162;0.9298245614035088;0.7162162162162162;0.8091603053435115;53;4;21
812;space_shuttle;230;;0.7260869565217392;0.912568306010929;0.7260869565217392;0.8087167070217919;167;16;63
151;Chihuahua;155;;0.7290322580645161;0.904;0.7290322580645161;0.8071428571428572;113;12;42
22;bald_eagle;235;;0.6808510638297872;0.9876543209876543;0.6808510638297872;0.8060453400503778;160;2;75
957;pomegranate;117;;0.6837606837606838;0.975609756097561;0.6837606837606838;0.8040201005025126;80;2;37
245;French_bulldog;172;;0.7965116279069767;0.7965116279069767;0.7965116279069767;0.7965116279069767;137;35;35
289;snow_leopard;128;;0.7890625;0.8015873015873016;0.7890625;0.7952755905511811;101;25;27
47;African_chameleon;176;;0.6931818181818182;0.9312977099236641;0.6931818181818182;0.7947882736156352;122;9;54
259;Pomeranian;91;;0.6593406593406593;1.0;0.6593406593406593;0.794701986754967;60;0;31
717;pickup;137;;0.6788321167883211;0.9489795918367347;0.6788321167883211;0.7914893617021277;93;5;44
425;barn;78;;0.6538461538461539;1.0;0.6538461538461539;0.7906976744186047;51;0;27
242;boxer;83;;0.6746987951807228;0.9491525423728814;0.6746987951807228;0.7887323943661971;56;3;27
558;flute;146;;0.6643835616438356;0.97;0.6643835616438356;0.7886178861788617;97;3;49
613;joystick;86;;0.8023255813953488;0.7752808988764045;0.8023255813953488;0.7885714285714286;69;20;17
187;Yorkshire_terrier;89;;0.6853932584269663;0.9242424242424242;0.6853932584269663;0.7870967741935484;61;5;28
936;head_cabbage;83;;0.6626506024096386;0.9649122807017544;0.6626506024096386;0.7857142857142856;55;2;28
776;sax;258;;0.6434108527131783;1.0;0.6434108527131783;0.7830188679245284;166;0;92
428;barrow;103;;0.6796116504854369;0.9210526315789473;0.6796116504854369;0.7821229050279329;70;6;33
546;electric_guitar;150;;0.6666666666666666;0.9433962264150944;0.6666666666666666;0.7812499999999999;100;6;50
476;carousel;104;;0.6826923076923077;0.9102564102564102;0.6826923076923077;0.7802197802197801;71;7;33
161;basset;151;;0.6821192052980133;0.9035087719298246;0.6821192052980133;0.7773584905660378;103;11;48
199;Scotch_terrier;104;;0.6538461538461539;0.9577464788732394;0.6538461538461539;0.7771428571428571;68;3;36
