class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
96;toucan;352;;0.9772727272727273;0.9971014492753624;0.9772727272727273;0.987087517934003;344;1;8
144;pelican;139;;0.9568345323741008;0.9925373134328358;0.9568345323741008;0.9743589743589743;133;1;6
401;accordion;132;;0.9621212121212122;0.9844961240310077;0.9621212121212122;0.9731800766283525;127;2;5
583;guillotine;71;;0.9577464788732394;0.9855072463768116;0.9577464788732394;0.9714285714285714;68;1;3
945;bell_pepper;136;;0.9485294117647058;0.9923076923076923;0.9485294117647058;0.9699248120300752;129;1;7
148;killer_whale;207;;0.9420289855072463;0.9898477157360406;0.9420289855072463;0.9653465346534653;195;2;12
957;pomegranate;117;;0.9401709401709402;0.990990990990991;0.9401709401709402;0.9649122807017545;110;1;7
251;dalmatian;215;;0.9395348837209302;0.9901960784313726;0.9395348837209302;0.9642004773269689;202;2;13
613;joystick;86;;0.9534883720930233;0.9647058823529412;0.9534883720930233;0.9590643274853802;82;3;4
820;steam_locomotive;231;;0.9090909090909091;1.0;0.9090909090909091;0.9523809523809523;210;0;21
932;pretzel;113;;0.911504424778761;0.9903846153846154;0.911504424778761;0.9493087557603687;103;1;10
22;bald_eagle;235;;0.9446808510638298;0.9527896995708155;0.9446808510638298;0.9487179487179489;222;11;13
340;zebra;185;;0.9081081081081082;0.9882352941176471;0.9081081081081082;0.9464788732394367;168;2;17
31;tree_frog;200;;0.92;0.9735449735449735;0.92;0.9460154241645244;184;5;16
954;banana;246;;0.9227642276422764;0.9700854700854701;0.9227642276422764;0.9458333333333333;227;7;19
314;cockroach;97;;0.8969072164948454;1.0;0.8969072164948454;0.9456521739130436;87;0;10
299;meerkat;173;;0.9479768786127167;0.9425287356321839;0.9479768786127167;0.9452449567723343;164;10;9
29;axolotl;165;;0.9272727272727272;0.9622641509433962;0.9272727272727272;0.9444444444444444;153;6;12
875;trombone;97;;0.9072164948453608;0.9777777777777777;0.9072164948453608;0.9411764705882353;88;2;9
338;guinea_pig;144;;0.8888888888888888;1.0;0.8888888888888888;0.9411764705882353;128;0;16
63;Indian_cobra;106;;0.8962264150943396;0.9895833333333334;0.8962264150943396;0.9405940594059405;95;1;11
107;jellyfish;309;;0.8996763754045307;0.9823321554770318;0.8996763754045307;0.9391891891891891;278;5;31
763;revolver;204;;0.9068627450980392;0.9736842105263158;0.9068627450980392;0.9390862944162437;185;5;19
79;centipede;110;;0.9090909090909091;0.970873786407767;0.9090909090909091;0.9389671361502346;100;3;10
889;violin;173;;0.8901734104046243;0.9871794871794872;0.8901734104046243;0.9361702127659575;154;2;19
47;African_chameleon;176;;0.8920454545454546;0.98125;0.8920454545454546;0.9345238095238095;157;3;19
113;snail;263;;0.8935361216730038;0.9710743801652892;0.8935361216730038;0.9306930693069307;235;7;28
259;Pomeranian;91;;0.8681318681318682;1.0;0.8681318681318682;0.9294117647058824;79;0;12
254;pug;313;;0.8753993610223643;0.9856115107913669;0.8753993610223643;0.9272419627749576;274;4;39
776;sax;258;;0.8682170542635659;0.9911504424778761;0.8682170542635659;0.9256198347107438;224;2;34
779;school_bus;136;;0.8602941176470589;1.0;0.8602941176470589;0.924901185770751;117;0;19
260;chow;56;;0.875;0.98;0.875;0.9245283018867924;49;1;7
90;lorikeet;127;;0.8661417322834646;0.990990990990991;0.8661417322834646;0.9243697478991598;110;1;17
347;bison;246;;0.8577235772357723;1.0;0.8577235772357723;0.9234135667396061;211;0;35
805;soccer_ball;190;;0.8789473684210526;0.9709302325581395;0.8789473684210526;0.9226519337016575;167;5;23
476;carousel;104;;0.9423076923076923;0.8990825688073395;0.9423076923076923;0.92018779342723;98;11;6
207;golden_retriever;139;;0.8705035971223022;0.9758064516129032;0.8705035971223022;0.9201520912547528;121;3;18
