class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
780;schooner;92;;0.8260869565217391;0.95;0.8260869565217391;0.8837209302325583;76;4;16
323;monarch;152;;0.7697368421052632;0.9831932773109243;0.7697368421052632;0.8634686346863469;117;2;35
413;assault_rifle;93;;0.7956989247311828;0.891566265060241;0.7956989247311828;0.8409090909090909;74;9;19
583;guillotine;71;;0.8028169014084507;0.8769230769230769;0.8028169014084507;0.8382352941176471;57;8;14
621;lawn_mower;79;;0.7468354430379747;0.9076923076923077;0.7468354430379747;0.8194444444444445;59;6;20
579;grand_piano;94;;0.6808510638297872;0.9846153846153847;0.6808510638297872;0.8050314465408805;64;1;30
820;steam_locomotive;231;;0.6753246753246753;0.9936305732484076;0.6753246753246753;0.8041237113402062;156;1;75
132;American_egret;82;;0.7073170731707317;0.9206349206349206;0.7073170731707317;0.7999999999999999;58;5;24
242;boxer;83;;0.7710843373493976;0.8205128205128205;0.7710843373493976;0.7950310559006212;64;14;19
805;soccer_ball;190;;0.6684210526315789;0.9694656488549618;0.6684210526315789;0.7912772585669781;127;4;63
96;toucan;352;;0.6590909090909091;0.9872340425531915;0.6590909090909091;0.7904599659284497;232;3;120
187;Yorkshire_terrier;89;;0.6966292134831461;0.8857142857142857;0.6966292134831461;0.779874213836478;62;8;27
90;lorikeet;127;;0.6377952755905512;1.0;0.6377952755905512;0.7788461538461539;81;0;46
207;golden_retriever;139;;0.6762589928057554;0.9038461538461539;0.6762589928057554;0.7736625514403291;94;10;45
178;Weimaraner;76;;0.7105263157894737;0.84375;0.7105263157894737;0.7714285714285714;54;10;22
299;meerkat;173;;0.6358381502890174;0.9734513274336283;0.6358381502890174;0.7692307692307693;110;3;63
235;German_shepherd;130;;0.6384615384615384;0.9651162790697675;0.6384615384615384;0.7685185185185186;83;3;47
812;space_shuttle;230;;0.6478260869565218;0.9371069182389937;0.6478260869565218;0.7660668380462725;149;10;81
289;snow_leopard;128;;0.671875;0.8865979381443299;0.671875;0.7644444444444445;86;11;42
945;bell_pepper;136;;0.6323529411764706;0.9662921348314607;0.6323529411764706;0.7644444444444444;86;3;50
195;Boston_bull;265;;0.6679245283018868;0.8894472361809045;0.6679245283018868;0.7629310344827587;177;22;88
437;beacon;215;;0.6232558139534884;0.9781021897810219;0.6232558139534884;0.7613636363636364;134;3;81
875;trombone;97;;0.6494845360824743;0.9130434782608695;0.6494845360824743;0.7590361445783133;63;6;34
717;pickup;137;;0.6277372262773723;0.945054945054945;0.6277372262773723;0.7543859649122806;86;5;51
594;harp;133;;0.6616541353383458;0.8627450980392157;0.6616541353383458;0.7489361702127659;88;14;45
340;zebra;185;;0.6108108108108108;0.9658119658119658;0.6108108108108108;0.7483443708609271;113;4;72
260;chow;56;;0.625;0.9210526315789473;0.625;0.7446808510638298;35;3;21
232;Border_collie;95;;0.6842105263157895;0.8024691358024691;0.6842105263157895;0.7386363636363638;65;16;30
11;goldfinch;178;;0.5842696629213483;1.0;0.5842696629213483;0.7375886524822695;104;0;74
251;dalmatian;215;;0.6232558139534884;0.8874172185430463;0.6232558139534884;0.73224043715847;134;17;81
247;Saint_Bernard;51;;0.5882352941176471;0.967741935483871;0.5882352941176471;0.7317073170731707;30;1;21
31;tree_frog;200;;0.58;0.9830508474576272;0.58;0.7295597484276729;116;2;84
895;warplane;160;;0.65625;0.8076923076923077;0.65625;0.7241379310344829;105;25;55
39;common_iguana;74;;0.581081081081081;0.9347826086956522;0.581081081081081;0.7166666666666666;43;3;31
889;violin;173;;0.5664739884393064;0.9514563106796117;0.5664739884393064;0.7101449275362318;98;5;75
866;tractor;193;;0.5751295336787565;0.925;0.5751295336787565;0.7092651757188498;111;9;82
401;accordion;132;;0.553030303030303;0.9864864864864865;0.553030303030303;0.7087378640776698;73;1;59
779;school_bus;136;;0.5441176470588235;1.0;0.5441176470588235;0.7047619047619048;74;0;62
161;basset;151;;0.6291390728476821;0.7916666666666666;0.6291390728476821;0.7011070110701106;95;25;56
327;starfish;166;;0.6566265060240963;0.7517241379310344;0.6566265060240963;0.7009646302250803;109;36;57
71;scorpion;216;;0.6018518518518519;0.8387096774193549;0.6018518518518519;0.7008086253369272;130;25;86
144;pelican;139;;0.5539568345323741;0.9390243902439024;0.5539568345323741;0.6968325791855203;77;5;62
932;pretzel;113;;0.5486725663716814;0.9538461538461539;0.5486725663716814;0.696629213483146;62;3;51
234;Rottweiler;108;;0.5462962962962963;0.9516129032258065;0.5462962962962963;0.6941176470588235;59;3;49
763;revolver;204;;0.5392156862745098;0.9734513274336283;0.5392156862745098;0.6940063091482649;110;3;94
613;joystick;86;;0.6046511627906976;0.8125;0.6046511627906976;0.6933333333333334;52;12;34
259;Pomeranian;91;;0.5274725274725275;1.0;0.5274725274725275;0.6906474820143885;48;0;43
219;cocker_spaniel;121;;0.5537190082644629;0.9054054054054054;0.5537190082644629;0.6871794871794873;67;7;54
148;killer_whale;207;;0.5362318840579711;0.9487179487179487;0.5362318840579711;0.6851851851851853;111;6;96
425;barn;78;;0.5384615384615384;0.9333333333333333;0.5384615384615384;0.6829268292682926;42;3;36
315;mantis;250;;0.516;0.9847328244274809;0.516;0.6771653543307086;129;2;121
254;pug;313;;0.5207667731629393;0.9588235294117647;0.5207667731629393;0.6749482401656315;163;7;150
365;orangutan;134;;0.5149253731343284;0.9583333333333334;0.5149253731343284;0.6699029126213593;69;3;65
79;centipede;110;;0.5181818181818182;0.9193548387096774;0.5181818181818182;0.6627906976744186;57;5;53
199;Scotch_terrier;104;;0.5;0.9811320754716981;0.5;0.6624203821656051;52;1;52
145;king_penguin;82;;0.5365853658536586;0.8627450980392157;0.5365853658536586;0.6616541353383459;44;7;38
231;collie;79;;0.4936708860759494;1.0;0.4936708860759494;0.6610169491525424;39;0;40
292;tiger;228;;0.543859649122807;0.8378378378378378;0.543859649122807;0.6595744680851063;124;24;104
13;junco;56;;0.5;0.9655172413793104;0.5;0.6588235294117647;28;1;28
245;French_bulldog;172;;0.5523255813953488;0.8050847457627118;0.5523255813953488;0.6551724137931034;95;23;77
546;electric_guitar;150;;0.54;0.826530612244898;0.54;0.653225806451613;81;17;69
448;birdhouse;130;;0.5692307692307692;0.7551020408163265;0.5692307692307692;0.6491228070175438;74;24;56
948;Granny_Smith;106;;0.49056603773584906;0.9285714285714286;0.49056603773584906;0.6419753086419753;52;4;54
907;wine_bottle;112;;0.5089285714285714;0.8507462686567164;0.5089285714285714;0.6368715083798883;57;10;55
281;tabby;153;;0.5163398692810458;0.8144329896907216;0.5163398692810458;0.632;79;18;74
208;Labrador_retriever;74;;0.4864864864864865;0.9;0.4864864864864865;0.631578947368421;36;4;38
160;Afghan_hound;79;;0.5189873417721519;0.803921568627451;0.5189873417721519;0.6307692307692309;41;10;38
203;West_Highland_white_terrier;74;;0.47297297297297297;0.9459459459459459;0.47297297297297297;0.6306306306306306;35;2;39
847;tank;248;;0.4637096774193548;0.9829059829059829;0.4637096774193548;0.6301369863013698;115;2;133
155;Shih-Tzu;72;;0.4722222222222222;0.9444444444444444;0.4722222222222222;0.6296296296296297;34;2;38
362;badger;125;;0.472;0.9076923076923077;0.472;0.6210526315789474;59;6;66
407;ambulance;98;;0.46938775510204084;0.9019607843137255;0.46938775510204084;0.6174496644295303;46;5;52
151;Chihuahua;155;;0.4645161290322581;0.9;0.4645161290322581;0.6127659574468085;72;8;83
367;chimpanzee;223;;0.4798206278026906;0.816793893129771;0.4798206278026906;0.6045197740112994;107;24;116
368;gibbon;64;;0.4375;0.9655172413793104;0.4375;0.6021505376344085;28;1;36
953;pineapple;201;;0.43283582089552236;0.9666666666666667;0.43283582089552236;0.5979381443298969;87;3;114
593;harmonica;73;;0.4794520547945205;0.7777777777777778;0.4794520547945205;0.5932203389830508;35;10;38
