class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
323;monarch;152;;0.7960526315789473;0.9918032786885246;0.7960526315789473;0.8832116788321168;121;1;31
178;Weimaraner;76;;0.7763157894736842;0.9672131147540983;0.7763157894736842;0.8613138686131387;59;2;17
805;soccer_ball;190;;0.8;0.9325153374233128;0.8;0.8611898016997167;152;11;38
132;American_egret;82;;0.7682926829268293;0.9692307692307692;0.7682926829268293;0.8571428571428572;63;2;19
90;lorikeet;127;;0.7480314960629921;0.9895833333333334;0.7480314960629921;0.8520179372197308;95;1;32
780;schooner;92;;0.8913043478260869;0.8118811881188119;0.8913043478260869;0.8497409326424871;82;19;10
96;toucan;352;;0.75;0.9705882352941176;0.75;0.846153846153846;264;8;88
820;steam_locomotive;231;;0.7359307359307359;0.9941520467836257;0.7359307359307359;0.8457711442786068;170;1;61
945;bell_pepper;136;;0.7647058823529411;0.9454545454545454;0.7647058823529411;0.8455284552845528;104;6;32
583;guillotine;71;;0.7605633802816901;0.9473684210526315;0.7605633802816901;0.8437499999999999;54;3;17
613;joystick;86;;0.7325581395348837;0.9545454545454546;0.7325581395348837;0.8289473684210527;63;3;23
413;assault_rifle;93;;0.7956989247311828;0.8505747126436781;0.7956989247311828;0.8222222222222222;74;13;19
875;trombone;97;;0.7010309278350515;0.9855072463768116;0.7010309278350515;0.8192771084337348;68;1;29
621;lawn_mower;79;;0.7721518987341772;0.8356164383561644;0.7721518987341772;0.8026315789473685;61;12;18
889;violin;173;;0.6647398843930635;1.0;0.6647398843930635;0.798611111111111;115;0;58
207;golden_retriever;139;;0.697841726618705;0.9065420560747663;0.697841726618705;0.7886178861788619;97;10;42
401;accordion;132;;0.6666666666666666;0.9565217391304348;0.6666666666666666;0.7857142857142856;88;4;44
579;grand_piano;94;;0.648936170212766;0.9838709677419355;0.648936170212766;0.782051282051282;61;1;33
327;starfish;166;;0.7710843373493976;0.7852760736196319;0.7710843373493976;0.7781155015197568;128;35;38
812;space_shuttle;230;;0.6739130434782609;0.9171597633136095;0.6739130434782609;0.7769423558897244;155;14;75
195;Boston_bull;265;;0.6830188679245283;0.8960396039603961;0.6830188679245283;0.7751605995717346;181;21;84
763;revolver;204;;0.6372549019607843;0.9774436090225563;0.6372549019607843;0.7715133531157269;130;3;74
594;harp;133;;0.6541353383458647;0.9354838709677419;0.6541353383458647;0.7699115044247787;87;6;46
31;tree_frog;200;;0.665;0.910958904109589;0.665;0.7687861271676301;133;13;67
340;zebra;185;;0.7405405405405405;0.7873563218390804;0.7405405405405405;0.7632311977715878;137;37;48
251;dalmatian;215;;0.7302325581395349;0.7929292929292929;0.7302325581395349;0.7602905569007263;157;41;58
145;king_penguin;82;;0.6585365853658537;0.8709677419354839;0.6585365853658537;0.75;54;8;28
779;school_bus;136;;0.6029411764705882;0.9879518072289156;0.6029411764705882;0.7488584474885844;82;1;54
259;Pomeranian;91;;0.6153846153846154;0.9491525423728814;0.6153846153846154;0.7466666666666667;56;3;35
