class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
413;assault_rifle;93;;0.8602150537634409;0.9090909090909091;0.8602150537634409;0.8839779005524862;80;8;13
820;steam_locomotive;231;;0.7792207792207793;0.994475138121547;0.7792207792207793;0.8737864077669903;180;1;51
805;soccer_ball;190;;0.8157894736842105;0.9281437125748503;0.8157894736842105;0.8683473389355743;155;12;35
90;lorikeet;127;;0.7559055118110236;0.9795918367346939;0.7559055118110236;0.8533333333333333;96;2;31
323;monarch;152;;0.756578947368421;0.9745762711864406;0.756578947368421;0.8518518518518519;115;3;37
780;schooner;92;;0.9021739130434783;0.8058252427184466;0.9021739130434783;0.8512820512820513;83;20;9
178;Weimaraner;76;;0.75;0.9827586206896551;0.75;0.8507462686567163;57;1;19
875;trombone;97;;0.7731958762886598;0.9375;0.7731958762886598;0.847457627118644;75;5;22
132;American_egret;82;;0.7560975609756098;0.9538461538461539;0.7560975609756098;0.8435374149659864;62;3;20
96;toucan;352;;0.7528409090909091;0.9464285714285714;0.7528409090909091;0.8386075949367089;265;15;87
945;bell_pepper;136;;0.7573529411764706;0.9363636363636364;0.7573529411764706;0.8373983739837397;103;7;33
583;guillotine;71;;0.7746478873239436;0.9016393442622951;0.7746478873239436;0.8333333333333333;55;6;16
812;space_shuttle;230;;0.717391304347826;0.9217877094972067;0.717391304347826;0.8068459657701712;165;14;65
621;lawn_mower;79;;0.759493670886076;0.8450704225352113;0.759493670886076;0.8;60;11;19
579;grand_piano;94;;0.6595744680851063;1.0;0.6595744680851063;0.7948717948717948;62;0;32
613;joystick;86;;0.7093023255813954;0.8970588235294118;0.7093023255813954;0.7922077922077922;61;7;25
401;accordion;132;;0.6818181818181818;0.9375;0.6818181818181818;0.7894736842105263;90;6;42
895;warplane;160;;0.6875;0.9243697478991597;0.6875;0.7885304659498209;110;9;50
763;revolver;204;;0.6813725490196079;0.9328859060402684;0.6813725490196079;0.7875354107648724;139;10;65
327;starfish;166;;0.7891566265060241;0.7844311377245509;0.7891566265060241;0.7867867867867868;131;36;35
31;tree_frog;200;;0.695;0.9025974025974026;0.695;0.7853107344632768;139;15;61
299;meerkat;173;;0.6820809248554913;0.9147286821705426;0.6820809248554913;0.7814569536423841;118;11;55
594;harp;133;;0.6541353383458647;0.925531914893617;0.6541353383458647;0.7665198237885463;87;7;46
889;violin;173;;0.6184971098265896;0.9907407407407407;0.6184971098265896;0.7615658362989324;107;1;66
779;school_bus;136;;0.6176470588235294;0.9882352941176471;0.6176470588235294;0.7601809954751131;84;1;52
235;German_shepherd;130;;0.6230769230769231;0.9529411764705882;0.6230769230769231;0.7534883720930232;81;4;49
437;beacon;215;;0.6046511627906976;0.9923664122137404;0.6046511627906976;0.7514450867052023;130;1;85
79;centipede;110;;0.6181818181818182;0.9577464788732394;0.6181818181818182;0.7513812154696132;68;3;42
11;goldfinch;178;;0.601123595505618;1.0;0.601123595505618;0.7508771929824561;107;0;71
289;snow_leopard;128;;0.703125;0.8035714285714286;0.703125;0.75;90;22;38
207;golden_retriever;139;;0.6330935251798561;0.9166666666666666;0.6330935251798561;0.7489361702127659;88;8;51
251;dalmatian;215;;0.7581395348837209;0.7375565610859729;0.7581395348837209;0.7477064220183487;163;58;52
340;zebra;185;;0.7513513513513513;0.7393617021276596;0.7513513513513513;0.7453083109919572;139;49;46
555;fire_engine;110;;0.6272727272727273;0.9078947368421053;0.6272727272727273;0.7419354838709677;69;7;41
195;Boston_bull;265;;0.6226415094339622;0.9116022099447514;0.6226415094339622;0.7399103139013453;165;16;100
148;killer_whale;207;;0.6038647342995169;0.9541984732824428;0.6038647342995169;0.7396449704142012;125;6;82
281;tabby;153;;0.6274509803921569;0.897196261682243;0.6274509803921569;0.7384615384615385;96;11;57
948;Granny_Smith;106;;0.6509433962264151;0.8518518518518519;0.6509433962264151;0.7379679144385026;69;12;37
39;common_iguana;74;;0.6216216216216216;0.9019607843137255;0.6216216216216216;0.736;46;5;28
259;Pomeranian;91;;0.5824175824175825;0.9814814814814815;0.5824175824175825;0.7310344827586207;53;1;38
932;pretzel;113;;0.5929203539823009;0.9436619718309859;0.5929203539823009;0.7282608695652174;67;4;46
981;ballplayer;170;;0.5823529411764706;0.9705882352941176;0.5823529411764706;0.7279411764705883;99;3;71
957;pomegranate;117;;0.5897435897435898;0.9452054794520548;0.5897435897435898;0.7263157894736842;69;4;48
144;pelican;139;;0.5827338129496403;0.9529411764705882;0.5827338129496403;0.7232142857142857;81;4;58
232;Border_collie;95;;0.6736842105263158;0.7804878048780488;0.6736842105263158;0.7231638418079096;64;18;31
161;basset;151;;0.6423841059602649;0.8083333333333333;0.6423841059602649;0.7158671586715867;97;23;54
425;barn;78;;0.6025641025641025;0.8703703703703703;0.6025641025641025;0.712121212121212;47;7;31
953;pineapple;201;;0.5870646766169154;0.9007633587786259;0.5870646766169154;0.7108433734939759;118;13;83
260;chow;56;;0.5535714285714286;0.96875;0.5535714285714286;0.7045454545454546;31;1;25
292;tiger;228;;0.6403508771929824;0.7807486631016043;0.6403508771929824;0.7036144578313254;146;41;82
428;barrow;103;;0.5533980582524272;0.95;0.5533980582524272;0.6993865030674846;57;3;46
866;tractor;193;;0.5595854922279793;0.9310344827586207;0.5595854922279793;0.6990291262135921;108;8;85
448;birdhouse;130;;0.6461538461538462;0.7241379310344828;0.6461538461538462;0.6829268292682927;84;32;46
13;junco;56;;0.5178571428571429;1.0;0.5178571428571429;0.6823529411764707;29;0;27
2;great_white_shark;207;;0.5603864734299517;0.8656716417910447;0.5603864734299517;0.6803519061583577;116;18;91
954;banana;246;;0.5528455284552846;0.8831168831168831;0.5528455284552846;0.68;136;18;110
203;West_Highland_white_terrier;74;;0.5405405405405406;0.9090909090909091;0.5405405405405406;0.6779661016949153;40;4;34
546;electric_guitar;150;;0.5333333333333333;0.9302325581395349;0.5333333333333333;0.6779661016949152;80;6;70
145;king_penguin;82;;0.6951219512195121;0.6551724137931034;0.6951219512195121;0.6745562130177514;57;30;25
71;scorpion;216;;0.5925925925925926;0.7757575757575758;0.5925925925925926;0.6719160104986875;128;37;88
254;pug;313;;0.5271565495207667;0.9217877094972067;0.5271565495207667;0.6707317073170732;165;14;148
362;badger;125;;0.592;0.7628865979381443;0.592;0.6666666666666666;74;23;51
315;mantis;250;;0.512;0.9481481481481482;0.512;0.6649350649350649;128;7;122
187;Yorkshire_terrier;89;;0.5168539325842697;0.9019607843137255;0.5168539325842697;0.6571428571428573;46;5;43
245;French_bulldog;172;;0.7267441860465116;0.5952380952380952;0.7267441860465116;0.6544502617801046;125;85;47
933;cheeseburger;285;;0.48771929824561405;0.9928571428571429;0.48771929824561405;0.6541176470588236;139;1;146
936;head_cabbage;83;;0.4939759036144578;0.9534883720930233;0.4939759036144578;0.6507936507936507;41;2;42
717;pickup;137;;0.48905109489051096;0.9571428571428572;0.48905109489051096;0.6473429951690821;67;3;70
951;lemon;176;;0.4943181818181818;0.9354838709677419;0.4943181818181818;0.6468401486988847;87;6;89
151;Chihuahua;155;;0.5225806451612903;0.84375;0.5225806451612903;0.6454183266932272;81;15;74
22;bald_eagle;235;;0.4723404255319149;0.9823008849557522;0.4723404255319149;0.6379310344827586;111;2;124
367;chimpanzee;223;;0.5201793721973094;0.8226950354609929;0.5201793721973094;0.6373626373626372;116;25;107
596;hatchet;98;;0.5612244897959183;0.7333333333333333;0.5612244897959183;0.6358381502890174;55;20;43
847;tank;248;;0.4798387096774194;0.9296875;0.4798387096774194;0.6329787234042553;119;9;129
155;Shih-Tzu;72;;0.4722222222222222;0.9444444444444444;0.4722222222222222;0.6296296296296297;34;2;38
701;parachute;123;;0.5772357723577236;0.6893203883495146;0.5772357723577236;0.6283185840707964;71;32;52
365;orangutan;134;;0.4701492537313433;0.9402985074626866;0.4701492537313433;0.626865671641791;63;4;71
314;cockroach;97;;0.5051546391752577;0.8166666666666667;0.5051546391752577;0.6242038216560509;49;11;48
94;hummingbird;346;;0.4508670520231214;0.9873417721518988;0.4508670520231214;0.6190476190476191;156;2;190
208;Labrador_retriever;74;;0.527027027027027;0.75;0.527027027027027;0.619047619047619;39;13;35
47;African_chameleon;176;;0.48863636363636365;0.8349514563106796;0.48863636363636365;0.6164874551971327;86;17;90
335;fox_squirrel;64;;0.5;0.8;0.5;0.6153846153846154;32;8;32
234;Rottweiler;108;;0.4722222222222222;0.8793103448275862;0.4722222222222222;0.6144578313253012;51;7;57
928;ice_cream;245;;0.46530612244897956;0.890625;0.46530612244897956;0.6112600536193029;114;14;131
99;goose;123;;0.5040650406504065;0.775;0.5040650406504065;0.6108374384236452;62;18;61
776;sax;258;;0.4418604651162791;0.9743589743589743;0.4418604651162791;0.6080000000000001;114;3;144
163;bloodhound;53;;0.6792452830188679;0.5454545454545454;0.6792452830188679;0.6050420168067228;36;30;17
