class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
323;monarch;152;;0.8421052631578947;0.9922480620155039;0.8421052631578947;0.9110320284697508;128;1;24
805;soccer_ball;190;;0.8421052631578947;0.9523809523809523;0.8421052631578947;0.8938547486033519;160;8;30
945;bell_pepper;136;;0.7941176470588235;0.9818181818181818;0.7941176470588235;0.8780487804878049;108;2;28
96;toucan;352;;0.7954545454545454;0.9655172413793104;0.7954545454545454;0.8722741433021807;280;10;72
820;steam_locomotive;231;;0.7662337662337663;1.0;0.7662337662337663;0.8676470588235293;177;0;54
178;Weimaraner;76;;0.7894736842105263;0.9375;0.7894736842105263;0.8571428571428572;60;4;16
413;assault_rifle;93;;0.7741935483870968;0.96;0.7741935483870968;0.8571428571428571;72;3;21
780;schooner;92;;0.8804347826086957;0.8350515463917526;0.8804347826086957;0.8571428571428571;81;16;11
90;lorikeet;127;;0.7559055118110236;0.9504950495049505;0.7559055118110236;0.8421052631578947;96;5;31
613;joystick;86;;0.8255813953488372;0.8554216867469879;0.8255813953488372;0.8402366863905325;71;12;15
621;lawn_mower;79;;0.7848101265822784;0.8985507246376812;0.7848101265822784;0.8378378378378378;62;7;17
889;violin;173;;0.7167630057803468;0.992;0.7167630057803468;0.8322147651006712;124;1;49
31;tree_frog;200;;0.74;0.9487179487179487;0.74;0.8314606741573033;148;8;52
583;guillotine;71;;0.7464788732394366;0.9298245614035088;0.7464788732394366;0.8281249999999999;53;4;18
401;accordion;132;;0.7272727272727273;0.96;0.7272727272727273;0.8275862068965517;96;4;36
207;golden_retriever;139;;0.7194244604316546;0.9523809523809523;0.7194244604316546;0.8196721311475409;100;5;39
340;zebra;185;;0.7081081081081081;0.9703703703703703;0.7081081081081081;0.8187500000000001;131;4;54
812;space_shuttle;230;;0.7521739130434782;0.8963730569948186;0.7521739130434782;0.8179669030732861;173;20;57
132;American_egret;82;;0.7073170731707317;0.9666666666666667;0.7073170731707317;0.8169014084507042;58;2;24
235;German_shepherd;130;;0.7307692307692307;0.8962264150943396;0.7307692307692307;0.8050847457627118;95;11;35
875;trombone;97;;0.6804123711340206;0.9850746268656716;0.6804123711340206;0.8048780487804879;66;1;31
327;starfish;166;;0.8072289156626506;0.7976190476190477;0.8072289156626506;0.8023952095808383;134;34;32
299;meerkat;173;;0.7225433526011561;0.8865248226950354;0.7225433526011561;0.7961783439490445;125;16;48
11;goldfinch;178;;0.6741573033707865;0.967741935483871;0.6741573033707865;0.794701986754967;120;4;58
594;harp;133;;0.6691729323308271;0.978021978021978;0.6691729323308271;0.7946428571428572;89;2;44
579;grand_piano;94;;0.6702127659574468;0.9692307692307692;0.6702127659574468;0.7924528301886793;63;2;31
763;revolver;204;;0.6568627450980392;0.9781021897810219;0.6568627450980392;0.7859237536656892;134;3;70
39;common_iguana;74;;0.6621621621621622;0.9607843137254902;0.6621621621621622;0.784;49;2;25
289;snow_leopard;128;;0.765625;0.8032786885245902;0.765625;0.784;98;24;30
148;killer_whale;207;;0.6521739130434783;0.9782608695652174;0.6521739130434783;0.7826086956521738;135;3;72
953;pineapple;201;;0.6467661691542289;0.9558823529411765;0.6467661691542289;0.7715133531157271;130;6;71
145;king_penguin;82;;0.6585365853658537;0.9310344827586207;0.6585365853658537;0.7714285714285715;54;4;28
437;beacon;215;;0.627906976744186;0.9854014598540146;0.627906976744186;0.7670454545454545;135;2;80
251;dalmatian;215;;0.6837209302325581;0.8596491228070176;0.6837209302325581;0.7616580310880827;147;24;68
195;Boston_bull;265;;0.6415094339622641;0.9289617486338798;0.6415094339622641;0.7589285714285714;170;13;95
242;boxer;83;;0.6626506024096386;0.8870967741935484;0.6626506024096386;0.7586206896551725;55;7;28
895;warplane;160;;0.61875;0.9801980198019802;0.61875;0.7586206896551724;99;2;61
79;centipede;110;;0.6272727272727273;0.9583333333333334;0.6272727272727273;0.7582417582417583;69;3;41
555;fire_engine;110;;0.6363636363636364;0.9333333333333333;0.6363636363636364;0.7567567567567568;70;5;40
957;pomegranate;117;;0.6324786324786325;0.9367088607594937;0.6324786324786325;0.7551020408163264;74;5;43
779;school_bus;136;;0.6102941176470589;0.9880952380952381;0.6102941176470589;0.7545454545454546;83;1;53
932;pretzel;113;;0.6283185840707964;0.9342105263157895;0.6283185840707964;0.7513227513227513;71;5;42
292;tiger;228;;0.6228070175438597;0.9403973509933775;0.6228070175438597;0.74934036939314;142;9;86
948;Granny_Smith;106;;0.6509433962264151;0.8625;0.6509433962264151;0.7419354838709677;69;11;37
13;junco;56;;0.5892857142857143;1.0;0.5892857142857143;0.7415730337078651;33;0;23
428;barrow;103;;0.6213592233009708;0.9142857142857143;0.6213592233009708;0.7398843930635837;64;6;39
187;Yorkshire_terrier;89;;0.6179775280898876;0.9166666666666666;0.6179775280898876;0.7382550335570469;55;5;34
144;pelican;139;;0.60431654676259;0.9438202247191011;0.60431654676259;0.7368421052631581;84;5;55
161;basset;151;;0.695364238410596;0.7835820895522388;0.695364238410596;0.736842105263158;105;29;46
407;ambulance;98;;0.5918367346938775;0.9666666666666667;0.5918367346938775;0.7341772151898733;58;2;40
260;chow;56;;0.5892857142857143;0.9428571428571428;0.5892857142857143;0.7252747252747254;33;2;23
315;mantis;250;;0.576;0.972972972972973;0.576;0.7236180904522614;144;4;106
954;banana;246;;0.5772357723577236;0.9659863945578231;0.5772357723577236;0.7226463104325699;142;5;104
425;barn;78;;0.5769230769230769;0.9574468085106383;0.5769230769230769;0.7200000000000001;45;2;33
281;tabby;153;;0.6209150326797386;0.8558558558558559;0.6209150326797386;0.7196969696969697;95;16;58
203;West_Highland_white_terrier;74;;0.6216216216216216;0.8518518518518519;0.6216216216216216;0.7187499999999999;46;8;28
254;pug;313;;0.5718849840255591;0.9521276595744681;0.5718849840255591;0.7145708582834331;179;9;134
936;head_cabbage;83;;0.5542168674698795;1.0;0.5542168674698795;0.7131782945736435;46;0;37
933;cheeseburger;285;;0.5578947368421052;0.9814814814814815;0.5578947368421052;0.7114093959731543;159;3;126
448;birdhouse;130;;0.6538461538461539;0.7798165137614679;0.6538461538461539;0.7112970711297072;85;24;45
546;electric_guitar;150;;0.5666666666666667;0.9550561797752809;0.5666666666666667;0.7112970711297071;85;4;65
2;great_white_shark;207;;0.5990338164251208;0.8732394366197183;0.5990338164251208;0.7106017191977078;124;18;83
232;Border_collie;95;;0.6421052631578947;0.7721518987341772;0.6421052631578947;0.7011494252873564;61;18;34
717;pickup;137;;0.5474452554744526;0.974025974025974;0.5474452554744526;0.7009345794392522;75;2;62
245;French_bulldog;172;;0.6802325581395349;0.7222222222222222;0.6802325581395349;0.7005988023952096;117;45;55
199;Scotch_terrier;104;;0.5480769230769231;0.9661016949152542;0.5480769230769231;0.6993865030674847;57;2;47
314;cockroach;97;;0.5876288659793815;0.8636363636363636;0.5876288659793815;0.6993865030674846;57;9;40
259;Pomeranian;91;;0.5494505494505495;0.9615384615384616;0.5494505494505495;0.6993006993006995;50;2;41
22;bald_eagle;235;;0.5319148936170213;1.0;0.5319148936170213;0.6944444444444444;125;0;110
981;ballplayer;170;;0.5294117647058824;0.989010989010989;0.5294117647058824;0.6896551724137931;90;1;80
163;bloodhound;53;;0.6981132075471698;0.6727272727272727;0.6981132075471698;0.6851851851851852;37;18;16
47;African_chameleon;176;;0.5568181818181818;0.8828828828828829;0.5568181818181818;0.6829268292682926;98;13;78
