class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
388;giant_panda;51;;0.9411764705882353;0.9230769230769231;0.9411764705882353;0.9320388349514563;48;4;3
933;cheeseburger;50;;0.92;0.9387755102040817;0.92;0.9292929292929293;46;3;4
560;football_helmet;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
770;running_shoe;51;;0.9019607843137255;0.9387755102040817;0.9019607843137255;0.92;46;3;5
354;Arabian_camel;51;;0.8431372549019608;0.9772727272727273;0.8431372549019608;0.9052631578947369;43;1;8
953;pineapple;50;;0.88;0.9166666666666666;0.88;0.8979591836734694;44;4;6
340;zebra;51;;0.9411764705882353;0.8275862068965517;0.9411764705882353;0.8807339449541284;48;10;3
815;spider_web;51;;0.9607843137254902;0.765625;0.9607843137254902;0.8521739130434782;49;15;2
668;mosque;51;;0.8627450980392157;0.8301886792452831;0.8627450980392157;0.8461538461538461;44;9;7
808;sombrero;51;;0.7254901960784313;1.0;0.7254901960784313;0.8409090909090908;37;0;14
918;crossword_puzzle;51;;0.9019607843137255;0.7419354838709677;0.9019607843137255;0.8141592920353982;46;16;5
607;jack-o'-lantern;51;;0.9803921568627451;0.6944444444444444;0.9803921568627451;0.8130081300813009;50;22;1
878;typewriter_keyboard;51;;0.8627450980392157;0.7457627118644068;0.8627450980392157;0.8;44;15;7
339;sorrel;51;;0.8823529411764706;0.7258064516129032;0.8823529411764706;0.7964601769911503;45;17;6
335;fox_squirrel;51;;0.9411764705882353;0.6857142857142857;0.9411764705882353;0.7933884297520661;48;22;3
327;starfish;51;;0.8627450980392157;0.7333333333333333;0.8627450980392157;0.7927927927927927;44;16;7
687;organ;51;;0.7843137254901961;0.8;0.7843137254901961;0.792079207920792;40;10;11
861;toilet_seat;51;;0.9215686274509803;0.6911764705882353;0.9215686274509803;0.7899159663865546;47;21;4
611;jigsaw_puzzle;51;;0.9215686274509803;0.6911764705882353;0.9215686274509803;0.7899159663865546;47;21;4
688;oscilloscope;50;;0.72;0.8571428571428571;0.72;0.782608695652174;36;6;14
113;snail;50;;0.86;0.7166666666666667;0.86;0.7818181818181817;43;17;7
863;totem_pole;51;;0.6666666666666666;0.9444444444444444;0.6666666666666666;0.7816091954022987;34;2;17
355;llama;51;;0.803921568627451;0.7592592592592593;0.803921568627451;0.780952380952381;41;13;10
528;dial_telephone;51;;0.9803921568627451;0.6410256410256411;0.9803921568627451;0.7751937984496123;50;28;1
