class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
340;zebra;51;;1.0;1.0;1.0;1.0;51;0;0
866;tractor;51;;1.0;0.9807692307692307;1.0;0.9902912621359222;51;1;0
396;lionfish;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
354;Arabian_camel;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
953;pineapple;50;;1.0;0.9433962264150944;1.0;0.970873786407767;50;3;0
607;jack-o'-lantern;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
945;bell_pepper;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
401;accordion;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
327;starfish;51;;0.9803921568627451;0.9259259259259259;0.9803921568627451;0.9523809523809523;50;4;1
560;football_helmet;51;;0.9803921568627451;0.9259259259259259;0.9803921568627451;0.9523809523809523;50;4;1
576;gondola;51;;0.9411764705882353;0.96;0.9411764705882353;0.9504950495049505;48;2;3
661;Model_T;51;;0.9215686274509803;0.9591836734693877;0.9215686274509803;0.9400000000000001;47;2;4
528;dial_telephone;51;;1.0;0.8793103448275862;1.0;0.9357798165137614;51;7;0
873;triumphal_arch;51;;1.0;0.8793103448275862;1.0;0.9357798165137614;51;7;0
941;acorn_squash;51;;0.9019607843137255;0.9583333333333334;0.9019607843137255;0.9292929292929293;46;2;5
355;llama;51;;0.8627450980392157;1.0;0.8627450980392157;0.9263157894736842;44;0;7
566;French_horn;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
79;centipede;51;;0.9019607843137255;0.9387755102040817;0.9019607843137255;0.92;46;3;5
863;totem_pole;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
933;cheeseburger;50;;0.88;0.9565217391304348;0.88;0.9166666666666666;44;2;6
398;abacus;51;;0.9607843137254902;0.875;0.9607843137254902;0.9158878504672897;49;7;2
703;park_bench;51;;0.8431372549019608;1.0;0.8431372549019608;0.9148936170212766;43;0;8
786;sewing_machine;50;;0.96;0.8727272727272727;0.96;0.9142857142857144;48;7;2
855;thimble;50;;0.94;0.8867924528301887;0.94;0.912621359223301;47;6;3
466;bullet_train;51;;0.9215686274509803;0.9038461538461539;0.9215686274509803;0.9126213592233009;47;5;4
457;bow_tie;51;;0.9607843137254902;0.8596491228070176;0.9607843137254902;0.9074074074074074;49;8;2
753;radiator;51;;0.8627450980392157;0.9565217391304348;0.8627450980392157;0.9072164948453608;44;2;7
802;snowmobile;51;;0.8627450980392157;0.9565217391304348;0.8627450980392157;0.9072164948453608;44;2;7
243;bull_mastiff;51;;0.9019607843137255;0.9019607843137255;0.9019607843137255;0.9019607843137255;46;5;5
879;umbrella;50;;0.9;0.9;0.9;0.9;45;5;5
918;crossword_puzzle;51;;0.9607843137254902;0.8448275862068966;0.9607843137254902;0.8990825688073395;49;9;2
732;Polaroid_camera;51;;0.8627450980392157;0.9361702127659575;0.8627450980392157;0.8979591836734694;44;3;7
564;four-poster;51;;0.8431372549019608;0.9555555555555556;0.8431372549019608;0.8958333333333333;43;2;8
594;harp;51;;0.9019607843137255;0.8846153846153846;0.9019607843137255;0.8932038834951457;46;6;5
626;lighter;51;;0.9019607843137255;0.8846153846153846;0.9019607843137255;0.8932038834951457;46;6;5
363;armadillo;51;;0.8823529411764706;0.9;0.8823529411764706;0.8910891089108911;45;5;6
451;bolo_tie;50;;0.96;0.8275862068965517;0.96;0.888888888888889;48;10;2
823;stethoscope;51;;0.9215686274509803;0.8545454545454545;0.9215686274509803;0.8867924528301887;47;8;4
540;drilling_platform;51;;0.8431372549019608;0.9347826086956522;0.8431372549019608;0.8865979381443299;43;3;8
388;giant_panda;51;;0.8431372549019608;0.9347826086956522;0.8431372549019608;0.8865979381443299;43;3;8
291;lion;51;;0.9019607843137255;0.8679245283018868;0.9019607843137255;0.8846153846153846;46;7;5
579;grand_piano;51;;0.9019607843137255;0.8679245283018868;0.9019607843137255;0.8846153846153846;46;7;5
561;forklift;51;;0.9019607843137255;0.8679245283018868;0.9019607843137255;0.8846153846153846;46;7;5
313;walking_stick;51;;0.8235294117647058;0.9545454545454546;0.8235294117647058;0.8842105263157896;42;2;9
805;soccer_ball;50;;0.98;0.8032786885245902;0.98;0.882882882882883;49;12;1
770;running_shoe;51;;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;45;6;6
514;cowboy_boot;50;;0.96;0.8135593220338984;0.96;0.8807339449541285;48;11;2
687;organ;51;;0.8627450980392157;0.8979591836734694;0.8627450980392157;0.8799999999999999;44;5;7
649;megalith;51;;0.8627450980392157;0.8979591836734694;0.8627450980392157;0.8799999999999999;44;5;7
629;lipstick;51;;0.7843137254901961;1.0;0.7843137254901961;0.8791208791208792;40;0;11
145;king_penguin;51;;0.9215686274509803;0.8392857142857143;0.9215686274509803;0.8785046728971961;47;9;4
447;binoculars;51;;0.9215686274509803;0.8392857142857143;0.9215686274509803;0.8785046728971961;47;9;4
573;go-kart;51;;0.8431372549019608;0.9148936170212766;0.8431372549019608;0.8775510204081632;43;4;8
875;trombone;51;;0.8431372549019608;0.9148936170212766;0.8431372549019608;0.8775510204081632;43;4;8
861;toilet_seat;51;;0.9803921568627451;0.7936507936507936;0.9803921568627451;0.8771929824561403;50;13;1
613;joystick;50;;0.9;0.8490566037735849;0.9;0.8737864077669903;45;8;5
944;artichoke;51;;0.9411764705882353;0.8135593220338984;0.9411764705882353;0.8727272727272728;48;11;3
796;ski_mask;51;;0.803921568627451;0.9534883720930233;0.803921568627451;0.8723404255319148;41;2;10
518;crash_helmet;51;;0.803921568627451;0.9534883720930233;0.803921568627451;0.8723404255319148;41;2;10
826;stopwatch;51;;0.8627450980392157;0.88;0.8627450980392157;0.8712871287128714;44;6;7
719;piggy_bank;50;;0.94;0.8103448275862069;0.94;0.8703703703703703;47;11;3
515;cowboy_hat;51;;0.9215686274509803;0.8245614035087719;0.9215686274509803;0.8703703703703703;47;10;4
723;pinwheel;51;;0.8431372549019608;0.8958333333333334;0.8431372549019608;0.8686868686868686;43;5;8
335;fox_squirrel;51;;0.9607843137254902;0.7903225806451613;0.9607843137254902;0.8672566371681416;49;13;2
831;studio_couch;51;;0.9607843137254902;0.7903225806451613;0.9607843137254902;0.8672566371681416;49;13;2
897;washer;51;;0.7647058823529411;1.0;0.7647058823529411;0.8666666666666666;39;0;12
104;wallaby;51;;0.7647058823529411;1.0;0.7647058823529411;0.8666666666666666;39;0;12
43;frilled_lizard;51;;0.8235294117647058;0.9130434782608695;0.8235294117647058;0.865979381443299;42;4;9
