class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
340;zebra;51;;1.0;0.9622641509433962;1.0;0.9807692307692307;51;2;0
396;lionfish;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
953;pineapple;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
354;Arabian_camel;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
327;starfish;51;;0.9803921568627451;0.9615384615384616;0.9803921568627451;0.970873786407767;50;2;1
560;football_helmet;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
398;abacus;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
451;bolo_tie;50;;0.94;0.9791666666666666;0.94;0.9591836734693877;47;1;3
866;tractor;51;;1.0;0.9107142857142857;1.0;0.9532710280373832;51;5;0
335;fox_squirrel;51;;0.9607843137254902;0.9074074074074074;0.9607843137254902;0.9333333333333333;49;5;2
802;snowmobile;51;;0.8627450980392157;1.0;0.8627450980392157;0.9263157894736842;44;0;7
607;jack-o'-lantern;51;;0.9803921568627451;0.8771929824561403;0.9803921568627451;0.9259259259259259;50;7;1
566;French_horn;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
805;soccer_ball;50;;0.96;0.8888888888888888;0.96;0.923076923076923;48;6;2
576;gondola;51;;0.9019607843137255;0.9387755102040817;0.9019607843137255;0.92;46;3;5
291;lion;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
661;Model_T;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
79;centipede;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
401;accordion;51;;0.9803921568627451;0.8620689655172413;0.9803921568627451;0.9174311926605505;50;8;1
564;four-poster;51;;0.8431372549019608;1.0;0.8431372549019608;0.9148936170212766;43;0;8
388;giant_panda;51;;0.8431372549019608;1.0;0.8431372549019608;0.9148936170212766;43;0;8
770;running_shoe;51;;0.8823529411764706;0.9375;0.8823529411764706;0.9090909090909091;45;3;6
918;crossword_puzzle;51;;0.9607843137254902;0.8596491228070176;0.9607843137254902;0.9074074074074074;49;8;2
808;sombrero;51;;0.9607843137254902;0.8596491228070176;0.9607843137254902;0.9074074074074074;49;8;2
863;totem_pole;51;;0.8627450980392157;0.9565217391304348;0.8627450980392157;0.9072164948453608;44;2;7
