class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
354;Arabian_camel;51;;1.0;1.0;1.0;1.0;51;0;0
145;king_penguin;51;;1.0;0.9622641509433962;1.0;0.9807692307692307;51;2;0
401;accordion;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
918;crossword_puzzle;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
559;folding_chair;50;;1.0;0.9615384615384616;1.0;0.9803921568627451;50;2;0
398;abacus;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
396;lionfish;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
842;swimming_trunks;51;;1.0;0.9444444444444444;1.0;0.9714285714285714;51;3;0
340;zebra;51;;1.0;0.9444444444444444;1.0;0.9714285714285714;51;3;0
451;bolo_tie;50;;1.0;0.9433962264150944;1.0;0.970873786407767;50;3;0
770;running_shoe;51;;0.9803921568627451;0.9615384615384616;0.9803921568627451;0.970873786407767;50;2;1
344;hippopotamus;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
515;cowboy_hat;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
953;pineapple;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
957;pomegranate;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
397;puffer;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
355;llama;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
607;jack-o'-lantern;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
528;dial_telephone;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
866;tractor;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
872;tripod;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
778;scale;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
850;teddy;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
79;centipede;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
879;umbrella;50;;0.98;0.9423076923076923;0.98;0.9607843137254902;49;3;1
714;pick;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
470;candle;50;;0.96;0.96;0.96;0.96;48;2;2
890;volleyball;51;;0.9411764705882353;0.9795918367346939;0.9411764705882353;0.96;48;1;3
388;giant_panda;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
945;bell_pepper;51;;1.0;0.9107142857142857;1.0;0.9532710280373832;51;5;0
560;football_helmet;51;;0.9803921568627451;0.9259259259259259;0.9803921568627451;0.9523809523809523;50;4;1
753;radiator;51;;0.9607843137254902;0.9423076923076923;0.9607843137254902;0.9514563106796117;49;3;2
768;rugby_ball;50;;0.96;0.9411764705882353;0.96;0.9504950495049505;48;3;2
24;great_grey_owl;51;;0.9411764705882353;0.96;0.9411764705882353;0.9504950495049505;48;2;3
703;park_bench;51;;0.9411764705882353;0.96;0.9411764705882353;0.9504950495049505;48;2;3
802;snowmobile;51;;1.0;0.8947368421052632;1.0;0.9444444444444444;51;6;0
327;starfish;51;;0.9803921568627451;0.9090909090909091;0.9803921568627451;0.9433962264150944;50;5;1
805;soccer_ball;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
130;flamingo;51;;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353;48;3;3
96;toucan;50;;0.94;0.94;0.94;0.94;47;3;3
339;sorrel;51;;0.9019607843137255;0.9787234042553191;0.9019607843137255;0.9387755102040817;46;1;5
315;mantis;51;;0.9019607843137255;0.9787234042553191;0.9019607843137255;0.9387755102040817;46;1;5
891;waffle_iron;51;;0.9019607843137255;0.9787234042553191;0.9019607843137255;0.9387755102040817;46;1;5
933;cheeseburger;50;;0.92;0.9583333333333334;0.92;0.9387755102040817;46;2;4
944;artichoke;51;;0.9803921568627451;0.8928571428571429;0.9803921568627451;0.9345794392523364;50;6;1
606;iron;51;;0.9607843137254902;0.9074074074074074;0.9607843137254902;0.9333333333333333;49;5;2
719;piggy_bank;50;;0.98;0.8909090909090909;0.98;0.9333333333333333;49;6;1
514;cowboy_boot;50;;0.98;0.8909090909090909;0.98;0.9333333333333333;49;6;1
845;syringe;51;;0.9607843137254902;0.9074074074074074;0.9607843137254902;0.9333333333333333;49;5;2
347;bison;51;;0.9411764705882353;0.9230769230769231;0.9411764705882353;0.9320388349514563;48;4;3
403;aircraft_carrier;51;;0.9411764705882353;0.9230769230769231;0.9411764705882353;0.9320388349514563;48;4;3
630;Loafer;51;;0.9411764705882353;0.9230769230769231;0.9411764705882353;0.9320388349514563;48;4;3
863;totem_pole;51;;0.9215686274509803;0.94;0.9215686274509803;0.9306930693069307;47;3;4
574;golf_ball;51;;0.9019607843137255;0.9583333333333334;0.9019607843137255;0.9292929292929293;46;2;5
874;trolleybus;51;;0.9019607843137255;0.9583333333333334;0.9019607843137255;0.9292929292929293;46;2;5
573;go-kart;51;;0.9019607843137255;0.9583333333333334;0.9019607843137255;0.9292929292929293;46;2;5
621;lawn_mower;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
723;pinwheel;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
104;wallaby;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
430;basketball;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
518;crash_helmet;51;;1.0;0.864406779661017;1.0;0.9272727272727274;51;8;0
873;triumphal_arch;51;;0.9803921568627451;0.8771929824561403;0.9803921568627451;0.9259259259259259;50;7;1
626;lighter;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
617;lab_coat;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
594;harp;51;;0.9411764705882353;0.9056603773584906;0.9411764705882353;0.923076923076923;48;5;3
