rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;dinov1_s__knn;DINOv1-S-KNN;0.2061152704906758;0.3406040598164633;0.0;0;0;0;0.0
2;dinov2_s__knn;DINOv2-S-KNN;0.40590304387981685;0.630037925681385;0.0;0;0;0;0.0
3;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.39706026842736153;0.6258916465247892;0.0;0;0;0;0.0
4;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.4463636542278292;0.6889504608068542;0.0;0;0;0;0.0
5;dinov3_s__knn;DINOv3-S-KNN;0.4146868674959225;0.653520407160683;0.0;0;0;0;0.0
6;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.37786162038947513;0.5201713533376565;0.0;0;0;0;0.0
7;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.37756686120772665;0.5750358623671127;0.0;0;0;0;0.0
8;swin_s__knn;Swin-S-KNN;0.3188704828155397;0.44933089665743087;0.0;0;0;0;0.0
9;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.3865668415571145;0.559944192261589;0.0;0;0;0;0.0
10;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.4159052054471497;0.6454440055807739;0.0;0;0;0;0.0
