class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
354;Arabian_camel;51;;1.0;1.0;1.0;1.0;51;0;0
401;accordion;51;;0.9803921568627451;1.0;0.9803921568627451;0.99009900990099;50;0;1
396;lionfish;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
872;tripod;51;;1.0;0.9444444444444444;1.0;0.9714285714285714;51;3;0
604;hourglass;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
340;zebra;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
594;harp;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
79;centipede;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
327;starfish;51;;0.9607843137254902;0.9423076923076923;0.9607843137254902;0.9514563106796117;49;3;2
573;go-kart;51;;0.9019607843137255;1.0;0.9019607843137255;0.9484536082474228;46;0;5
732;Polaroid_camera;51;;0.9019607843137255;1.0;0.9019607843137255;0.9484536082474228;46;0;5
607;jack-o'-lantern;51;;0.9607843137254902;0.9245283018867925;0.9607843137254902;0.9423076923076923;49;4;2
815;spider_web;51;;0.9803921568627451;0.8928571428571429;0.9803921568627451;0.9345794392523364;50;6;1
457;bow_tie;51;;0.9803921568627451;0.8928571428571429;0.9803921568627451;0.9345794392523364;50;6;1
866;tractor;51;;0.9411764705882353;0.9230769230769231;0.9411764705882353;0.9320388349514563;48;4;3
144;pelican;51;;0.9019607843137255;0.9583333333333334;0.9019607843137255;0.9292929292929293;46;2;5
447;binoculars;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
723;pinwheel;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
363;armadillo;51;;0.8627450980392157;1.0;0.8627450980392157;0.9263157894736842;44;0;7
559;folding_chair;50;;0.98;0.875;0.98;0.9245283018867924;49;7;1
43;frilled_lizard;51;;0.9411764705882353;0.9056603773584906;0.9411764705882353;0.923076923076923;48;5;3
130;flamingo;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
953;pineapple;50;;1.0;0.847457627118644;1.0;0.9174311926605504;50;9;0
286;cougar;51;;0.8627450980392157;0.9777777777777777;0.8627450980392157;0.9166666666666665;44;1;7
335;fox_squirrel;51;;0.8431372549019608;1.0;0.8431372549019608;0.9148936170212766;43;0;8
403;aircraft_carrier;51;;0.9215686274509803;0.9038461538461539;0.9215686274509803;0.9126213592233009;47;5;4
347;bison;51;;0.9019607843137255;0.92;0.9019607843137255;0.9108910891089109;46;4;5
661;Model_T;51;;0.9607843137254902;0.8596491228070176;0.9607843137254902;0.9074074074074074;49;8;2
763;revolver;51;;0.9411764705882353;0.8727272727272727;0.9411764705882353;0.9056603773584905;48;7;3
315;mantis;51;;0.8431372549019608;0.9772727272727273;0.8431372549019608;0.9052631578947369;43;1;8
687;organ;51;;0.8431372549019608;0.9772727272727273;0.8431372549019608;0.9052631578947369;43;1;8
879;umbrella;50;;0.94;0.8703703703703703;0.94;0.9038461538461539;47;7;3
346;water_buffalo;51;;0.9019607843137255;0.9019607843137255;0.9019607843137255;0.9019607843137255;46;5;5
684;ocarina;51;;0.8823529411764706;0.9183673469387755;0.8823529411764706;0.9;45;4;6
466;bullet_train;51;;0.9607843137254902;0.8305084745762712;0.9607843137254902;0.890909090909091;49;10;2
