class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
354;Arabian_camel;51;;1.0;1.0;1.0;1.0;51;0;0
953;pineapple;50;;1.0;1.0;1.0;1.0;50;0;0
396;lionfish;51;;1.0;0.9807692307692307;1.0;0.9902912621359222;51;1;0
560;football_helmet;51;;0.9803921568627451;1.0;0.9803921568627451;0.99009900990099;50;0;1
401;accordion;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
71;scorpion;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
388;giant_panda;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
315;mantis;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
945;bell_pepper;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
355;llama;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
594;harp;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
363;armadillo;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
79;centipede;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
944;artichoke;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
514;cowboy_boot;50;;0.98;0.9423076923076923;0.98;0.9607843137254902;49;3;1
104;wallaby;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
957;pomegranate;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
752;racket;51;;1.0;0.9107142857142857;1.0;0.9532710280373832;51;5;0
815;spider_web;51;;0.9803921568627451;0.9259259259259259;0.9803921568627451;0.9523809523809523;50;4;1
770;running_shoe;51;;0.9803921568627451;0.9259259259259259;0.9803921568627451;0.9523809523809523;50;4;1
398;abacus;51;;0.9607843137254902;0.9423076923076923;0.9607843137254902;0.9514563106796117;49;3;2
456;bow;51;;0.9215686274509803;0.9791666666666666;0.9215686274509803;0.9494949494949494;47;1;4
43;frilled_lizard;51;;0.9019607843137255;1.0;0.9019607843137255;0.9484536082474228;46;0;5
491;chain_saw;51;;0.9019607843137255;1.0;0.9019607843137255;0.9484536082474228;46;0;5
723;pinwheel;51;;0.9019607843137255;1.0;0.9019607843137255;0.9484536082474228;46;0;5
873;triumphal_arch;51;;0.9019607843137255;1.0;0.9019607843137255;0.9484536082474228;46;0;5
786;sewing_machine;50;;0.98;0.9074074074074074;0.98;0.9423076923076924;49;5;1
130;flamingo;51;;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353;48;3;3
732;Polaroid_camera;51;;0.9411764705882353;0.9411764705882353;0.9411764705882353;0.9411764705882353;48;3;3
447;binoculars;51;;0.9215686274509803;0.9591836734693877;0.9215686274509803;0.9400000000000001;47;2;4
878;typewriter_keyboard;51;;0.8823529411764706;1.0;0.8823529411764706;0.9375;45;0;6
291;lion;51;;1.0;0.8793103448275862;1.0;0.9357798165137614;51;7;0
559;folding_chair;50;;0.98;0.8909090909090909;0.98;0.9333333333333333;49;6;1
286;cougar;51;;0.9215686274509803;0.94;0.9215686274509803;0.9306930693069307;47;3;4
573;go-kart;51;;0.9019607843137255;0.9583333333333334;0.9019607843137255;0.9292929292929293;46;2;5
629;lipstick;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
866;tractor;51;;1.0;0.864406779661017;1.0;0.9272727272727274;51;8;0
394;sturgeon;51;;0.8627450980392157;1.0;0.8627450980392157;0.9263157894736842;44;0;7
387;lesser_panda;51;;0.8627450980392157;1.0;0.8627450980392157;0.9263157894736842;44;0;7
872;tripod;51;;0.9803921568627451;0.8771929824561403;0.9803921568627451;0.9259259259259259;50;7;1
338;guinea_pig;50;;0.92;0.92;0.92;0.92;46;4;4
457;bow_tie;51;;1.0;0.85;1.0;0.9189189189189189;51;9;0
720;pill_bottle;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
802;snowmobile;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
