class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
873;triumphal_arch;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
340;zebra;51;;1.0;0.8793103448275862;1.0;0.9357798165137614;51;7;0
594;harp;51;;0.8627450980392157;1.0;0.8627450980392157;0.9263157894736842;44;0;7
354;Arabian_camel;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
579;grand_piano;51;;0.9019607843137255;0.92;0.9019607843137255;0.9108910891089109;46;4;5
855;thimble;50;;0.92;0.8846153846153846;0.92;0.9019607843137256;46;6;4
401;accordion;51;;0.8627450980392157;0.9361702127659575;0.8627450980392157;0.8979591836734694;44;3;7
457;bow_tie;51;;0.9215686274509803;0.8703703703703703;0.9215686274509803;0.8952380952380952;47;7;4
327;starfish;51;;0.9803921568627451;0.819672131147541;0.9803921568627451;0.8928571428571428;50;11;1
620;laptop;51;;0.8627450980392157;0.9166666666666666;0.8627450980392157;0.888888888888889;44;4;7
763;revolver;51;;0.9803921568627451;0.7936507936507936;0.9803921568627451;0.8771929824561403;50;13;1
363;armadillo;51;;0.8235294117647058;0.9333333333333333;0.8235294117647058;0.8749999999999999;42;3;9
145;king_penguin;51;;0.7843137254901961;0.9523809523809523;0.7843137254901961;0.8602150537634408;40;2;11
339;sorrel;51;;0.8431372549019608;0.8775510204081632;0.8431372549019608;0.86;43;6;8
786;sewing_machine;50;;0.92;0.8070175438596491;0.92;0.8598130841121495;46;11;4
815;spider_web;51;;1.0;0.75;1.0;0.8571428571428571;51;17;0
130;flamingo;51;;0.9411764705882353;0.7868852459016393;0.9411764705882353;0.8571428571428571;48;13;3
121;king_crab;51;;0.8627450980392157;0.8461538461538461;0.8627450980392157;0.854368932038835;44;8;7
866;tractor;51;;0.7843137254901961;0.9302325581395349;0.7843137254901961;0.851063829787234;40;3;11
573;go-kart;51;;0.7843137254901961;0.9302325581395349;0.7843137254901961;0.851063829787234;40;3;11
528;dial_telephone;51;;0.9411764705882353;0.7741935483870968;0.9411764705882353;0.8495575221238938;48;14;3
540;drilling_platform;51;;0.8235294117647058;0.875;0.8235294117647058;0.8484848484848485;42;6;9
687;organ;51;;0.7450980392156863;0.95;0.7450980392156863;0.8351648351648352;38;2;13
350;ibex;51;;0.7843137254901961;0.8888888888888888;0.7843137254901961;0.8333333333333334;40;5;11
607;jack-o'-lantern;51;;0.8823529411764706;0.7894736842105263;0.8823529411764706;0.8333333333333333;45;12;6
79;centipede;51;;0.8235294117647058;0.84;0.8235294117647058;0.8316831683168315;42;8;9
933;cheeseburger;50;;0.74;0.9487179487179487;0.74;0.8314606741573033;37;2;13
291;lion;51;;0.8235294117647058;0.8235294117647058;0.8235294117647058;0.8235294117647058;42;9;9
328;sea_urchin;51;;0.7647058823529411;0.8863636363636364;0.7647058823529411;0.8210526315789474;39;5;12
872;tripod;51;;0.9803921568627451;0.704225352112676;0.9803921568627451;0.8196721311475409;50;21;1
514;cowboy_boot;50;;0.8;0.8333333333333334;0.8;0.816326530612245;40;8;10
96;toucan;50;;0.98;0.6901408450704225;0.98;0.8099173553719008;49;22;1
346;water_buffalo;51;;0.9019607843137255;0.7301587301587301;0.9019607843137255;0.8070175438596492;46;17;5
604;hourglass;51;;0.9019607843137255;0.7301587301587301;0.9019607843137255;0.8070175438596492;46;17;5
521;Crock_Pot;51;;0.7843137254901961;0.8163265306122449;0.7843137254901961;0.8;40;9;11
22;bald_eagle;51;;0.8235294117647058;0.7777777777777778;0.8235294117647058;0.7999999999999999;42;12;9
243;bull_mastiff;51;;0.8235294117647058;0.7636363636363637;0.8235294117647058;0.7924528301886793;42;13;9
157;papillon;50;;0.8;0.7843137254901961;0.8;0.792079207920792;40;11;10
347;bison;51;;0.6666666666666666;0.9714285714285714;0.6666666666666666;0.7906976744186046;34;1;17
254;pug;50;;0.94;0.6811594202898551;0.94;0.7899159663865546;47;22;3
466;bullet_train;51;;0.803921568627451;0.7735849056603774;0.803921568627451;0.7884615384615384;41;12;10
770;running_shoe;51;;0.803921568627451;0.7735849056603774;0.803921568627451;0.7884615384615384;41;12;10
396;lionfish;51;;0.9803921568627451;0.6578947368421053;0.9803921568627451;0.7874015748031497;50;26;1
102;echidna;51;;0.7254901960784313;0.8604651162790697;0.7254901960784313;0.7872340425531916;37;6;14
863;totem_pole;51;;0.8627450980392157;0.7213114754098361;0.8627450980392157;0.7857142857142857;44;17;7
465;bulletproof_vest;51;;0.7450980392156863;0.8260869565217391;0.7450980392156863;0.7835051546391751;38;8;13
24;great_grey_owl;51;;0.8431372549019608;0.7288135593220338;0.8431372549019608;0.7818181818181819;43;16;8
593;harmonica;51;;0.803921568627451;0.7592592592592593;0.803921568627451;0.780952380952381;41;13;10
621;lawn_mower;51;;0.7647058823529411;0.7959183673469388;0.7647058823529411;0.7799999999999999;39;10;12
879;umbrella;50;;0.92;0.6764705882352942;0.92;0.7796610169491526;46;22;4
661;Model_T;51;;0.9019607843137255;0.6865671641791045;0.9019607843137255;0.7796610169491525;46;21;5
701;parachute;51;;0.7450980392156863;0.8085106382978723;0.7450980392156863;0.7755102040816325;38;9;13
953;pineapple;50;;0.86;0.7049180327868853;0.86;0.7747747747747747;43;18;7
70;harvestman;51;;0.803921568627451;0.7454545454545455;0.803921568627451;0.7735849056603775;41;14;10
732;Polaroid_camera;51;;0.803921568627451;0.7454545454545455;0.803921568627451;0.7735849056603775;41;14;10
723;pinwheel;51;;0.9215686274509803;0.6619718309859155;0.9215686274509803;0.7704918032786885;47;24;4
672;mountain_tent;51;;0.7843137254901961;0.7547169811320755;0.7843137254901961;0.7692307692307692;40;13;11
148;killer_whale;51;;0.6862745098039216;0.875;0.6862745098039216;0.7692307692307692;35;5;16
315;mantis;51;;0.6862745098039216;0.875;0.6862745098039216;0.7692307692307692;35;5;16
335;fox_squirrel;51;;0.7450980392156863;0.7916666666666666;0.7450980392156863;0.7676767676767677;38;10;13
489;chainlink_fence;51;;0.7450980392156863;0.7916666666666666;0.7450980392156863;0.7676767676767677;38;10;13
682;obelisk;51;;0.7058823529411765;0.8372093023255814;0.7058823529411765;0.7659574468085107;36;7;15
133;bittern;51;;0.7254901960784313;0.8043478260869565;0.7254901960784313;0.7628865979381443;37;9;14
394;sturgeon;51;;0.7450980392156863;0.7755102040816326;0.7450980392156863;0.76;38;11;13
