class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
354;Arabian_camel;51;;1.0;1.0;1.0;1.0;51;0;0
953;pineapple;50;;1.0;1.0;1.0;1.0;50;0;0
251;dalmatian;50;;1.0;1.0;1.0;1.0;50;0;0
344;hippopotamus;51;;1.0;1.0;1.0;1.0;51;0;0
957;pomegranate;51;;1.0;1.0;1.0;1.0;51;0;0
396;lionfish;51;;1.0;0.9807692307692307;1.0;0.9902912621359222;51;1;0
770;running_shoe;51;;0.9803921568627451;1.0;0.9803921568627451;0.99009900990099;50;0;1
890;volleyball;51;;0.9803921568627451;1.0;0.9803921568627451;0.99009900990099;50;0;1
103;platypus;51;;0.9803921568627451;1.0;0.9803921568627451;0.99009900990099;50;0;1
945;bell_pepper;51;;1.0;0.9622641509433962;1.0;0.9807692307692307;51;2;0
150;sea_lion;51;;1.0;0.9622641509433962;1.0;0.9807692307692307;51;2;0
355;llama;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
105;koala;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
420;banjo;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
388;giant_panda;51;;0.9803921568627451;0.9803921568627451;0.9803921568627451;0.9803921568627451;50;1;1
315;mantis;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
387;lesser_panda;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
845;syringe;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
808;sombrero;51;;0.9607843137254902;1.0;0.9607843137254902;0.98;49;0;2
872;tripod;51;;1.0;0.9444444444444444;1.0;0.9714285714285714;51;3;0
340;zebra;51;;1.0;0.9444444444444444;1.0;0.9714285714285714;51;3;0
130;flamingo;51;;1.0;0.9444444444444444;1.0;0.9714285714285714;51;3;0
866;tractor;51;;0.9803921568627451;0.9615384615384616;0.9803921568627451;0.970873786407767;50;2;1
363;armadillo;51;;0.9803921568627451;0.9615384615384616;0.9803921568627451;0.970873786407767;50;2;1
401;accordion;51;;0.9803921568627451;0.9615384615384616;0.9803921568627451;0.970873786407767;50;2;1
397;puffer;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
394;sturgeon;51;;0.9607843137254902;0.98;0.9607843137254902;0.9702970297029702;49;1;2
786;sewing_machine;50;;0.98;0.9607843137254902;0.98;0.9702970297029702;49;2;1
594;harp;51;;0.9411764705882353;1.0;0.9411764705882353;0.9696969696969697;48;0;3
470;candle;50;;0.94;1.0;0.94;0.9690721649484536;47;0;3
650;microphone;51;;1.0;0.9272727272727272;1.0;0.9622641509433962;51;4;0
43;frilled_lizard;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
823;stethoscope;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
574;golf_ball;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
71;scorpion;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
796;ski_mask;51;;0.9803921568627451;0.9433962264150944;0.9803921568627451;0.9615384615384616;50;3;1
120;fiddler_crab;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
339;sorrel;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
630;Loafer;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
145;king_penguin;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
104;wallaby;51;;0.9411764705882353;0.9795918367346939;0.9411764705882353;0.96;48;1;3
148;killer_whale;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
430;basketball;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
897;washer;51;;0.9215686274509803;1.0;0.9215686274509803;0.9591836734693878;47;0;4
611;jigsaw_puzzle;51;;1.0;0.9107142857142857;1.0;0.9532710280373832;51;5;0
