class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
873;triumphal_arch;51;;0.9607843137254902;0.9607843137254902;0.9607843137254902;0.9607843137254902;49;2;2
396;lionfish;51;;0.8823529411764706;0.9574468085106383;0.8823529411764706;0.9183673469387754;45;2;6
872;tripod;51;;0.9607843137254902;0.8596491228070176;0.9607843137254902;0.9074074074074074;49;8;2
528;dial_telephone;51;;0.8627450980392157;0.9565217391304348;0.8627450980392157;0.9072164948453608;44;2;7
579;grand_piano;51;;0.9019607843137255;0.8846153846153846;0.9019607843137255;0.8932038834951457;46;6;5
363;armadillo;51;;0.8823529411764706;0.8823529411764706;0.8823529411764706;0.8823529411764706;45;6;6
243;bull_mastiff;51;;0.8431372549019608;0.9148936170212766;0.8431372549019608;0.8775510204081632;43;4;8
546;electric_guitar;50;;0.84;0.9130434782608695;0.84;0.8749999999999999;42;4;8
293;cheetah;50;;0.82;0.9318181818181818;0.82;0.8723404255319149;41;3;9
687;organ;51;;0.8627450980392157;0.88;0.8627450980392157;0.8712871287128714;44;6;7
157;papillon;50;;0.86;0.86;0.86;0.8599999999999999;43;7;7
855;thimble;50;;0.92;0.8070175438596491;0.92;0.8598130841121495;46;11;4
335;fox_squirrel;51;;0.8235294117647058;0.8936170212765957;0.8235294117647058;0.8571428571428571;42;5;9
607;jack-o'-lantern;51;;0.8823529411764706;0.8333333333333334;0.8823529411764706;0.8571428571428571;45;9;6
286;cougar;51;;0.7647058823529411;0.975;0.7647058823529411;0.857142857142857;39;1;12
340;zebra;51;;0.9411764705882353;0.7741935483870968;0.9411764705882353;0.8495575221238938;48;14;3
861;toilet_seat;51;;0.8627450980392157;0.8301886792452831;0.8627450980392157;0.8461538461538461;44;9;7
354;Arabian_camel;51;;0.7254901960784313;1.0;0.7254901960784313;0.8409090909090908;37;0;14
117;chambered_nautilus;51;;0.9215686274509803;0.7704918032786885;0.9215686274509803;0.8392857142857142;47;14;4
786;sewing_machine;50;;0.76;0.926829268292683;0.76;0.8351648351648352;38;3;12
763;revolver;51;;0.8823529411764706;0.7894736842105263;0.8823529411764706;0.8333333333333333;45;12;6
661;Model_T;51;;0.7647058823529411;0.9069767441860465;0.7647058823529411;0.8297872340425532;39;4;12
514;cowboy_boot;50;;0.92;0.7540983606557377;0.92;0.8288288288288288;46;15;4
866;tractor;51;;0.803921568627451;0.8541666666666666;0.803921568627451;0.8282828282828283;41;7;10
346;water_buffalo;51;;0.803921568627451;0.8541666666666666;0.803921568627451;0.8282828282828283;41;7;10
355;llama;51;;0.7058823529411765;1.0;0.7058823529411765;0.8275862068965517;36;0;15
234;Rottweiler;50;;0.74;0.925;0.74;0.8222222222222222;37;3;13
953;pineapple;50;;0.72;0.9473684210526315;0.72;0.8181818181818181;36;2;14
561;forklift;51;;0.7450980392156863;0.9047619047619048;0.7450980392156863;0.8172043010752689;38;4;13
880;unicycle;51;;0.7647058823529411;0.8666666666666667;0.7647058823529411;0.8125;39;6;12
699;panpipe;51;;0.803921568627451;0.82;0.803921568627451;0.8118811881188118;41;9;10
275;African_hunting_dog;51;;0.7058823529411765;0.9473684210526315;0.7058823529411765;0.8089887640449439;36;2;15
805;soccer_ball;50;;0.76;0.8636363636363636;0.76;0.8085106382978724;38;6;12
401;accordion;51;;0.7843137254901961;0.8333333333333334;0.7843137254901961;0.8080808080808081;40;8;11
19;chickadee;51;;0.8431372549019608;0.7678571428571429;0.8431372549019608;0.8037383177570093;43;13;8
402;acoustic_guitar;51;;0.9215686274509803;0.7121212121212122;0.9215686274509803;0.8034188034188035;47;19;4
604;hourglass;51;;0.9019607843137255;0.71875;0.9019607843137255;0.8;46;18;5
566;French_horn;51;;0.9607843137254902;0.6805555555555556;0.9607843137254902;0.7967479674796749;49;23;2
398;abacus;51;;0.9607843137254902;0.6805555555555556;0.9607843137254902;0.7967479674796749;49;23;2
299;meerkat;50;;0.88;0.7213114754098361;0.88;0.7927927927927928;44;17;6
576;gondola;51;;0.7843137254901961;0.8;0.7843137254901961;0.792079207920792;40;10;11
820;steam_locomotive;51;;0.803921568627451;0.7735849056603774;0.803921568627451;0.7884615384615384;41;12;10
