class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
872;tripod;51;;0.9803921568627451;0.8928571428571429;0.9803921568627451;0.9345794392523364;50;6;1
687;organ;51;;0.8823529411764706;0.9782608695652174;0.8823529411764706;0.9278350515463919;45;1;6
396;lionfish;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
873;triumphal_arch;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
401;accordion;51;;0.9607843137254902;0.8909090909090909;0.9607843137254902;0.9245283018867925;49;6;2
805;soccer_ball;50;;0.9;0.9375;0.9;0.9183673469387755;45;3;5
594;harp;51;;0.9215686274509803;0.9038461538461539;0.9215686274509803;0.9126213592233009;47;5;4
593;harmonica;51;;0.9019607843137255;0.92;0.9019607843137255;0.9108910891089109;46;4;5
863;totem_pole;51;;0.8823529411764706;0.9375;0.8823529411764706;0.9090909090909091;45;3;6
145;king_penguin;51;;0.9019607843137255;0.9019607843137255;0.9019607843137255;0.9019607843137255;46;5;5
521;Crock_Pot;51;;0.8627450980392157;0.9361702127659575;0.8627450980392157;0.8979591836734694;44;3;7
546;electric_guitar;50;;0.84;0.9545454545454546;0.84;0.8936170212765958;42;2;8
327;starfish;51;;0.9803921568627451;0.819672131147541;0.9803921568627451;0.8928571428571428;50;11;1
402;acoustic_guitar;51;;0.9019607843137255;0.8679245283018868;0.9019607843137255;0.8846153846153846;46;7;5
157;papillon;50;;0.84;0.9130434782608695;0.84;0.8749999999999999;42;4;8
346;water_buffalo;51;;0.9411764705882353;0.8135593220338984;0.9411764705882353;0.8727272727272728;48;11;3
740;power_drill;51;;0.8627450980392157;0.88;0.8627450980392157;0.8712871287128714;44;6;7
579;grand_piano;51;;0.9019607843137255;0.8363636363636363;0.9019607843137255;0.8679245283018867;46;9;5
607;jack-o'-lantern;51;;0.9019607843137255;0.8363636363636363;0.9019607843137255;0.8679245283018867;46;9;5
514;cowboy_boot;50;;0.9;0.8333333333333334;0.9;0.8653846153846153;45;9;5
457;bow_tie;51;;0.8627450980392157;0.8627450980392157;0.8627450980392157;0.8627450980392157;44;7;7
661;Model_T;51;;0.9215686274509803;0.8103448275862069;0.9215686274509803;0.8623853211009175;47;11;4
354;Arabian_camel;51;;0.7450980392156863;1.0;0.7450980392156863;0.8539325842696629;38;0;13
315;mantis;51;;0.7843137254901961;0.9302325581395349;0.7843137254901961;0.851063829787234;40;3;11
786;sewing_machine;50;;0.92;0.7796610169491526;0.92;0.8440366972477064;46;13;4
953;pineapple;50;;0.9;0.7894736842105263;0.9;0.8411214953271027;45;12;5
144;pelican;51;;0.9215686274509803;0.7704918032786885;0.9215686274509803;0.8392857142857142;47;14;4
880;unicycle;51;;0.8627450980392157;0.8;0.8627450980392157;0.8301886792452831;44;11;7
948;Granny_Smith;51;;0.7647058823529411;0.9069767441860465;0.7647058823529411;0.8297872340425532;39;4;12
564;four-poster;51;;0.803921568627451;0.8541666666666666;0.803921568627451;0.8282828282828283;41;7;10
339;sorrel;51;;0.7058823529411765;1.0;0.7058823529411765;0.8275862068965517;36;0;15
684;ocarina;51;;0.8823529411764706;0.7758620689655172;0.8823529411764706;0.8256880733944953;45;13;6
