class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
687;organ;51;;0.8627450980392157;0.9777777777777777;0.8627450980392157;0.9166666666666665;44;1;7
873;triumphal_arch;51;;0.9411764705882353;0.8727272727272727;0.9411764705882353;0.9056603773584905;48;7;3
398;abacus;51;;0.8823529411764706;0.9;0.8823529411764706;0.8910891089108911;45;5;6
805;soccer_ball;50;;0.8;1.0;0.8;0.888888888888889;40;0;10
872;tripod;51;;0.9607843137254902;0.8032786885245902;0.9607843137254902;0.8750000000000001;49;12;2
346;water_buffalo;51;;0.7843137254901961;0.9090909090909091;0.7843137254901961;0.8421052631578948;40;4;11
579;grand_piano;51;;0.7647058823529411;0.9285714285714286;0.7647058823529411;0.8387096774193549;39;3;12
19;chickadee;51;;0.803921568627451;0.8723404255319149;0.803921568627451;0.8367346938775511;41;6;10
528;dial_telephone;51;;0.7450980392156863;0.95;0.7450980392156863;0.8351648351648352;38;2;13
396;lionfish;51;;0.7058823529411765;0.9473684210526315;0.7058823529411765;0.8089887640449439;36;2;15
546;electric_guitar;50;;0.78;0.8297872340425532;0.78;0.8041237113402062;39;8;11
363;armadillo;51;;0.7058823529411765;0.9;0.7058823529411765;0.7912087912087913;36;4;15
275;African_hunting_dog;51;;0.6862745098039216;0.9210526315789473;0.6862745098039216;0.7865168539325842;35;3;16
327;starfish;51;;0.8235294117647058;0.75;0.8235294117647058;0.7850467289719627;42;14;9
752;racket;51;;0.8823529411764706;0.703125;0.8823529411764706;0.7826086956521738;45;19;6
152;Japanese_spaniel;51;;0.7647058823529411;0.7959183673469388;0.7647058823529411;0.7799999999999999;39;10;12
69;trilobite;51;;0.8235294117647058;0.7368421052631579;0.8235294117647058;0.7777777777777778;42;15;9
402;acoustic_guitar;51;;0.8627450980392157;0.6984126984126984;0.8627450980392157;0.7719298245614035;44;19;7
521;Crock_Pot;51;;0.6862745098039216;0.875;0.6862745098039216;0.7692307692307692;35;5;16
661;Model_T;51;;0.6470588235294118;0.9428571428571428;0.6470588235294118;0.7674418604651163;33;2;18
254;pug;50;;0.88;0.676923076923077;0.88;0.7652173913043478;44;21;6
335;fox_squirrel;51;;0.7254901960784313;0.8043478260869565;0.7254901960784313;0.7628865979381443;37;9;14
763;revolver;51;;0.7450980392156863;0.7755102040816326;0.7450980392156863;0.76;38;11;13
593;harmonica;51;;0.6470588235294118;0.9166666666666666;0.6470588235294118;0.7586206896551724;33;3;18
855;thimble;50;;0.82;0.6949152542372882;0.82;0.7522935779816514;41;18;9
566;French_horn;51;;0.8627450980392157;0.6666666666666666;0.8627450980392157;0.7521367521367521;44;22;7
328;sea_urchin;51;;0.803921568627451;0.6949152542372882;0.803921568627451;0.7454545454545455;41;18;10
243;bull_mastiff;51;;0.8235294117647058;0.6774193548387096;0.8235294117647058;0.743362831858407;42;20;9
259;Pomeranian;51;;0.7254901960784313;0.7551020408163265;0.7254901960784313;0.74;37;12;14
349;bighorn;51;;0.6862745098039216;0.7777777777777778;0.6862745098039216;0.7291666666666667;35;10;16
628;liner;51;;0.6862745098039216;0.7777777777777778;0.6862745098039216;0.7291666666666667;35;10;16
880;unicycle;51;;0.6274509803921569;0.8648648648648649;0.6274509803921569;0.7272727272727273;32;5;19
401;accordion;51;;0.7058823529411765;0.75;0.7058823529411765;0.7272727272727272;36;12;15
891;waffle_iron;51;;0.6666666666666666;0.7906976744186046;0.6666666666666666;0.7234042553191489;34;9;17
953;pineapple;50;;0.62;0.8611111111111112;0.62;0.7209302325581396;31;5;19
157;papillon;50;;0.82;0.640625;0.82;0.7192982456140351;41;23;9
564;four-poster;51;;0.6470588235294118;0.8048780487804879;0.6470588235294118;0.717391304347826;33;8;18
286;cougar;51;;0.6274509803921569;0.8205128205128205;0.6274509803921569;0.711111111111111;32;7;19
611;jigsaw_puzzle;51;;0.7450980392156863;0.6785714285714286;0.7450980392156863;0.7102803738317757;38;18;13
355;llama;51;;0.5490196078431373;1.0;0.5490196078431373;0.7088607594936709;28;0;23
594;harp;51;;0.8235294117647058;0.6176470588235294;0.8235294117647058;0.7058823529411765;42;26;9
443;bib;51;;0.6470588235294118;0.7674418604651163;0.6470588235294118;0.7021276595744682;33;10;18
362;badger;50;;0.8;0.625;0.8;0.7017543859649122;40;24;10
