class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
9;ostrich;10;;1.0;1.0;1.0;1.0;10;0;0
993;gyromitra;10;;1.0;1.0;1.0;1.0;10;0;0
576;gondola;10;;1.0;1.0;1.0;1.0;10;0;0
995;earthstar;10;;1.0;1.0;1.0;1.0;10;0;0
994;stinkhorn;10;;1.0;1.0;1.0;1.0;10;0;0
38;banded_gecko;10;;1.0;1.0;1.0;1.0;10;0;0
560;football_helmet;10;;1.0;1.0;1.0;1.0;10;0;0
22;bald_eagle;10;;1.0;1.0;1.0;1.0;10;0;0
575;golfcart;10;;1.0;1.0;1.0;1.0;10;0;0
24;great_grey_owl;10;;1.0;1.0;1.0;1.0;10;0;0
396;lionfish;10;;1.0;1.0;1.0;1.0;10;0;0
389;barracouta;10;;1.0;1.0;1.0;1.0;10;0;0
361;skunk;10;;1.0;1.0;1.0;1.0;10;0;0
365;orangutan;10;;1.0;1.0;1.0;1.0;10;0;0
363;armadillo;10;;1.0;1.0;1.0;1.0;10;0;0
466;bullet_train;10;;1.0;1.0;1.0;1.0;10;0;0
642;marimba;10;;1.0;1.0;1.0;1.0;10;0;0
640;manhole_cover;10;;1.0;1.0;1.0;1.0;10;0;0
628;liner;10;;1.0;1.0;1.0;1.0;10;0;0
607;jack-o'-lantern;10;;1.0;1.0;1.0;1.0;10;0;0
604;hourglass;10;;1.0;1.0;1.0;1.0;10;0;0
394;sturgeon;10;;1.0;1.0;1.0;1.0;10;0;0
430;basketball;10;;1.0;1.0;1.0;1.0;10;0;0
685;odometer;10;;1.0;1.0;1.0;1.0;10;0;0
403;aircraft_carrier;10;;1.0;1.0;1.0;1.0;10;0;0
684;ocarina;10;;1.0;1.0;1.0;1.0;10;0;0
863;totem_pole;10;;1.0;1.0;1.0;1.0;10;0;0
812;space_shuttle;10;;1.0;1.0;1.0;1.0;10;0;0
798;slide_rule;10;;1.0;1.0;1.0;1.0;10;0;0
149;dugong;10;;1.0;1.0;1.0;1.0;10;0;0
20;water_ouzel;10;;1.0;1.0;1.0;1.0;10;0;0
294;brown_bear;10;;1.0;1.0;1.0;1.0;10;0;0
87;African_grey;10;;1.0;1.0;1.0;1.0;10;0;0
