class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
0;tench;10;;1.0;1.0;1.0;1.0;10;0;0
1;goldfish;10;;1.0;1.0;1.0;1.0;10;0;0
332;Angora;10;;1.0;1.0;1.0;1.0;10;0;0
953;pineapple;10;;1.0;1.0;1.0;1.0;10;0;0
323;monarch;10;;1.0;1.0;1.0;1.0;10;0;0
320;damselfly;10;;1.0;1.0;1.0;1.0;10;0;0
319;dragonfly;10;;1.0;1.0;1.0;1.0;10;0;0
685;odometer;10;;1.0;1.0;1.0;1.0;10;0;0
100;black_swan;10;;1.0;1.0;1.0;1.0;10;0;0
365;orangutan;10;;1.0;1.0;1.0;1.0;10;0;0
291;lion;10;;1.0;1.0;1.0;1.0;10;0;0
287;lynx;10;;1.0;1.0;1.0;1.0;10;0;0
105;koala;10;;1.0;1.0;1.0;1.0;10;0;0
87;African_grey;10;;1.0;1.0;1.0;1.0;10;0;0
90;lorikeet;10;;1.0;1.0;1.0;1.0;10;0;0
145;king_penguin;10;;1.0;1.0;1.0;1.0;10;0;0
146;albatross;10;;1.0;1.0;1.0;1.0;10;0;0
139;ruddy_turnstone;10;;1.0;1.0;1.0;1.0;10;0;0
986;yellow_lady's_slipper;10;;1.0;1.0;1.0;1.0;10;0;0
410;apiary;10;;1.0;1.0;1.0;1.0;10;0;0
24;great_grey_owl;10;;1.0;1.0;1.0;1.0;10;0;0
22;bald_eagle;10;;1.0;1.0;1.0;1.0;10;0;0
127;white_stork;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
340;zebra;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
143;oystercatcher;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
560;football_helmet;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
322;ringlet;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
347;bison;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
366;gorilla;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
336;marmot;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
625;lifeboat;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
107;jellyfish;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
20;water_ouzel;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
360;otter;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
104;wallaby;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
466;bullet_train;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
404;airliner;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
136;European_gallinule;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
571;gas_pump;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
992;agaric;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
755;radio_telescope;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
863;totem_pole;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
293;cheetah;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
565;freight_car;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
283;Persian_cat;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
430;basketball;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
144;pelican;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
594;harp;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
628;liner;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
640;manhole_cover;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
646;maze;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
344;hippopotamus;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
604;hourglass;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
296;ice_bear;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
83;prairie_chicken;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
350;ibex;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
333;hamster;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
465;bulletproof_vest;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
450;bobsled;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
803;snowplow;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
950;orange;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
471;cannon;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
900;water_tower;10;;0.9;1.0;0.9;0.9473684210526316;9;0;1
272;coyote;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
607;jack-o'-lantern;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
310;ant;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
403;aircraft_carrier;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
364;three-toed_sloth;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
321;admiral;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
290;jaguar;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
289;snow_leopard;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
820;steam_locomotive;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
388;giant_panda;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
533;dishrag;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
701;parachute;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
29;axolotl;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
974;geyser;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
13;junco;10;;1.0;0.8333333333333334;1.0;0.9090909090909091;10;2;0
367;chimpanzee;10;;0.9;0.9;0.9;0.9;9;1;1
749;quill;10;;0.9;0.9;0.9;0.9;9;1;1
355;llama;10;;0.9;0.9;0.9;0.9;9;1;1
338;guinea_pig;10;;0.9;0.9;0.9;0.9;9;1;1
140;red-backed_sandpiper;10;;0.9;0.9;0.9;0.9;9;1;1
