rank;model_key;model_name;imagenet_top1;imagenet_top5;shapenet_base_top1;shapenet_top1;shapenet_evaluable;delta_vs_baseline;delta_base_to_average
1;clip_b__knn;CLIP-B-KNN;0.5263;0.7705;0.0;0;0;0;0.0
2;clip_b_in1k__knn;CLIP-B-IN1K-KNN;0.7408;0.8825;0.0;0;0;0;0.0
3;clip_b_in1k__linear_probe;CLIP-B-IN1K-LINEAR_PROBE;0.7373;0.9237;0.0;0;0;0;0.0
4;clip_b_in1k__logits;CLIP-B-IN1K-LOGITS;0.7571;0.9293;0.0;0;0;0;0.0
5;clip_l__knn;CLIP-L-KNN;0.601;0.8276;0.0;0;0;0;0.0
6;clip_l_in1k__knn;CLIP-L-IN1K-KNN;0.7772;0.8971;0.0;0;0;0;0.0
7;clip_l_in1k__logits;CLIP-L-IN1K-LOGITS;0.7856;0.946;0.0;0;0;0;0.0
8;dinov1_b__knn;DINOv1-B-KNN;0.5722;0.7954;0.0;0;0;0;0.0
9;dinov1_s__knn;DINOv1-S-KNN;0.5501;0.7682;0.0;0;0;0;0.0
10;dinov2_b__knn;DINOv2-B-KNN;0.6952;0.8669;0.0;0;0;0;0.0
11;dinov2_b_in1k__knn;DINOv2-B-IN1K-KNN;0.6863;0.8763;0.0;0;0;0;0.0
12;dinov2_b_in1k__linear_probe;DINOv2-B-IN1K-LINEAR_PROBE;0.6826;0.8944;0.0;0;0;0;0.0
13;dinov2_b_in1k__logits;DINOv2-B-IN1K-LOGITS;0.7652;0.9291;0.0;0;0;0;0.0
14;dinov2_l__knn;DINOv2-L-KNN;0.7127;0.8749;0.0;0;0;0;0.0
15;dinov2_l_in1k__knn;DINOv2-L-IN1K-KNN;0.7115;0.886;0.0;0;0;0;0.0
16;dinov2_l_in1k__logits;DINOv2-L-IN1K-LOGITS;0.7844;0.9401;0.0;0;0;0;0.0
17;dinov2_s__knn;DINOv2-S-KNN;0.6412;0.8483;0.0;0;0;0;0.0
18;dinov2_s_in1k__knn;DINOv2-S-IN1K-KNN;0.6369;0.8525;0.0;0;0;0;0.0
19;dinov2_s_in1k__logits;DINOv2-S-IN1K-LOGITS;0.7297;0.9115;0.0;0;0;0;0.0
20;dinov3_b__knn;DINOv3-B-KNN;0.5383;0.7683;0.0;0;0;0;0.0
21;dinov3_l__knn;DINOv3-L-KNN;0.7313;0.8935;0.0;0;0;0;0.0
22;dinov3_s__knn;DINOv3-S-KNN;0.591;0.8078;0.0;0;0;0;0.0
23;hiera_b_in1k__knn;Hiera_B-KNN;0.7333;0.8707;0.0;0;0;0;0.0
24;hiera_b_in1k__logits;Hiera_B-LOGITS;0.7482;0.9187;0.0;0;0;0;0.0
25;hiera_l_in1k__knn;Hiera_L-IN1K-KNN;0.763;0.8839;0.0;0;0;0;0.0
26;hiera_l_in1k__logits;Hiera_L-IN1K-LOGITS;0.7717;0.9323;0.0;0;0;0;0.0
27;hiera_s_in1k__knn;Hiera_S-IN1K-KNN;0.7171;0.8629;0.0;0;0;0;0.0
28;hiera_s_in1k__logits;Hiera_S-IN1K-LOGITS;0.7355;0.9132;0.0;0;0;0;0.0
29;resnet50__knn;ResNet-50-KNN;0.5917;0.7722;0.0;0;0;0;0.0
30;resnet50_in1k__knn;ResNet-50-IN1K-KNN;0.6251;0.783;0.0;0;0;0;0.0
31;resnet50_in1k__logits;ResNet-50-IN1K-LOGITS;0.6889;0.8759;0.0;0;0;0;0.0
32;swin_b__knn;Swin-B-KNN;0.7146;0.8534;0.0;0;0;0;0.0
33;swin_b_in1k__knn;Swin-B-IN1K-KNN;0.7299;0.8829;0.0;0;0;0;0.0
34;swin_b_in1k__linear_probe;Swin-B-IN1K-LINEAR_PROBE;0.735;0.9266;0.0;0;0;0;0.0
35;swin_b_in1k__logits;Swin-B-IN1K-LOGITS;0.7567;0.9317;0.0;0;0;0;0.0
36;swin_l__knn;Swin-L-KNN;0.7425;0.8893;0.0;0;0;0;0.0
37;swin_l_in1k__knn;Swin-L-IN1K-KNN;0.7425;0.8893;0.0;0;0;0;0.0
38;swin_l_in1k__logits;Swin-L-IN1K-LOGITS;0.7706;0.939;0.0;0;0;0;0.0
39;swin_s__knn;Swin-S-KNN;0.7044;0.8526;0.0;0;0;0;0.0
40;swin_s_in1k__knn;Swin-S-IN1K-KNN;0.6982;0.8724;0.0;0;0;0;0.0
41;swin_s_in1k__logits;Swin-S-IN1K-LOGITS;0.7376;0.9233;0.0;0;0;0;0.0
42;vit_b_in1k__knn;ViT-B-IN1K-KNN;0.6521;0.824;0.0;0;0;0;0.0
43;vit_b_in1k__logits;ViT-B-IN1K-LOGITS;0.6839;0.8843;0.0;0;0;0;0.0
44;vit_l_in1k__knn;ViT-L-IN1K-KNN;0.6638;0.8338;0.0;0;0;0;0.0
45;vit_l_in1k__logits;ViT-L-IN1K-LOGITS;0.6952;0.8937;0.0;0;0;0;0.0
