class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
974;geyser;10;;1.0;1.0;1.0;1.0;10;0;0
9;ostrich;10;;1.0;1.0;1.0;1.0;10;0;0
29;axolotl;10;;1.0;1.0;1.0;1.0;10;0;0
24;great_grey_owl;10;;1.0;1.0;1.0;1.0;10;0;0
1;goldfish;10;;1.0;1.0;1.0;1.0;10;0;0
23;vulture;10;;1.0;1.0;1.0;1.0;10;0;0
274;dhole;10;;1.0;1.0;1.0;1.0;10;0;0
287;lynx;10;;1.0;1.0;1.0;1.0;10;0;0
286;cougar;10;;1.0;1.0;1.0;1.0;10;0;0
450;bobsled;10;;1.0;1.0;1.0;1.0;10;0;0
438;beaker;10;;1.0;1.0;1.0;1.0;10;0;0
500;cliff_dwelling;10;;1.0;1.0;1.0;1.0;10;0;0
496;Christmas_stocking;10;;1.0;1.0;1.0;1.0;10;0;0
38;banded_gecko;10;;1.0;1.0;1.0;1.0;10;0;0
646;maze;10;;1.0;1.0;1.0;1.0;10;0;0
714;pick;10;;1.0;1.0;1.0;1.0;10;0;0
245;French_bulldog;10;;1.0;1.0;1.0;1.0;10;0;0
294;brown_bear;10;;1.0;1.0;1.0;1.0;10;0;0
642;marimba;10;;1.0;1.0;1.0;1.0;10;0;0
640;manhole_cover;10;;1.0;1.0;1.0;1.0;10;0;0
320;damselfly;10;;1.0;1.0;1.0;1.0;10;0;0
319;dragonfly;10;;1.0;1.0;1.0;1.0;10;0;0
316;cicada;10;;1.0;1.0;1.0;1.0;10;0;0
746;puck;10;;1.0;1.0;1.0;1.0;10;0;0
561;forklift;10;;1.0;1.0;1.0;1.0;10;0;0
333;hamster;10;;1.0;1.0;1.0;1.0;10;0;0
332;Angora;10;;1.0;1.0;1.0;1.0;10;0;0
628;liner;10;;1.0;1.0;1.0;1.0;10;0;0
758;reel;10;;1.0;1.0;1.0;1.0;10;0;0
357;mink;10;;1.0;1.0;1.0;1.0;10;0;0
355;llama;10;;1.0;1.0;1.0;1.0;10;0;0
354;Arabian_camel;10;;1.0;1.0;1.0;1.0;10;0;0
344;hippopotamus;10;;1.0;1.0;1.0;1.0;10;0;0
606;iron;10;;1.0;1.0;1.0;1.0;10;0;0
604;hourglass;10;;1.0;1.0;1.0;1.0;10;0;0
371;patas;10;;1.0;1.0;1.0;1.0;10;0;0
366;gorilla;10;;1.0;1.0;1.0;1.0;10;0;0
170;Irish_wolfhound;10;;1.0;1.0;1.0;1.0;10;0;0
820;steam_locomotive;10;;1.0;1.0;1.0;1.0;10;0;0
138;bustard;10;;1.0;1.0;1.0;1.0;10;0;0
95;jacamar;10;;1.0;1.0;1.0;1.0;10;0;0
91;coucal;10;;1.0;1.0;1.0;1.0;10;0;0
89;sulphur-crested_cockatoo;10;;1.0;1.0;1.0;1.0;10;0;0
88;macaw;10;;1.0;1.0;1.0;1.0;10;0;0
571;gas_pump;10;;1.0;1.0;1.0;1.0;10;0;0
417;balloon;10;;1.0;1.0;1.0;1.0;10;0;0
160;Afghan_hound;10;;1.0;1.0;1.0;1.0;10;0;0
365;orangutan;10;;1.0;1.0;1.0;1.0;10;0;0
364;three-toed_sloth;10;;1.0;1.0;1.0;1.0;10;0;0
362;badger;10;;1.0;1.0;1.0;1.0;10;0;0
361;skunk;10;;1.0;1.0;1.0;1.0;10;0;0
360;otter;10;;1.0;1.0;1.0;1.0;10;0;0
378;capuchin;10;;1.0;1.0;1.0;1.0;10;0;0
376;proboscis_monkey;10;;1.0;1.0;1.0;1.0;10;0;0
148;killer_whale;10;;1.0;1.0;1.0;1.0;10;0;0
147;grey_whale;10;;1.0;1.0;1.0;1.0;10;0;0
