class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
974;geyser;10;;1.0;1.0;1.0;1.0;10;0;0
9;ostrich;10;;1.0;1.0;1.0;1.0;10;0;0
0;tench;10;;1.0;1.0;1.0;1.0;10;0;0
29;axolotl;10;;1.0;1.0;1.0;1.0;10;0;0
333;hamster;10;;1.0;1.0;1.0;1.0;10;0;0
313;walking_stick;10;;1.0;1.0;1.0;1.0;10;0;0
316;cicada;10;;1.0;1.0;1.0;1.0;10;0;0
691;oxygen_mask;10;;1.0;1.0;1.0;1.0;10;0;0
295;American_black_bear;10;;1.0;1.0;1.0;1.0;10;0;0
294;brown_bear;10;;1.0;1.0;1.0;1.0;10;0;0
332;Angora;10;;1.0;1.0;1.0;1.0;10;0;0
535;disk_brake;10;;1.0;1.0;1.0;1.0;10;0;0
325;sulphur_butterfly;10;;1.0;1.0;1.0;1.0;10;0;0
685;odometer;10;;1.0;1.0;1.0;1.0;10;0;0
65;sea_snake;10;;1.0;1.0;1.0;1.0;10;0;0
297;sloth_bear;10;;1.0;1.0;1.0;1.0;10;0;0
539;doormat;10;;1.0;1.0;1.0;1.0;10;0;0
571;gas_pump;10;;1.0;1.0;1.0;1.0;10;0;0
75;black_widow;10;;1.0;1.0;1.0;1.0;10;0;0
306;rhinoceros_beetle;10;;1.0;1.0;1.0;1.0;10;0;0
319;dragonfly;10;;1.0;1.0;1.0;1.0;10;0;0
320;damselfly;10;;1.0;1.0;1.0;1.0;10;0;0
322;ringlet;10;;1.0;1.0;1.0;1.0;10;0;0
293;cheetah;10;;1.0;1.0;1.0;1.0;10;0;0
291;lion;10;;1.0;1.0;1.0;1.0;10;0;0
286;cougar;10;;1.0;1.0;1.0;1.0;10;0;0
287;lynx;10;;1.0;1.0;1.0;1.0;10;0;0
284;Siamese_cat;10;;1.0;1.0;1.0;1.0;10;0;0
274;dhole;10;;1.0;1.0;1.0;1.0;10;0;0
107;jellyfish;10;;1.0;1.0;1.0;1.0;10;0;0
90;lorikeet;10;;1.0;1.0;1.0;1.0;10;0;0
889;violin;10;;1.0;1.0;1.0;1.0;10;0;0
100;black_swan;10;;1.0;1.0;1.0;1.0;10;0;0
98;red-breasted_merganser;10;;1.0;1.0;1.0;1.0;10;0;0
95;jacamar;10;;1.0;1.0;1.0;1.0;10;0;0
91;coucal;10;;1.0;1.0;1.0;1.0;10;0;0
350;ibex;10;;1.0;1.0;1.0;1.0;10;0;0
354;Arabian_camel;10;;1.0;1.0;1.0;1.0;10;0;0
355;llama;10;;1.0;1.0;1.0;1.0;10;0;0
993;gyromitra;10;;1.0;1.0;1.0;1.0;10;0;0
994;stinkhorn;10;;1.0;1.0;1.0;1.0;10;0;0
986;yellow_lady's_slipper;10;;1.0;1.0;1.0;1.0;10;0;0
640;manhole_cover;10;;1.0;1.0;1.0;1.0;10;0;0
24;great_grey_owl;10;;1.0;1.0;1.0;1.0;10;0;0
820;steam_locomotive;10;;1.0;1.0;1.0;1.0;10;0;0
796;ski_mask;10;;1.0;1.0;1.0;1.0;10;0;0
392;rock_beauty;10;;1.0;1.0;1.0;1.0;10;0;0
812;space_shuttle;10;;1.0;1.0;1.0;1.0;10;0;0
642;marimba;10;;1.0;1.0;1.0;1.0;10;0;0
635;magnetic_compass;10;;1.0;1.0;1.0;1.0;10;0;0
491;chain_saw;10;;1.0;1.0;1.0;1.0;10;0;0
995;earthstar;10;;1.0;1.0;1.0;1.0;10;0;0
14;indigo_bunting;10;;1.0;1.0;1.0;1.0;10;0;0
20;water_ouzel;10;;1.0;1.0;1.0;1.0;10;0;0
394;sturgeon;10;;1.0;1.0;1.0;1.0;10;0;0
