class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
779;school_bus;10;;1.0;1.0;1.0;1.0;10;0;0
781;scoreboard;10;;1.0;1.0;1.0;1.0;10;0;0
24;great_grey_owl;10;;1.0;1.0;1.0;1.0;10;0;0
325;sulphur_butterfly;10;;1.0;1.0;1.0;1.0;10;0;0
284;Siamese_cat;10;;1.0;1.0;1.0;1.0;10;0;0
287;lynx;10;;1.0;1.0;1.0;1.0;10;0;0
291;lion;10;;1.0;1.0;1.0;1.0;10;0;0
293;cheetah;10;;1.0;1.0;1.0;1.0;10;0;0
576;gondola;10;;1.0;1.0;1.0;1.0;10;0;0
75;black_widow;10;;1.0;1.0;1.0;1.0;10;0;0
273;dingo;10;;1.0;1.0;1.0;1.0;10;0;0
798;slide_rule;10;;1.0;1.0;1.0;1.0;10;0;0
274;dhole;10;;1.0;1.0;1.0;1.0;10;0;0
294;brown_bear;10;;1.0;1.0;1.0;1.0;10;0;0
361;skunk;10;;1.0;1.0;1.0;1.0;10;0;0
350;ibex;10;;1.0;1.0;1.0;1.0;10;0;0
332;Angora;10;;1.0;1.0;1.0;1.0;10;0;0
100;black_swan;10;;1.0;1.0;1.0;1.0;10;0;0
90;lorikeet;10;;1.0;1.0;1.0;1.0;10;0;0
98;red-breasted_merganser;10;;1.0;1.0;1.0;1.0;10;0;0
313;walking_stick;10;;1.0;1.0;1.0;1.0;10;0;0
317;leafhopper;10;;1.0;1.0;1.0;1.0;10;0;0
319;dragonfly;10;;1.0;1.0;1.0;1.0;10;0;0
320;damselfly;10;;1.0;1.0;1.0;1.0;10;0;0
9;ostrich;10;;1.0;1.0;1.0;1.0;10;0;0
146;albatross;10;;1.0;1.0;1.0;1.0;10;0;0
145;king_penguin;10;;1.0;1.0;1.0;1.0;10;0;0
993;gyromitra;10;;1.0;1.0;1.0;1.0;10;0;0
38;banded_gecko;10;;1.0;1.0;1.0;1.0;10;0;0
20;water_ouzel;10;;1.0;1.0;1.0;1.0;10;0;0
986;yellow_lady's_slipper;10;;1.0;1.0;1.0;1.0;10;0;0
133;bittern;10;;1.0;1.0;1.0;1.0;10;0;0
755;radio_telescope;10;;1.0;1.0;1.0;1.0;10;0;0
640;manhole_cover;10;;1.0;1.0;1.0;1.0;10;0;0
107;jellyfish;10;;1.0;1.0;1.0;1.0;10;0;0
365;orangutan;10;;1.0;1.0;1.0;1.0;10;0;0
344;hippopotamus;10;;1.0;1.0;1.0;1.0;10;0;0
371;patas;10;;1.0;1.0;1.0;1.0;10;0;0
347;bison;10;;1.0;1.0;1.0;1.0;10;0;0
863;totem_pole;10;;1.0;1.0;1.0;1.0;10;0;0
88;macaw;10;;1.0;1.0;1.0;1.0;10;0;0
389;barracouta;10;;1.0;1.0;1.0;1.0;10;0;0
140;red-backed_sandpiper;10;;1.0;1.0;1.0;1.0;10;0;0
392;rock_beauty;10;;1.0;1.0;1.0;1.0;10;0;0
160;Afghan_hound;10;;1.0;1.0;1.0;1.0;10;0;0
376;proboscis_monkey;10;;1.0;1.0;1.0;1.0;10;0;0
900;water_tower;10;;1.0;1.0;1.0;1.0;10;0;0
105;koala;10;;1.0;1.0;1.0;1.0;10;0;0
645;maypole;10;;1.0;1.0;1.0;1.0;10;0;0
13;junco;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
974;geyser;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
283;Persian_cat;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
289;snow_leopard;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
65;sea_snake;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
63;Indian_cobra;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
267;standard_poodle;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
321;admiral;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
251;dalmatian;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
812;space_shuttle;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
386;African_elephant;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
348;ram;10;;1.0;0.9090909090909091;1.0;0.9523809523809523;10;1;0
