value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.2633333333333333;0.2866666666666667;300;0.32666666666666666
bag;150;0.30666666666666664;0.44;150;0.30666666666666664
airplane;150;0.5866666666666667;0.7133333333333334;150;0.64
basket;150;0.4666666666666667;0.7666666666666667;150;0.4666666666666667
bathtub;150;0.31333333333333335;0.7933333333333333;150;0.31333333333333335
birdhouse;150;0.30666666666666664;0.4533333333333333;150;0.30666666666666664
bench;150;0.34;0.4866666666666667;150;0.34
bowl;150;0.08666666666666667;0.52;150;0.47333333333333333
bookshelf;150;0.06;0.11333333333333333;150;0.06
bus;150;0.0;0.013333333333333334;150;0.013333333333333334
cabinet;150;0.0;0.006666666666666667;150;0.0
chair;150;0.5;0.8266666666666667;150;0.78
camera;150;0.10666666666666667;0.19333333333333333;150;0.10666666666666667
cap;150;0.30666666666666664;0.5533333333333333;150;0.30666666666666664
car;150;0.18;0.4666666666666667;150;0.66
display;150;0.08666666666666667;0.4266666666666667;150;0.31333333333333335
dishwasher;150;0.04666666666666667;0.07333333333333333;150;0.04666666666666667
flowerpot;150;0.42;0.6;150;0.42
file cabinet;150;0.09333333333333334;0.14666666666666667;150;0.09333333333333334
train;150;0.04;0.06666666666666667;150;0.05333333333333334
washer;150;0.17333333333333334;0.2;150;0.17333333333333334
keyboard;150;0.8133333333333334;0.9133333333333333;150;0.8133333333333334
helmet;150;0.54;0.6333333333333333;150;0.5666666666666667
knife;150;0.08666666666666667;0.30666666666666664;150;0.09333333333333334
loudspeaker;150;0.14;0.34;150;0.14
laptop;150;0.16666666666666666;0.84;150;0.7733333333333333
lamp;150;0.6133333333333333;0.7333333333333333;150;0.6133333333333333
microphone;150;0.24666666666666667;0.30666666666666664;150;0.24666666666666667
microwaves;150;0.08;0.11333333333333333;150;0.08
motorbike;150;0.41333333333333333;0.7133333333333334;150;0.5066666666666667
mailbox;150;0.49333333333333335;0.6333333333333333;150;0.49333333333333335
mug;150;0.18666666666666668;0.6933333333333334;150;0.18666666666666668
pistol;150;0.4;0.4;150;0.4
pillow;150;0.13333333333333333;0.3933333333333333;150;0.13333333333333333
piano;150;0.4533333333333333;0.47333333333333333;150;0.46
tower;150;0.0;0.013333333333333334;150;0.18
telephone;150;0.013333333333333334;0.05333333333333334;150;0.013333333333333334
watercraft;150;0.21333333333333335;0.26;150;0.26
rifle;150;0.14666666666666667;0.3933333333333333;150;0.3933333333333333
table;150;0.31333333333333335;0.47333333333333333;150;0.4066666666666667
stove;150;0.11333333333333333;0.15333333333333332;150;0.11333333333333333
remote;149;0.1342281879194631;0.1610738255033557;149;0.1342281879194631
clock;149;0.08053691275167785;0.2080536912751678;149;0.20134228187919462
trash bin;149;0.738255033557047;0.8053691275167785;149;0.738255033557047
rocket;149;0.2080536912751678;0.436241610738255;149;0.33557046979865773
jar;149;0.4429530201342282;0.7046979865771812;149;0.5771812080536913
printer;149;0.053691275167785234;0.09395973154362416;149;0.053691275167785234
bed;100;0.0;0.03;100;0.04
earphone;50;0.1;0.26;50;0.1
guitar;50;0.4;0.44;50;0.4
sofa;50;0.46;0.46;50;0.46
