class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
508;computer keyboard, keypad;150;;0.8466666666666667;1.0;0.8466666666666667;0.9169675090252708;127;0;23
907;wine bottle;50;;0.82;0.8913043478260869;0.82;0.8541666666666666;41;5;9
846;table lamp;150;;0.6;0.8333333333333334;0.6;0.6976744186046512;90;18;60
560;football helmet;50;;0.54;0.9642857142857143;0.54;0.6923076923076923;27;1;23
665;moped;150;;0.52;0.9512195121951219;0.52;0.6724137931034483;78;4;72
579;grand piano, grand;50;;0.76;0.59375;0.76;0.6666666666666666;38;26;12
620;laptop, laptop computer;150;;0.8466666666666667;0.5474137931034483;0.8466666666666667;0.6649214659685864;127;105;23
518;crash helmet;100;;0.52;0.896551724137931;0.52;0.6582278481012658;52;6;48
738;pot, flowerpot;150;;0.48;1.0;0.48;0.6486486486486487;72;0;78
515;cowboy hat, ten-gallon hat;150;;0.42;1.0;0.42;0.5915492957746479;63;0;87
504;coffee mug;150;;0.4666666666666667;0.8045977011494253;0.4666666666666667;0.5907172995780591;70;17;80
895;warplane, military plane;50;;1.0;0.4065040650406504;1.0;0.5780346820809249;50;73;0
402;acoustic guitar;50;;0.4;1.0;0.4;0.5714285714285715;20;0;30
763;revolver, six-gun, six-shooter;150;;0.4;0.9836065573770492;0.4;0.5687203791469194;60;1;90
790;shopping basket;100;;0.57;0.5181818181818182;0.57;0.5428571428571428;57;53;43
404;airliner;100;;0.38;0.95;0.38;0.5428571428571428;38;2;62
883;vase;149;;0.42953020134228187;0.5925925925925926;0.42953020134228187;0.49805447470817116;64;44;85
637;mailbox, letter box;150;;0.54;0.4602272727272727;0.54;0.49693251533742333;81;95;69
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.34;0.8947368421052632;0.34;0.4927536231884058;34;4;66
448;birdhouse;150;;0.31333333333333335;0.94;0.31333333333333335;0.4699999999999999;47;3;103
703;park bench;150;;0.32666666666666666;0.7538461538461538;0.32666666666666666;0.45581395348837206;49;16;101
657;missile;99;;0.41414141414141414;0.5061728395061729;0.41414141414141414;0.45555555555555555;41;40;58
898;water bottle;50;;0.8;0.29850746268656714;0.8;0.43478260869565216;40;94;10
814;speedboat;50;;0.28;0.9333333333333333;0.28;0.4307692307692308;14;1;36
413;assault rifle, assault gun;50;;0.4;0.46511627906976744;0.4;0.4301075268817204;20;23;30
435;bathtub, bathing tub, bath, tub;150;;0.4;0.46511627906976744;0.4;0.4301075268817204;60;69;90
559;folding chair;100;;0.4;0.41237113402061853;0.4;0.40609137055837563;40;57;60
532;dining table, board;150;;0.28;0.6461538461538462;0.28;0.3906976744186047;42;23;108
650;microphone, mike;150;;0.2733333333333333;0.6612903225806451;0.2733333333333333;0.38679245283018865;41;21;109
881;upright, upright piano;100;;0.26;0.6046511627906976;0.26;0.36363636363636365;26;17;74
914;yawl;50;;0.22;1.0;0.22;0.36065573770491804;11;0;39
861;toilet seat;50;;0.76;0.2360248447204969;0.76;0.36018957345971564;38;123;12
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.7583892617449665;0.21161048689138576;0.7583892617449665;0.33089311859443626;113;421;36
623;letter opener, paper knife, paperknife;150;;0.22;0.5892857142857143;0.22;0.32038834951456313;33;23;117
764;rifle;100;;0.18;1.0;0.18;0.3050847457627119;18;0;82
897;washer, automatic washer, washing machine;150;;0.18;0.8181818181818182;0.18;0.29508196721311475;27;6;123
519;crate;50;;0.3;0.2777777777777778;0.3;0.2884615384615385;15;39;35
