value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
acoustic-guitar-1;50;0.4;0.44;50;0.4
analog-clock-1;50;0.22;0.22;50;0.22
assault-rifle-1;50;0.4;0.4;50;0.4
backpack-1;50;0.66;0.72;50;0.68
backpack-2;50;0.02;0.3;50;0.14
bathtub-1;50;0.38;0.8;50;0.38
bathtub-2;50;0.54;0.98;50;0.54
bathtub-3;50;0.28;0.78;50;0.28
bed-1;50;0.0;0.06;50;0.0
bed-2;50;0.0;0.04;50;0.08
bench-1;50;0.48;0.78;50;0.48
bench-2;50;0.04;0.24;50;0.04
bench-3;50;0.46;0.72;50;0.46
birdhouse-1;50;0.06;0.26;50;0.06
birdhouse-2;50;0.44;0.5;50;0.44
birdhouse-3;50;0.44;0.8;50;0.44
bookshelf-1;50;0.0;0.06;50;0.0
bookshelf-2;50;0.0;0.02;50;0.0
bookshelf-3;50;0.14;0.2;50;0.14
bullet-train-1;50;0.0;0.0;50;0.0
bus-1;50;0.0;0.0;50;0.0
bus-2;50;0.0;0.04;50;0.02
bus-3;50;0.0;0.04;50;0.02
can-1;50;0.0;0.0;50;0.06
can-2;50;0.0;0.08;50;0.08
can-3;50;0.0;0.0;50;0.0
china-cabinet-1;50;0.0;0.0;50;0.0
china-cabinet-2;50;0.0;0.0;50;0.0
china-cabinet-3;50;0.0;0.0;50;0.0
computer-keyboard-1;50;0.84;0.94;50;0.84
computer-keyboard-2;50;0.7;0.94;50;0.7
computer-keyboard-3;50;1.0;1.0;50;1.0
cowboy-hat-1;50;0.54;0.9;50;0.54
cowboy-hat-2;50;0.32;0.42;50;0.32
cowboy-hat-3;50;0.4;0.78;50;0.4
crash-helmet-1;50;0.64;0.8;50;0.64
crash-helmet-2;50;0.4;0.58;50;0.42
crate-1;50;0.3;0.7;50;0.32
day-bed-1;50;0.5;0.52;50;0.5
dining-table-1;50;0.04;0.78;50;0.04
dining-table-2;50;0.0;0.04;50;0.22
dining-table-3;50;0.8;0.8;50;0.8
dishwasher-1;50;0.06;0.12;50;0.06
dishwasher-2;50;0.08;0.12;50;0.08
dishwasher-3;50;0.0;0.1;50;0.0
earphone-2;50;0.0;0.0;0;
electric-locomotive-1;50;0.0;0.08;50;0.04
faucet-1;50;0.0;0.0;0;
flowerpot-2;50;0.62;0.8;50;0.62
faucet-2;50;0.0;0.0;0;
faucet-3;50;0.0;0.0;0;
fighter-jet;50;1.0;1.0;50;1.0
file-cabinet-1;50;0.0;0.0;50;0.0
file-cabinet-2;50;0.22;0.44;50;0.22
file-cabinet-3;50;0.24;0.24;50;0.24
flowerpot-1;50;0.66;0.8;50;0.66
football-helmet-1;50;0.54;0.58;50;0.58
flowerpot-3;50;0.16;0.48;50;0.16
folding-chair-1;50;0.36;0.98;50;0.82
folding-chair-2;50;0.44;0.8;50;0.74
iPod-1;50;0.08;0.28;50;0.08
grand-piano-1;50;0.76;0.82;50;0.76
knife-1;50;0.2;0.56;50;0.24
knife-2;50;0.24;0.84;50;0.24
microwave-2;50;0.02;0.02;50;0.02
knife-3;50;0.22;0.68;50;0.22
laptop-1;50;0.92;1.0;50;0.92
laptop-2;50;0.72;0.86;50;0.72
laptop-3;50;0.9;1.0;50;0.9
limousine-1;50;0.14;0.4;50;0.46
loudspeaker-1;50;0.04;0.16;50;0.04
loudspeaker-2;50;0.34;0.48;50;0.34
loudspeaker-3;50;0.0;0.02;50;0.0
mailbox-1;50;0.68;0.8;50;0.68
mailbox-2;50;0.6;0.66;50;0.6
mailbox-3;50;0.34;0.54;50;0.34
microphone-1;50;0.12;0.28;50;0.12
microphone-2;50;0.04;0.2;50;0.04
microphone-3;50;0.66;0.84;50;0.66
microwave-1;50;0.18;0.24;50;0.18
moped-2;50;0.44;0.86;50;0.78
microwave-3;50;0.08;0.16;50;0.08
missile-2;50;0.42;0.7;50;0.48
mixing-bowl-1;50;0.0;0.24;50;0.0
mobile-phone-2;50;0.04;0.12;50;0.04
mobile-phone-1;50;0.0;0.02;50;0.0
mobile-phone-3;50;0.0;0.0;50;0.0
monitor-1;50;0.2;0.5;50;0.38
mosque-1;50;0.0;0.06;50;0.56
monitor-2;50;0.08;0.42;50;0.32
monitor-3;50;0.24;0.52;50;0.44
moped-1;50;0.6;0.74;50;0.6
mug-1;50;0.74;0.86;50;0.74
moped-3;50;0.52;0.8;50;0.52
mug-3;50;0.56;0.8;50;0.56
mug-2;50;0.1;0.62;50;0.1
trash-can-2;50;0.8;0.8;50;0.8
upright-piano-1;50;0.24;0.32;50;0.24
obelisk-1;50;0.0;0.0;50;0.04
ocean-liner-1;50;0.04;0.04;50;0.06
old-plane;50;0.0;0.82;50;0.24
pas-plane;50;0.76;1.0;50;0.86
pill-bottle-1;50;0.0;0.02;50;0.46
pillow-1;50;0.16;0.3;50;0.16
pillow-2;50;0.0;0.18;50;0.0
pillow-3;50;0.06;0.28;50;0.06
plastic-bag-1;50;0.0;0.44;50;0.0
printer-1;50;0.06;0.12;50;0.06
printer-2;50;0.04;0.24;50;0.04
race-car-1;50;0.0;0.52;50;0.62
reflex-camera-1;50;0.0;0.1;50;0.0
reflex-camera-2;50;0.0;0.0;50;0.0
skateboard-1;50;0.0;0.0;0;
reflex-camera-3;50;0.24;0.48;50;0.24
remote-2;50;0.2;0.2;50;0.2
remote-3;50;0.02;0.04;50;0.02
revolver-2;50;0.4;0.4;50;0.4
revolver-1;50;0.4;0.4;50;0.4
revolver-3;50;0.4;0.4;50;0.4
rifle-1;50;0.36;0.42;50;0.4
skateboard-3;50;0.0;0.0;0;
rifle-2;50;0.0;0.38;50;0.38
shopping-basket-1;50;0.58;1.0;50;0.58
shopping-basket-2;50;0.56;0.88;50;0.56
sofa-1;50;0.0;0.0;0;
skateboard-2;50;0.0;0.0;0;
sofa-3;50;0.0;0.0;0;
sofa-2;50;0.0;0.0;0;
water-bottle-1;50;0.8;0.8;50;0.8
water-tower-1;50;0.0;0.0;50;0.0
soup-bowl-1;50;0.0;0.4;50;0.54
soup-bowl-2;50;0.02;0.78;50;0.68
space-shuttle-1;50;0.0;0.0;50;0.12
speedboat-1;50;0.28;0.36;50;0.28
sports-car-1;50;0.06;0.72;50;0.76
steam-locomotive-1;50;0.1;0.18;50;0.1
stove-1;50;0.08;0.16;50;0.08
stove-2;50;0.02;0.04;50;0.02
stove-3;50;0.22;0.22;50;0.22
table-lamp-1;50;0.8;0.8;50;0.8
table-lamp-2;50;0.32;0.58;50;0.32
table-lamp-3;50;0.68;0.76;50;0.68
toilet-seat-1;50;0.76;0.84;50;0.76
trash-can-1;50;0.76;0.78;50;0.76
yawl-1;50;0.22;0.36;50;0.34
washer-3;50;0.2;0.22;50;0.2
upright-piano-2;50;0.28;0.44;50;0.36
vase-2;50;0.8;0.8;50;0.8
vase-3;50;0.08;0.78;50;0.58
washer-2;50;0.16;0.2;50;0.16
washer-1;50;0.18;0.24;50;0.18
wall-clock-2;50;0.02;0.2;50;0.2
wine-bottle-1;50;0.82;0.92;50;0.84
earphone-1;49;0.0;0.0;0;
missile-1;49;0.40816326530612246;0.8163265306122449;49;0.40816326530612246
printer-3;49;0.0;0.04081632653061224;49;0.0
remote-1;49;0.20408163265306123;0.20408163265306123;49;0.20408163265306123
wall-clock-1;49;0.04081632653061224;0.20408163265306123;49;0.20408163265306123
trash-can-3;49;0.7142857142857143;0.8367346938775511;49;0.7142857142857143
vase-1;49;0.40816326530612246;0.8163265306122449;49;0.40816326530612246
