value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
<unmapped>;549;0.0;0.0;0;
bottle;300;0.27;0.30333333333333334;300;0.37333333333333335
bag;150;0.22666666666666666;0.4866666666666667;150;0.2733333333333333
airplane;150;0.5866666666666667;0.94;150;0.7
basket;150;0.48;0.86;150;0.4866666666666667
bathtub;150;0.4;0.8533333333333334;150;0.4
birdhouse;150;0.31333333333333335;0.52;150;0.31333333333333335
bench;150;0.32666666666666666;0.58;150;0.32666666666666666
bowl;150;0.006666666666666667;0.47333333333333333;150;0.4066666666666667
bookshelf;150;0.04666666666666667;0.09333333333333334;150;0.04666666666666667
bus;150;0.0;0.02666666666666667;150;0.013333333333333334
cabinet;150;0.0;0.0;150;0.0
chair;150;0.52;0.8733333333333333;150;0.7733333333333333
camera;150;0.08;0.19333333333333333;150;0.08
cap;150;0.42;0.7;150;0.42
car;150;0.06666666666666667;0.5466666666666666;150;0.6133333333333333
display;150;0.17333333333333334;0.48;150;0.38
dishwasher;150;0.04666666666666667;0.11333333333333333;150;0.04666666666666667
flowerpot;150;0.48;0.6933333333333334;150;0.48
file cabinet;150;0.15333333333333332;0.22666666666666666;150;0.15333333333333332
train;150;0.03333333333333333;0.08666666666666667;150;0.04666666666666667
washer;150;0.18;0.22;150;0.18
keyboard;150;0.8466666666666667;0.96;150;0.8466666666666667
helmet;150;0.5266666666666666;0.6533333333333333;150;0.5466666666666666
knife;150;0.22;0.6933333333333334;150;0.23333333333333334
loudspeaker;150;0.12666666666666668;0.22;150;0.12666666666666668
laptop;150;0.8466666666666667;0.9533333333333334;150;0.8466666666666667
lamp;150;0.6;0.7133333333333334;150;0.6
microphone;150;0.2733333333333333;0.44;150;0.2733333333333333
microwaves;150;0.09333333333333334;0.14;150;0.09333333333333334
motorbike;150;0.52;0.8;150;0.6333333333333333
mailbox;150;0.54;0.6666666666666666;150;0.54
mug;150;0.4666666666666667;0.76;150;0.4666666666666667
pistol;150;0.4;0.4;150;0.4
pillow;150;0.07333333333333333;0.25333333333333335;150;0.07333333333333333
piano;150;0.4266666666666667;0.5266666666666666;150;0.4533333333333333
tower;150;0.0;0.02;150;0.2
telephone;150;0.013333333333333334;0.04666666666666667;150;0.013333333333333334
watercraft;150;0.18;0.25333333333333335;150;0.22666666666666666
rifle;150;0.25333333333333335;0.4;150;0.3933333333333333
table;150;0.28;0.54;150;0.35333333333333333
stove;150;0.10666666666666667;0.14;150;0.10666666666666667
remote;149;0.14093959731543623;0.1476510067114094;149;0.14093959731543623
clock;149;0.09395973154362416;0.2080536912751678;149;0.2080536912751678
trash bin;149;0.7583892617449665;0.8053691275167785;149;0.7583892617449665
rocket;149;0.2751677852348993;0.5033557046979866;149;0.33557046979865773
jar;149;0.42953020134228187;0.7986577181208053;149;0.5973154362416108
printer;149;0.03355704697986577;0.1342281879194631;149;0.03355704697986577
bed;100;0.0;0.05;100;0.04
earphone;50;0.08;0.28;50;0.08
guitar;50;0.4;0.44;50;0.4
sofa;50;0.5;0.52;50;0.5
