class_idx;class_label;support;base_accuracy;overall_accuracy;precision;recall;f1;tp;fp;fn
508;computer keyboard, keypad;150;;0.7866666666666666;1.0;0.7866666666666666;0.8805970149253731;118;0;32
907;wine bottle;50;;0.8;0.9523809523809523;0.8;0.8695652173913043;40;2;10
895;warplane, military plane;50;;0.96;0.6575342465753424;0.96;0.7804878048780488;48;25;2
560;football helmet;50;;0.56;1.0;0.56;0.717948717948718;28;0;22
518;crash helmet;100;;0.59;0.8805970149253731;0.59;0.7065868263473054;59;8;41
846;table lamp;150;;0.58;0.8969072164948454;0.58;0.7044534412955465;87;10;63
790;shopping basket;100;;0.71;0.6339285714285714;0.71;0.6698113207547169;71;41;29
665;moped;150;;0.5;0.9615384615384616;0.5;0.6578947368421052;75;3;75
861;toilet seat;50;;0.68;0.5862068965517241;0.68;0.6296296296296295;34;24;16
579;grand piano, grand;50;;0.78;0.47560975609756095;0.78;0.5909090909090909;39;43;11
763;revolver, six-gun, six-shooter;150;;0.4066666666666667;1.0;0.4066666666666667;0.5781990521327014;61;0;89
402;acoustic guitar;50;;0.4;1.0;0.4;0.5714285714285715;20;0;30
738;pot, flowerpot;150;;0.4;1.0;0.4;0.5714285714285715;60;0;90
620;laptop, laptop computer;150;;0.4266666666666667;0.6736842105263158;0.4266666666666667;0.5224489795918368;64;31;86
898;water bottle;50;;0.8;0.37037037037037035;0.8;0.5063291139240506;40;68;10
664;monitor;150;;0.38;0.7402597402597403;0.38;0.5022026431718062;57;20;93
883;vase;149;;0.37583892617449666;0.6292134831460674;0.37583892617449666;0.4705882352941176;56;33;93
414;backpack, back pack, knapsack, packsack, rucksack, haversack;100;;0.31;0.9393939393939394;0.31;0.4661654135338345;31;2;69
814;speedboat;50;;0.32;0.8421052631578947;0.32;0.463768115942029;16;3;34
448;birdhouse;150;;0.3;0.9782608695652174;0.3;0.4591836734693877;45;1;105
637;mailbox, letter box;150;;0.49333333333333335;0.4180790960451977;0.49333333333333335;0.4525993883792049;74;103;76
703;park bench;150;;0.30666666666666664;0.8070175438596491;0.30666666666666664;0.4444444444444445;46;11;104
413;assault rifle, assault gun;50;;0.4;0.5;0.4;0.4444444444444445;20;20;30
881;upright, upright piano;100;;0.24;1.0;0.24;0.3870967741935484;24;0;76
559;folding chair;100;;0.36;0.41379310344827586;0.36;0.38502673796791437;36;51;64
504;coffee mug;150;;0.24;0.8181818181818182;0.24;0.37113402061855677;36;8;114
532;dining table, board;150;;0.26666666666666666;0.5970149253731343;0.26666666666666666;0.3686635944700461;40;27;110
435;bathtub, bathing tub, bath, tub;150;;0.23333333333333334;0.7954545454545454;0.23333333333333334;0.36082474226804123;35;9;115
650;microphone, mike;150;;0.29333333333333333;0.44;0.29333333333333333;0.352;44;56;106
764;rifle;100;;0.2;1.0;0.2;0.33333333333333337;20;0;80
897;washer, automatic washer, washing machine;150;;0.18666666666666668;0.7368421052631579;0.18666666666666668;0.2978723404255319;28;10;122
627;limousine, limo;50;;0.18;0.8181818181818182;0.18;0.29508196721311475;9;2;41
404;airliner;100;;0.16;1.0;0.16;0.2758620689655173;16;0;84
809;soup bowl;100;;0.16;1.0;0.16;0.2758620689655173;16;0;84
914;yawl;50;;0.16;1.0;0.16;0.2758620689655173;8;0;42
409;analog clock;50;;0.22;0.36666666666666664;0.22;0.27499999999999997;11;19;39
412;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;149;;0.785234899328859;0.16642958748221906;0.785234899328859;0.2746478873239437;117;586;32
761;remote control, remote;149;;0.14093959731543623;0.9545454545454546;0.14093959731543623;0.2456140350877193;21;1;128
519;crate;50;;0.18;0.375;0.18;0.24324324324324328;9;15;41
721;pillow;150;;0.12666666666666668;1.0;0.12666666666666668;0.22485207100591717;19;0;131
605;iPod;50;;0.14;0.5;0.14;0.21875000000000003;7;7;43
831;studio couch, day bed;50;;0.44;0.13496932515337423;0.44;0.20657276995305163;22;141;28
759;reflex camera;150;;0.10666666666666667;1.0;0.10666666666666667;0.1927710843373494;16;0;134
827;stove;150;;0.10666666666666667;1.0;0.10666666666666667;0.1927710843373494;16;0;134
632;loudspeaker, speaker, speaker unit, loudspeaker system, speaker system;150;;0.11333333333333333;0.3953488372093023;0.11333333333333333;0.17616580310880828;17;26;133
553;file, file cabinet, filing cabinet;150;;0.09333333333333334;0.5833333333333334;0.09333333333333334;0.16091954022988506;14;10;136
651;microwave, microwave oven;150;;0.08666666666666667;0.7222222222222222;0.08666666666666667;0.15476190476190477;13;5;137
817;sports car, sport car;50;;0.12;0.2;0.12;0.15;6;24;44
820;steam locomotive;50;;0.08;0.8;0.08;0.14545454545454545;4;1;46
742;printer;149;;0.06040268456375839;0.47368421052631576;0.06040268456375839;0.10714285714285715;9;10;140
515;cowboy hat, ten-gallon hat;150;;0.05333333333333334;1.0;0.05333333333333334;0.10126582278481014;8;0;142
453;bookcase;150;;0.05333333333333334;0.8888888888888888;0.05333333333333334;0.10062893081761007;8;1;142
534;dishwasher, dish washer, dishwashing machine;150;;0.05333333333333334;0.5333333333333333;0.05333333333333334;0.09696969696969697;8;7;142
628;liner, ocean liner;50;;0.04;1.0;0.04;0.07692307692307693;2;0;48
728;plastic bag;50;;0.04;0.15384615384615385;0.04;0.0634920634920635;2;11;48
623;letter opener, paper knife, paperknife;150;;0.03333333333333333;0.5555555555555556;0.03333333333333333;0.06289308176100629;5;4;145
487;cellular telephone, cellular phone, cellphone, cell, mobile phone;150;;0.02;0.75;0.02;0.03896103896103896;3;1;147
892;wall clock;99;;0.010101010101010102;0.125;0.010101010101010102;0.018691588785046728;1;7;98
0;tench, Tinca tinca;549;;0.0;0.0;0.0;0.0;0;0;549
657;missile;99;;0.0;0.0;0.0;0.0;0;0;99
659;mixing bowl;50;;0.0;0.0;0.0;0.0;0;30;50
466;bullet train, bullet;50;;0.0;0.0;0.0;0.0;0;0;50
495;china cabinet, china closet;150;;0.0;0.0;0.0;0.0;0;0;150
547;electric locomotive;50;;0.0;0.0;0.0;0.0;0;0;50
564;four-poster;100;;0.0;0.0;0.0;0.0;0;0;100
682;obelisk;50;;0.0;0.0;0.0;0.0;0;1;50
668;mosque;50;;0.0;0.0;0.0;0.0;0;0;50
