value;n_samples;imagenet_top1_acc;imagenet_top5_acc;shapenet_evaluable;shapenet_top1_acc
M_Tri_Plastic1_Black;800;0.23625;0.4275;745;0.3167785234899329
M_Tri_Plastic1_Cyan;800;0.225;0.38625;745;0.30335570469798656
M_Tri_Plastic1_Yellow;800;0.22875;0.3875;745;0.2993288590604027
M_Tri_Plastic1_Green;800;0.2275;0.37375;745;0.29395973154362415
M_Tri_Plastic1_Grey;799;0.23779724655819776;0.4230287859824781;744;0.31989247311827956
M_Tri_Plastic1_Blue;799;0.2227784730913642;0.376720901126408;744;0.3064516129032258
M_Tri_Plastic1_Red;799;0.22778473091364204;0.3804755944931164;744;0.3118279569892473
M_Tri_Plastic1_Pink;798;0.22932330827067668;0.38596491228070173;743;0.29878869448183043
M_Tri_Plastic1_White;798;0.21553884711779447;0.41228070175438597;744;0.30376344086021506
Default;160;0.3625;0.6;149;0.4563758389261745
